Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
03.12.2024,"10.950,00","10.950,00","10.950,00","10.950,00",9.99,210,"2,299,500","55,497,750"
02.12.2024,"9.955,00","9.955,00","9.955,00","9.955,00",10.0,589,"5,863,495","619,978,869"
29.11.2024,"9.050,00","9.050,00","9.050,00","9.050,00",9.99,"2,835","25,656,750","119,352,958"
28.11.2024,"8.228,00","8.228,00","8.228,00","8.228,00",9.99,"2,347","19,311,116","19,311,116"
27.11.2024,"7.500,00","7.500,00","7.400,00","7.480,39",0.76,879,"6,575,260","12,156,840"
26.11.2024,"7.400,00","7.550,00","7.300,00","7.423,88",-3.57,160,"1,187,820","1,187,820"
25.11.2024,"7.699,00","7.699,00","7.699,00","7.699,00",0.0,78,"600,522","600,522"
22.11.2024,"7.699,00",",",",","7.699,00",0.0,0,0,0
21.11.2024,"7.699,00",",",",","7.699,00",0.0,0,0,0
20.11.2024,"7.699,00","7.699,00","7.699,00","7.699,00",1.58,781,"6,012,919","6,012,919"
19.11.2024,"7.300,00","7.700,00","7.300,00","7.579,57",1.04,93,"704,900","418,691,507"
18.11.2024,"7.500,00","7.505,00","7.500,00","7.501,25",-6.23,60,"450,075","450,075"
15.11.2024,"8.000,00",",",",","8.000,00",0.0,0,0,0
14.11.2024,"8.000,00",",",",","8.000,00",0.0,0,0,0
13.11.2024,"8.000,00",",",",","8.000,00",0.0,0,0,0
12.11.2024,"8.000,00",",",",","8.000,00",0.0,0,0,"415,321,604"
11.11.2024,"8.000,00",",",",","8.000,00",0.0,0,0,0
08.11.2024,"8.000,00",",",",","8.000,00",0.0,0,0,0
07.11.2024,"8.000,00","8.000,00","8.000,00","8.000,00",3.16,5,"40,000","40,000"
06.11.2024,"7.710,00",",",",","7.754,83",0.0,0,0,0
05.11.2024,"7.710,00",",",",","7.754,83",0.0,0,0,0
04.11.2024,"7.710,00",",",",","7.754,83",0.0,0,0,"315,276,500"
01.11.2024,"7.710,00",",",",","7.754,83",0.0,0,0,0
31.10.2024,"7.710,00","7.760,00","7.710,00","7.754,83",-3.06,290,"2,248,900","2,248,900"
30.10.2024,"8.000,00","8.000,00","8.000,00","8.000,00",2.59,14,"112,000","564,161,710"
29.10.2024,"7.900,00",",",",","7.797,96",0.0,0,0,0
28.10.2024,"7.900,00",",",",","7.797,96",0.0,0,0,0
25.10.2024,"7.900,00","7.900,00","7.700,00","7.797,96",1.63,392,"3,056,800","37,868,200"
24.10.2024,"7.800,00","7.800,00","7.650,00","7.673,19",-7.35,690,"5,294,500","5,294,500"
22.10.2024,"7.720,00",",",",","8.282,33",0.0,0,0,"9,047,000"
21.10.2024,"7.720,00",",",",","8.282,33",0.0,0,0,0
18.10.2024,"7.720,00","8.500,00","7.720,00","8.282,33",-2.56,"15,158","125,543,620","125,543,620"
17.10.2024,"8.500,00","8.500,00","8.500,00","8.500,00",-2.3,25,"212,500","212,500"
16.10.2024,"8.700,00","8.700,00","8.700,00","8.700,00",0.0,17,"147,900","147,900"
15.10.2024,"8.700,00","8.700,00","8.700,00","8.700,00",-3.33,3,"26,100","26,100"
14.10.2024,"9.000,00","9.000,00","9.000,00","9.000,00",0.0,17,"153,000","153,000"
10.10.2024,"9.000,00","9.000,00","9.000,00","9.000,00",1.15,36,"324,000","6,784,000"
09.10.2024,"9.000,00","9.000,00","8.751,00","8.897,47",-1.37,34,"302,514","302,514"
08.10.2024,"9.200,00","9.200,00","8.800,00","9.020,85",1.36,129,"1,163,690","152,099,690"
07.10.2024,"8.900,00","8.900,00","8.900,00","8.900,00",-2.0,20,"178,000","144,692,500"
04.10.2024,"9.100,00","9.100,00","8.610,00","9.081,30",4.81,562,"5,103,690","33,756,990"
03.10.2024,"8.680,00","8.680,00","8.500,00","8.664,50",0.63,329,"2,850,620","27,962,140"
02.10.2024,"8.610,00","8.610,00","8.610,00","8.610,00",1.27,45,"387,450","4,467,450"
01.10.2024,"8.570,00","8.570,00","8.480,00","8.501,89",0.02,953,"8,102,300","74,670,300"
30.09.2024,"8.500,00","8.500,00","8.499,00","8.499,94",2.12,722,"6,136,955","48,290,655"
27.09.2024,"8.400,00","8.400,00","8.200,00","8.323,88",2.06,278,"2,314,040","2,314,040"
26.09.2024,"8.103,00","8.343,00","8.100,00","8.156,06",0.69,193,"1,574,119","1,574,119"
