Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
03.12.2024,"5.919,00",",",",","5.919,00",0.00,0,0,0
02.12.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
29.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
28.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
27.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
26.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
25.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
22.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
21.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
20.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
19.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
18.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
15.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
14.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
13.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
12.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
11.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
08.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
07.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
06.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
05.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
04.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
01.11.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
31.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
30.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
29.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
28.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
25.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
24.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,133,"787,227","787,227"
22.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,132,"781,308","781,308"
21.10.2024,"5.919,00","5.920,00","5.919,00","5.919,22",0.0,276,"1,633,704","1,633,704"
18.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,109,"645,171","645,171"
17.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00",0.04,132,"781,308","781,308"
16.10.2024,"5.919,00","5.919,00","5.850,00","5.916,49",-0.04,"3,208","18,980,097","18,980,097"
15.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
14.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
10.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
09.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
08.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
07.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
04.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
03.10.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
02.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,192,"1,136,448","1,136,448"
01.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00",0.01,454,"2,687,226","2,687,226"
30.09.2024,"5.919,00","5.919,00","5.910,00","5.918,65",0.12,"1,422","8,416,324","8,416,324"
27.09.2024,"5.919,00",",",",","5.911,35",0.0,0,0,0
26.09.2024,"5.919,00",",",",","5.911,35",0.0,0,0,0
25.09.2024,"5.919,00","5.919,00","5.750,00","5.911,35",2.81,"2,070","12,236,487","12,236,487"
24.09.2024,"5.750,00","5.750,00","5.750,00","5.750,00",-2.85,20,"115,000","115,000"
23.09.2024,"5.919,00",",",",","5.918,95",0.0,0,0,0
20.09.2024,"5.919,00","5.919,00","5.918,00","5.918,95",0.9,"4,032","23,865,195","23,865,195"
19.09.2024,"5.866,00","5.866,00","5.866,00","5.866,00",9.99,33,"193,578","193,578"
18.09.2024,"5.333,00","5.333,00","5.333,00","5.333,00",-9.9,5,"26,665","26,665"
17.09.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
16.09.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
13.09.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
12.09.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
11.09.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
10.09.2024,"5.919,00",",",",","5.919,00",0.0,0,0,0
06.09.2024,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,144,"852,336","852,336"
05.09.2024,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,10,"59,190","59,190"
04.09.2024,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,15,"88,785","88,785"
