Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
04.12.2024,"35.010,00","35.010,00","35.010,00","35.010,00",-7.87,8,"280,080","280,080"
03.12.2024,"38.000,00",",",",","38.000,00",0.00,0,0,0
02.12.2024,"38.000,00",",",",","38.000,00",0.00,0,0,0
29.11.2024,"38.000,00",",",",","38.000,00",0.00,0,0,0
28.11.2024,"38.000,00",",",",","38.000,00",0.00,0,0,0
27.11.2024,"38.000,00","38.000,00","38.000,00","38.000,00",5.56,4,"152,000","152,000"
26.11.2024,"36.000,00",",",",","36.000,00",0.00,0,0,0
25.11.2024,"36.000,00",",",",","36.000,00",0.00,0,0,"9,252,000"
22.11.2024,"36.000,00",",",",","36.000,00",0.00,0,0,0
21.11.2024,"36.000,00","36.000,00","36.000,00","36.000,00",2.86,65,"2,340,000","2,340,000"
20.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
19.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
18.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
15.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
14.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
13.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
12.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
11.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
08.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
07.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
06.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
05.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
04.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
01.11.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
31.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
30.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
29.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
28.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
25.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
24.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
22.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
21.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
18.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
17.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
16.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
15.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
14.10.2024,"35.000,00",",",",","35.000,00",0.00,0,0,0
10.10.2024,"35.000,00","35.000,00","35.000,00","35.000,00",0.00,8,"280,000","280,000"
09.10.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
08.10.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
07.10.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
04.10.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
03.10.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
02.10.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
01.10.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
30.09.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
27.09.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
26.09.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
25.09.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
24.09.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
23.09.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
20.09.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
19.09.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
18.09.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
17.09.2024,"35.001,00",",",",","35.001,00",0.00,0,0,0
16.09.2024,"35.001,00","35.001,00","35.001,00","35.001,00",1.48,10,"350,010","350,010"
13.09.2024,"34.490,00",",",",","34.490,00",0.00,0,0,0
12.09.2024,"34.490,00",",",",","34.490,00",0.00,0,0,0
11.09.2024,"34.490,00",",",",","34.490,00",0.00,0,0,0
10.09.2024,"34.490,00",",",",","34.490,00",0.00,0,0,0
06.09.2024,"34.490,00",",",",","34.490,00",0.00,0,0,0
05.09.2024,"34.490,00",",",",","34.490,00",0.00,0,0,0
04.09.2024,"34.490,00",",",",","34.490,00",0.00,0,0,0
03.09.2024,"34.490,00",",",",","34.490,00",0.00,0,0,0
02.09.2024,"34.490,00",",",",","34.490,00",0.00,0,0,0
30.08.2024,"34.490,00",",",",","34.490,00",0.00,0,0,0
29.08.2024,"34.490,00","34.490,00","34.490,00","34.490,00",-0.03,33,"1,138,170","1,138,170"
27.08.2024,"34.500,00",",",",","34.500,00",0.00,0,0,0
26.08.2024,"34.500,00",",",",","34.500,00",0.00,0,0,0
23.08.2024,"34.500,00",",",",","34.500,00",0.00,0,0,0
22.08.2024,"34.500,00",",",",","34.500,00",0.00,0,0,0
21.08.2024,"34.500,00",",",",","34.500,00",0.00,0,0,0
20.08.2024,"34.500,00",",",",","34.500,00",0.00,0,0,0
19.08.2024,"34.500,00",",",",","34.500,00",0.00,0,0,0
