Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
03.12.2024,"3.300,00",",",",","3.300,00",0.00,0,0,0
02.12.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
29.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
28.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
27.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
26.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
25.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
22.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
21.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
20.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
19.11.2024,"3.300,00","3.300,00","3.300,00","3.300,00",0.0,30,"99,000","99,000"
18.11.2024,"3.300,00","3.300,00","3.300,00","3.300,00",0.0,70,"231,000","231,000"
15.11.2024,"3.300,00","3.300,00","3.300,00","3.300,00",0.0,"1,724","5,689,200","7,999,200"
14.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,"2,280,300"
13.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,"2,656,500"
12.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
11.11.2024,"3.300,00","3.300,00","3.300,00","3.300,00",0.0,385,"1,270,500","1,270,500"
08.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
07.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
06.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
05.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
04.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
01.11.2024,"3.300,00",",",",","3.300,00",0.0,0,0,0
31.10.2024,"3.300,00","3.300,00","3.300,00","3.300,00",1.51,836,"2,758,800","2,758,800"
30.10.2024,"3.300,00",",",",","3.251,03",0.0,0,0,0
29.10.2024,"3.300,00",",",",","3.251,03",0.0,0,0,0
28.10.2024,"3.300,00","3.300,00","3.250,00","3.251,03",1.59,242,"786,750","41,300,850"
25.10.2024,"3.200,00",",",",","3.200,00",0.0,0,0,0
24.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,150,"480,000","480,000"
22.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,90,"288,000","288,000"
21.10.2024,"3.200,00",",",",","3.200,00",0.0,0,0,0
18.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,111,"355,200","355,200"
17.10.2024,"3.200,00",",",",","3.200,00",0.0,0,0,0
16.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,504,"1,612,800","1,612,800"
15.10.2024,"3.200,00",",",",","3.200,00",0.0,0,0,"48,136,760"
14.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00",-1.52,540,"1,728,000","1,728,000"
10.10.2024,"3.250,00","3.250,00","3.220,00","3.249,45",1.52,219,"711,630","29,895,930"
09.10.2024,"3.201,00","3.201,00","3.200,00","3.200,78",0.02,654,"2,093,308","2,093,308"
08.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,156,"499,200","499,200"
07.10.2024,"3.199,00","3.200,00","3.199,00","3.199,87",0.0,"1,145","3,663,847","3,663,847"
04.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,"9,408","30,105,600","30,105,600"
03.10.2024,"3.200,00",",",",","3.200,00",0.0,0,0,0
02.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,352,"1,126,400","1,126,400"
01.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,100,"320,000","320,000"
30.09.2024,"3.220,00",",",",","3.200,05",0.0,0,0,0
27.09.2024,"3.220,00",",",",","3.200,05",0.0,0,0,0
26.09.2024,"3.220,00",",",",","3.200,05",0.0,0,0,0
25.09.2024,"3.220,00",",",",","3.200,05",0.0,0,0,0
24.09.2024,"3.220,00",",",",","3.200,05",0.0,0,0,0
23.09.2024,"3.220,00","3.220,00","3.200,00","3.200,05",-0.93,432,"1,382,420","1,382,420"
20.09.2024,"3.230,00","3.230,00","3.230,00","3.230,00",-0.57,70,"226,100","226,100"
19.09.2024,"3.250,00","3.250,00","3.200,00","3.248,61",1.49,"3,614","11,740,480","16,862,480"
18.09.2024,"3.201,00","3.201,00","3.200,00","3.200,83",0.03,90,"288,075","288,075"
17.09.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,15,"48,000","48,000"
16.09.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,"1,167","3,734,400","9,294,752"
13.09.2024,"3.200,00","3.201,00","3.200,00","3.200,05",0.0,"1,344","4,300,862","4,300,862"
12.09.2024,"3.200,00","3.200,00","3.199,00","3.199,97",6.12,"3,839","12,284,683","12,284,683"
11.09.2024,"3.015,00","3.016,00","3.015,00","3.015,55",0.02,40,"120,622","120,622"
10.09.2024,"3.015,00","3.015,00","3.015,00","3.015,00",-7.55,17,"51,255","51,255"
06.09.2024,"3.250,00",",",",","3.261,05",0.0,0,0,0
05.09.2024,"3.250,00",",",",","3.261,05",0.0,0,0,0
04.09.2024,"3.250,00",",",",","3.261,05",0.0,0,0,0
03.09.2024,"3.250,00",",",",","3.261,05",0.0,0,0,"3,200,000"
02.09.2024,"3.250,00",",",",","3.261,05",0.0,0,0,0
30.08.2024,"3.250,00",",",",","3.261,05",0.0,0,0,0
29.08.2024,"3.250,00","3.270,00","3.250,00","3.261,05",0.52,324,"1,056,580","1,056,580"
27.08.2024,"3.275,00","3.298,00","3.199,00","3.244,20",1.3,"3,016","9,784,516","9,784,516"
26.08.2024,"3.210,00",",",",","3.202,64",0.0,0,0,0
23.08.2024,"3.210,00","3.210,00","3.150,00","3.202,64",0.08,"1,849","5,921,677","5,921,677"
22.08.2024,"3.200,00",",",",","3.200,00",0.0,0,0,0
21.08.2024,"3.200,00",",",",","3.200,00",0.0,0,0,0
20.08.2024,"3.200,00",",",",","3.200,00",0.0,0,0,0
19.08.2024,"3.200,00","3.200,00","3.200,00","3.200,00",0.31,51,"163,200","163,200"
16.08.2024,"3.190,00","3.190,00","3.190,00","3.190,00",-4.77,30,"95,700","95,700"
15.08.2024,"3.341,00",",",",","3.349,73",0.0,0,0,0
14.08.2024,"3.341,00","3.350,00","3.341,00","3.349,73",-9.76,134,"448,864","448,864"
13.08.2024,"3.700,00",",",",","3.712,20",0.0,0,0,0
12.08.2024,"3.700,00",",",",","3.712,20",0.0,0,0,0
09.08.2024,"3.700,00",",",",","3.712,20",0.0,0,0,0
08.08.2024,"3.700,00","4.000,00","3.699,00","3.712,20",0.35,660,"2,450,052","2,450,052"
07.08.2024,"3.700,00","3.700,00","3.697,00","3.699,12",9.02,89,"329,222","329,222"
06.08.2024,"3.393,00","3.393,00","3.393,00","3.393,00",1.28,65,"220,545","220,545"
05.08.2024,"3.350,00","3.350,00","3.350,00","3.350,00",1.69,4,"13,400","13,400"
01.08.2024,"3.300,00","3.300,00","3.290,00","3.294,26",6.94,47,"154,830","154,830"
31.07.2024,"3.010,00","3.100,00","3.010,00","3.080,43",-0.63,128,"394,295","394,295"
30.07.2024,"3.100,00","3.100,00","3.100,00","3.100,00",0.0,10,"31,000","31,000"
29.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
26.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
25.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
24.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
23.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
22.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
19.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
18.07.2024,"3.100,00","3.100,00","3.100,00","3.100,00",0.0,5,"15,500","15,500"
17.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
16.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
15.07.2024,"3.100,00","3.100,00","3.100,00","3.100,00",0.0,117,"362,700","362,700"
12.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
11.07.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
10.07.2024,"3.100,00","3.100,00","3.100,00","3.100,00",-0.03,35,"108,500","108,500"
09.07.2024,"3.101,00",",",",","3.101,00",0.0,0,0,0
08.07.2024,"3.101,00",",",",","3.101,00",0.0,0,0,0
05.07.2024,"3.101,00",",",",","3.101,00",0.0,0,0,0
04.07.2024,"3.101,00","3.101,00","3.101,00","3.101,00",3.37,9,"27,909","27,909"
03.07.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
02.07.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
01.07.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
28.06.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
27.06.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
26.06.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
25.06.2024,"3.000,00","3.000,00","3.000,00","3.000,00",-8.54,46,"138,000","138,000"
24.06.2024,"3.280,00",",",",","3.280,00",0.0,0,0,0
20.06.2024,"3.280,00","3.280,00","3.280,00","3.280,00",0.0,35,"114,800","114,800"
19.06.2024,"3.280,00","3.280,00","3.280,00","3.280,00",1.11,25,"82,000","82,000"
18.06.2024,"3.244,00","3.244,00","3.244,00","3.244,00",2.98,"1,292","4,191,248","4,191,248"
17.06.2024,"3.150,00",",",",","3.150,00",0.0,0,0,0
14.06.2024,"3.150,00",",",",","3.150,00",0.0,0,0,0
13.06.2024,"3.150,00","3.150,00","3.150,00","3.150,00",0.2,44,"138,600","138,600"
12.06.2024,"3.150,00","3.193,00","3.100,00","3.143,67",1.41,45,"141,465","141,465"
11.06.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
10.06.2024,"3.100,00",",",",","3.100,00",0.0,0,0,0
07.06.2024,"3.100,00","3.100,00","3.100,00","3.100,00",0.0,10,"31,000","31,000"
06.06.2024,"3.100,00","3.100,00","3.100,00","3.100,00",1.64,100,"310,000","310,000"
05.06.2024,"3.050,00",",",",","3.050,00",0.0,0,0,0
04.06.2024,"3.050,00","3.050,00","3.050,00","3.050,00",1.67,50,"152,500","152,500"
03.06.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
31.05.2024,"3.000,00","3.000,00","3.000,00","3.000,00",0.0,25,"75,000","75,000"
30.05.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
29.05.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
28.05.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
27.05.2024,"3.000,00","3.000,00","3.000,00","3.000,00",0.0,50,"150,000","150,000"
23.05.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
22.05.2024,"3.000,00","3.000,00","3.000,00","3.000,00",0.0,55,"165,000","165,000"
21.05.2024,"3.000,00","3.000,00","2.999,00","2.999,91",0.0,114,"341,990","341,990"
20.05.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
17.05.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
16.05.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
15.05.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
14.05.2024,"3.000,00",",",",","3.000,00",0.0,0,0,0
13.05.2024,"3.000,00","3.000,00","3.000,00","3.000,00",0.44,50,"150,000","150,000"
10.05.2024,"2.987,00",",",",","2.987,00",0.0,0,0,0
