Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
04.12.2024,"2.150,00","2.169,00","2.149,00","2.151,55",2.15,265,"570,161","570,161"
03.12.2024,"2.136,00","2.136,00","2.101,00","2.106,19",0.29,104,"219,044","219,044"
02.12.2024,"2.100,00","2.100,00","2.100,00","2.100,00",0.00,276,"579,600","579,600"
29.11.2024,"2.100,00","2.100,00","2.100,00","2.100,00",-0.71,27,"56,700","56,700"
28.11.2024,"2.115,00","2.115,00","2.115,00","2.115,00",-0.67,10,"21,150","21,150"
27.11.2024,"2.130,00","2.130,00","2.129,00","2.129,23",0.12,130,"276,800","276,800"
26.11.2024,"2.120,00","2.132,00","2.120,00","2.126,77",-0.29,288,"612,509","612,509"
25.11.2024,"2.133,00","2.133,00","2.130,00","2.132,85",2.98,402,"857,406","857,406"
22.11.2024,"2.050,00","2.124,00","2.050,00","2.071,14",-0.81,70,"144,980","144,980"
21.11.2024,"2.088,00",",",",","2.088,00",0.00,0,0,0
20.11.2024,"2.088,00","2.088,00","2.088,00","2.088,00",0.78,10,"20,880","20,880"
19.11.2024,"2.088,00","2.088,00","1.961,00","2.071,82",-0.79,467,"967,541","967,541"
18.11.2024,"2.088,00","2.089,00","2.088,00","2.088,42",2.94,360,"751,830","751,830"
15.11.2024,"2.029,00","2.029,00","2.028,00","2.028,71",2.60,350,"710,050","710,050"
14.11.2024,"1.960,00","2.000,00","1.960,00","1.977,39",0.89,92,"181,920","181,920"
13.11.2024,"1.960,00","1.960,00","1.960,00","1.960,00",0.00,240,"470,400","470,400"
12.11.2024,"1.960,00","1.960,00","1.960,00","1.960,00",-0.20,1,"1,960","1,960"
11.11.2024,"1.963,00","1.965,00","1.963,00","1.963,83",-0.01,190,"373,127","373,127"
08.11.2024,"1.964,00","1.964,00","1.964,00","1.964,00",-0.27,155,"304,420","304,420"
07.11.2024,"1.967,00","1.975,00","1.967,00","1.969,28",-0.28,642,"1,264,276","1,264,276"
06.11.2024,"1.975,00","1.990,00","1.970,00","1.974,75",0.29,295,"582,550","582,550"
05.11.2024,"1.969,00","1.969,00","1.969,00","1.969,00",-1.40,25,"49,225","49,225"
04.11.2024,"1.997,00","1.997,00","1.997,00","1.997,00",0.00,27,"53,919","53,919"
01.11.2024,"1.997,00","1.997,00","1.997,00","1.997,00",2.02,138,"275,586","275,586"
31.10.2024,"1.960,00","1.960,00","1.950,00","1.957,51",0.99,"1,065","2,084,750","2,084,750"
30.10.2024,"1.938,00","1.949,00","1.920,00","1.938,29",0.95,434,"841,220","841,220"
29.10.2024,"1.920,00",",",",","1.920,00",0.00,0,0,0
28.10.2024,"1.920,00","1.920,00","1.920,00","1.920,00",0.35,115,"220,800","220,800"
25.10.2024,"1.900,00","1.919,00","1.900,00","1.913,26",-0.35,43,"82,270","82,270"
24.10.2024,"1.920,00",",",",","1.920,00",0.00,0,0,0
22.10.2024,"1.920,00","1.920,00","1.920,00","1.920,00",0.00,300,"576,000","576,000"
21.10.2024,"1.920,00","1.920,00","1.920,00","1.920,00",-1.44,65,"124,800","124,800"
18.10.2024,"1.948,00","1.948,00","1.948,00","1.948,00",1.10,5,"9,740","9,740"
17.10.2024,"1.920,00",",",",","1.926,71",0.00,0,0,0
16.10.2024,"1.920,00","1.950,00","1.899,00","1.926,71",-1.19,112,"215,792","215,792"
15.10.2024,"1.950,00","1.950,00","1.950,00","1.950,00",0.00,560,"1,092,000","1,092,000"
14.10.2024,"1.950,00",",",",","1.950,00",0.00,0,0,0
10.10.2024,"1.950,00",",",",","1.950,00",0.00,0,0,0
09.10.2024,"1.950,00","1.950,00","1.950,00","1.950,00",-0.46,95,"185,250","185,250"
08.10.2024,"1.959,00","1.959,00","1.959,00","1.959,00",1.09,10,"19,590","19,590"
07.10.2024,"1.939,00","1.939,00","1.935,00","1.937,92",-1.09,425,"823,615","823,615"
04.10.2024,"1.959,00","1.965,00","1.959,00","1.959,34",1.04,318,"623,070","623,070"
03.10.2024,"1.940,00",",",",","1.939,13",0.00,0,0,0
02.10.2024,"1.940,00","1.940,00","1.939,00","1.939,13",-0.99,265,"513,870","513,870"
01.10.2024,"1.939,00",",",",","1.958,53",0.00,0,0,0
30.09.2024,"1.939,00","1.964,00","1.939,00","1.958,53",2.52,320,"626,730","626,730"
27.09.2024,"1.910,00","1.911,00","1.910,00","1.910,33",-2.69,150,"286,550","286,550"
26.09.2024,"1.964,00","1.964,00","1.963,00","1.963,15",2.95,59,"115,826","115,826"
25.09.2024,"1.791,00","1.930,00","1.791,00","1.906,83",-4.13,60,"114,410","114,410"
24.09.2024,"1.989,00","1.989,00","1.989,00","1.989,00",0.00,2,"3,978","3,978"
23.09.2024,"1.989,00","1.989,00","1.989,00","1.989,00",0.00,1,"1,989","1,989"
20.09.2024,"1.989,00",",",",","1.989,00",0.00,0,0,0
19.09.2024,"1.989,00",",",",","1.989,00",0.00,0,0,0
18.09.2024,"1.989,00","1.989,00","1.989,00","1.989,00",0.58,30,"59,670","59,670"
17.09.2024,"1.984,00","1.984,00","1.970,00","1.977,46",-0.58,417,"824,602","824,602"
16.09.2024,"1.989,00","1.989,00","1.989,00","1.989,00",0.34,234,"465,426","465,426"
13.09.2024,"1.980,00","1.989,00","1.950,00","1.982,33",-0.15,721,"1,429,262","1,429,262"
12.09.2024,"1.989,00","1.990,00","1.960,00","1.985,36",-0.09,148,"293,834","293,834"
11.09.2024,"1.989,00","1.989,00","1.987,00","1.987,22",0.01,258,"512,704","512,704"
10.09.2024,"1.987,00","1.987,00","1.987,00","1.987,00",1.61,5,"9,935","9,935"
06.09.2024,"1.989,00",",",",","1.955,43",0.00,0,0,0
05.09.2024,"1.989,00","1.989,00","1.955,00","1.955,43",-2.18,314,"614,006","614,006"
04.09.2024,"1.999,00","1.999,00","1.999,00","1.999,00",0.89,5,"9,995","9,995"
03.09.2024,"1.999,00","1.999,00","1.979,00","1.981,38",0.08,227,"449,773","449,773"
02.09.2024,"1.980,00","1.980,00","1.978,00","1.979,74",0.08,385,"762,200","762,200"
30.08.2024,"1.978,00","1.980,00","1.975,00","1.978,22",0.42,225,"445,100","445,100"
29.08.2024,"1.970,00","1.970,00","1.970,00","1.970,00",-1.49,80,"157,600","157,600"
27.08.2024,"2.000,00","2.000,00","1.999,00","1.999,83",1.21,590,"1,179,900","1,179,900"
26.08.2024,"1.976,00","1.976,00","1.976,00","1.976,00",2.97,400,"790,400","790,400"
23.08.2024,"1.999,00","1.999,00","1.915,00","1.919,00",3.17,210,"402,990","402,990"
22.08.2024,"1.860,00","1.860,00","1.860,00","1.860,00",0.24,80,"148,800","148,800"
21.08.2024,"1.840,00","1.868,00","1.840,00","1.855,50",-0.78,159,"295,024","295,024"
20.08.2024,"1.870,00","1.870,00","1.870,00","1.870,00",0.00,250,"467,500","467,500"
19.08.2024,"1.870,00","1.870,00","1.870,00","1.870,00",-0.01,160,"299,200","299,200"
16.08.2024,"1.800,00","1.885,00","1.800,00","1.870,10",2.02,299,"559,160","559,160"
15.08.2024,"1.820,00","1.845,00","1.820,00","1.833,08",1.84,130,"238,300","238,300"
14.08.2024,"1.800,00",",",",","1.800,00",0.00,0,0,0
13.08.2024,"1.800,00","1.800,00","1.800,00","1.800,00",-2.36,381,"685,800","685,800"
12.08.2024,"1.849,00","1.850,00","1.748,00","1.843,46",2.31,345,"635,995","635,995"
09.08.2024,"1.800,00","1.810,00","1.800,00","1.801,82",0.31,550,"991,000","991,000"
08.08.2024,"1.797,00","1.797,00","1.795,00","1.796,19",2.10,829,"1,489,045","1,489,045"
07.08.2024,"1.755,00","1.796,00","1.755,00","1.759,21",-2.10,78,"137,218","137,218"
06.08.2024,"1.797,00","1.798,00","1.790,00","1.796,94",-0.17,190,"341,419","341,419"
05.08.2024,"1.800,00","1.800,00","1.800,00","1.800,00",-2.28,270,"486,000","486,000"
01.08.2024,"1.835,00","1.850,00","1.834,00","1.842,05",2.34,770,"1,418,380","1,418,380"
31.07.2024,"1.800,00","1.800,00","1.800,00","1.800,00",-0.04,50,"90,000","90,000"
30.07.2024,"1.800,00","1.840,00","1.800,00","1.800,76",-0.05,"1,775","3,196,341","3,196,341"
29.07.2024,"1.843,00","1.843,00","1.800,00","1.801,74",0.66,811,"1,461,215","1,461,215"
26.07.2024,"1.790,00","1.790,00","1.790,00","1.790,00",2.89,200,"358,000","358,000"
25.07.2024,"1.780,00","1.800,00","1.719,00","1.739,64",4.00,"1,382","2,404,188","2,404,188"
24.07.2024,"1.720,00","1.720,00","1.650,00","1.672,78",1.62,"1,726","2,887,210","2,887,210"
23.07.2024,"1.645,00","1.650,00","1.645,00","1.646,13",0.22,413,"679,850","679,850"
22.07.2024,"1.635,00","1.645,00","1.635,00","1.642,55",0.59,200,"328,510","328,510"
19.07.2024,"1.637,00","1.637,00","1.630,00","1.632,92",2.73,510,"832,791","832,791"
18.07.2024,"1.600,00","1.601,00","1.579,00","1.589,46",1.30,"2,124","3,376,020","3,376,020"
17.07.2024,"1.575,00","1.575,00","1.568,00","1.569,09",0.07,"1,132","1,776,208","1,776,208"
16.07.2024,"1.568,00","1.568,00","1.568,00","1.568,00",0.20,44,"68,992","68,992"
15.07.2024,"1.568,00","1.568,00","1.560,00","1.564,80",0.14,125,"195,600","195,600"
12.07.2024,"1.560,00","1.568,00","1.560,00","1.562,64",-0.36,303,"473,480","473,480"
11.07.2024,"1.568,00","1.569,00","1.568,00","1.568,26",0.56,95,"148,985","148,985"
10.07.2024,"1.560,00","1.565,00","1.550,00","1.559,59",0.11,"1,328","2,071,140","2,071,140"
09.07.2024,"1.559,00","1.560,00","1.550,00","1.557,94",0.51,685,"1,067,190","1,067,190"
08.07.2024,"1.550,00","1.550,00","1.550,00","1.550,00",-0.62,170,"263,500","263,500"
05.07.2024,"1.559,00","1.560,00","1.559,00","1.559,65",1.35,935,"1,458,276","1,458,276"
04.07.2024,"1.559,00","1.559,00","1.502,00","1.538,84",-0.95,"2,389","3,676,278","3,676,278"
03.07.2024,"1.550,00","1.559,00","1.550,00","1.553,60",-0.41,500,"776,800","776,800"
02.07.2024,"1.560,00",",",",","1.560,00",0.00,0,0,0
01.07.2024,"1.560,00","1.560,00","1.560,00","1.560,00",0.00,400,"624,000","624,000"
28.06.2024,"1.560,00","1.560,00","1.560,00","1.560,00",-0.14,750,"1,170,000","1,170,000"
27.06.2024,"1.569,00",",",",","1.562,13",0.00,0,0,0
26.06.2024,"1.569,00",",",",","1.562,13",0.00,0,0,0
25.06.2024,"1.569,00",",",",","1.562,13",0.00,0,0,0
24.06.2024,"1.569,00",",",",","1.562,13",0.00,0,0,0
20.06.2024,"1.569,00",",",",","1.562,13",0.00,0,0,0
19.06.2024,"1.569,00",",",",","1.562,13",0.00,0,0,0
18.06.2024,"1.569,00","1.569,00","1.560,00","1.562,13",-0.49,262,"409,278","409,278"
17.06.2024,"1.569,00","1.570,00","1.569,00","1.569,85",-0.41,351,"551,019","551,019"
14.06.2024,"1.571,00","1.580,00","1.570,00","1.576,30",0.03,660,"1,040,360","1,040,360"
13.06.2024,"1.580,00","1.580,00","1.570,00","1.575,82",-0.04,"1,196","1,884,680","1,884,680"
12.06.2024,"1.580,00","1.580,00","1.570,00","1.576,48",-0.20,710,"1,119,300","1,119,300"
11.06.2024,"1.579,00","1.580,00","1.579,00","1.579,71",1.26,700,"1,105,800","1,105,800"
10.06.2024,"1.560,00","1.560,00","1.560,00","1.560,00",-0.06,173,"269,880","269,880"
07.06.2024,"1.541,00","1.570,00","1.541,00","1.560,92",-0.19,"1,125","1,756,030","1,756,030"
06.06.2024,"1.569,00","1.569,00","1.550,00","1.563,86",-0.39,"2,047","3,201,220","3,201,220"
05.06.2024,"1.570,00","1.570,00","1.570,00","1.570,00",-0.15,8,"12,560","12,560"
04.06.2024,"1.570,00","1.580,00","1.570,00","1.572,37",-0.39,491,"772,033","772,033"
03.06.2024,"1.580,00","1.580,00","1.578,00","1.578,47",0.48,150,"236,770","236,770"
31.05.2024,"1.560,00","1.579,00","1.560,00","1.570,94",-1.04,850,"1,335,300","1,335,300"
30.05.2024,"1.582,00","1.590,00","1.582,00","1.587,52",-0.16,290,"460,380","460,380"
29.05.2024,"1.590,00",",",",","1.590,00",0.00,0,0,0
28.05.2024,"1.590,00",",",",","1.590,00",0.00,0,0,0
27.05.2024,"1.590,00","1.590,00","1.590,00","1.590,00",0.05,97,"154,230","154,230"
23.05.2024,"1.588,00","1.590,00","1.588,00","1.589,23",0.58,545,"866,130","866,130"
