Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
03.12.2024,"135,00","135,00","135,00","135,00",-0.74,50,"6,750","6,750"
02.12.2024,"136,00",",",",","136,00",0.0,0,0,0
29.11.2024,"136,00","136,00","136,00","136,00",-2.86,230,"31,280","31,280"
28.11.2024,"140,00","140,00","140,00","140,00",3.67,300,"42,000","42,000"
27.11.2024,"135,00","136,00","135,00","135,05",-1.06,"1,377","185,965","185,965"
26.11.2024,"136,00","137,00","136,00","136,50",-1.6,"1,300","177,450","177,450"
25.11.2024,"139,00","139,00","138,00","138,72",2.76,"3,513","487,307","487,307"
22.11.2024,"135,00","135,00","135,00","135,00",0.0,135,"18,225","18,225"
21.11.2024,"135,00","135,00","135,00","135,00",0.84,"1,290","174,150","174,150"
20.11.2024,"133,00","136,00","133,00","133,87",0.65,"2,583","345,789","345,789"
19.11.2024,"133,00","133,00","133,00","133,00",0.0,"1,871","248,843","248,843"
18.11.2024,"133,00","133,00","133,00","133,00",-0.94,500,"66,500","66,500"
15.11.2024,"135,00",",",",","134,26",0.0,0,0,0
14.11.2024,"135,00",",",",","134,26",0.0,0,0,0
13.11.2024,"135,00",",",",","134,26",0.0,0,0,0
12.11.2024,"135,00","135,00","133,00","134,26",-0.55,"3,106","417,010","417,010"
11.11.2024,"135,00","135,00","135,00","135,00",0.0,786,"106,110","106,110"
08.11.2024,"135,00","135,00","135,00","135,00",0.0,678,"91,530","91,530"
07.11.2024,"135,00","135,00","135,00","135,00",1.76,988,"133,380","133,380"
06.11.2024,"132,00","133,00","132,00","132,66",-1.73,623,"82,646","82,646"
05.11.2024,"135,00",",",",","135,00",0.0,0,0,0
04.11.2024,"135,00",",",",","135,00",0.0,0,0,0
01.11.2024,"135,00","135,00","135,00","135,00",0.0,850,"114,750","114,750"
31.10.2024,"135,00",",",",","135,00",0.0,0,0,0
30.10.2024,"135,00",",",",","135,00",0.0,0,0,0
29.10.2024,"135,00","135,00","135,00","135,00",0.0,927,"125,145","125,145"
28.10.2024,"135,00",",",",","135,00",0.0,0,0,0
25.10.2024,"135,00","135,00","135,00","135,00",0.0,"2,513","339,255","339,255"
24.10.2024,"135,00","135,00","135,00","135,00",1.5,950,"128,250","128,250"
22.10.2024,"133,00","133,00","133,00","133,00",-1.48,90,"11,970","11,970"
21.10.2024,"135,00",",",",","135,00",0.0,0,0,0
18.10.2024,"135,00",",",",","135,00",0.0,0,0,0
17.10.2024,"135,00","135,00","135,00","135,00",-0.47,"1,000","135,000","135,000"
16.10.2024,"135,00",",",",","135,64",0.0,0,0,0
15.10.2024,"135,00",",",",","135,64",0.0,0,0,0
14.10.2024,"135,00",",",",","135,64",0.0,0,0,0
10.10.2024,"135,00",",",",","135,64",0.0,0,0,0
09.10.2024,"135,00","136,00","135,00","135,64",-0.26,700,"94,950","94,950"
08.10.2024,"136,00",",",",","136,00",0.0,0,0,0
07.10.2024,"136,00","136,00","136,00","136,00",0.0,250,"34,000","34,000"
04.10.2024,"136,00",",",",","136,00",0.0,0,0,0
03.10.2024,"136,00","136,00","136,00","136,00",-1.9,100,"13,600","13,600"
02.10.2024,"140,00","140,00","137,00","138,63",-0.98,"1,835","254,395","254,395"
01.10.2024,"140,00","140,00","140,00","140,00",3.7,300,"42,000","42,000"
30.09.2024,"135,00",",",",","135,00",0.0,0,0,0
27.09.2024,"135,00",",",",","135,00",0.0,0,0,0
26.09.2024,"135,00",",",",","135,00",0.0,0,0,0
25.09.2024,"135,00","135,00","135,00","135,00",2.27,"1,740","234,900","234,900"
24.09.2024,"132,00","132,00","132,00","132,00",0.0,120,"15,840","15,840"
23.09.2024,"132,00",",",",","132,00",0.0,0,0,0
20.09.2024,"132,00",",",",","132,00",0.0,0,0,0
19.09.2024,"132,00","132,00","132,00","132,00",-1.49,209,"27,588","27,588"
18.09.2024,"134,00","134,00","134,00","134,00",-2.88,190,"25,460","25,460"
17.09.2024,"139,00",",",",","137,98",0.0,0,0,0
16.09.2024,"139,00",",",",","137,98",0.0,0,0,0
13.09.2024,"139,00","139,00","136,00","137,98",2.21,440,"60,710","60,710"
12.09.2024,"135,00",",",",","135,00",0.0,0,0,0
11.09.2024,"135,00",",",",","135,00",0.0,0,0,0
10.09.2024,"135,00",",",",","135,00",0.0,0,0,0
06.09.2024,"135,00","135,00","135,00","135,00",0.0,445,"60,075","60,075"
05.09.2024,"135,00","135,00","135,00","135,00",0.0,400,"54,000","54,000"
04.09.2024,"135,00",",",",","135,00",0.0,0,0,0
03.09.2024,"135,00",",",",","135,00",0.0,0,0,0
02.09.2024,"135,00",",",",","135,00",0.0,0,0,0
30.08.2024,"135,00",",",",","135,00",0.0,0,0,0
29.08.2024,"135,00","135,00","135,00","135,00",0.0,350,"47,250","47,250"
27.08.2024,"135,00","135,00","135,00","135,00",0.0,793,"107,055","107,055"
26.08.2024,"135,00",",",",","135,00",0.0,0,0,0
23.08.2024,"135,00","135,00","135,00","135,00",-2.88,175,"23,625","23,625"
22.08.2024,"139,00",",",",","139,00",0.0,0,0,0
21.08.2024,"139,00",",",",","139,00",0.0,0,0,0
20.08.2024,"139,00",",",",","139,00",0.0,0,0,0
19.08.2024,"139,00",",",",","139,00",0.0,0,0,0
16.08.2024,"139,00",",",",","139,00",0.0,0,0,0
15.08.2024,"139,00",",",",","139,00",0.0,0,0,0
14.08.2024,"139,00",",",",","139,00",0.0,0,0,0
13.08.2024,"139,00",",",",","139,00",0.0,0,0,0
12.08.2024,"139,00","139,00","139,00","139,00",-0.71,"5,100","708,900","708,900"
09.08.2024,"140,00",",",",","140,00",0.0,0,0,0
08.08.2024,"140,00",",",",","140,00",0.0,0,0,0
07.08.2024,"140,00",",",",","140,00",0.0,0,0,0
06.08.2024,"140,00",",",",","140,00",0.0,0,0,0
05.08.2024,"140,00","140,00","140,00","140,00",0.0,457,"63,980","63,980"
01.08.2024,"140,00",",",",","140,00",0.0,0,0,0
31.07.2024,"140,00","140,00","140,00","140,00",-4.11,457,"63,980","63,980"
30.07.2024,"146,00","146,00","146,00","146,00",4.29,90,"13,140","13,140"
29.07.2024,"140,00","140,00","140,00","140,00",0.0,"5,671","793,940","793,940"
26.07.2024,"140,00","140,00","140,00","140,00",0.0,"1,760","246,400","246,400"
25.07.2024,"140,00",",",",","140,00",0.0,0,0,0
24.07.2024,"140,00","140,00","140,00","140,00",2.19,200,"28,000","28,000"
23.07.2024,"137,00","137,00","137,00","137,00",-0.38,543,"74,391","74,391"
22.07.2024,"138,00","138,00","135,00","137,52",4.18,"1,244","171,072","171,072"
19.07.2024,"132,00",",",",","132,00",0.0,0,0,0
18.07.2024,"132,00","132,00","132,00","132,00",-3.39,900,"118,800","118,800"
17.07.2024,"136,00","137,00","136,00","136,63",0.46,"1,325","181,035","181,035"
16.07.2024,"136,00",",",",","136,00",0.0,0,0,0
15.07.2024,"136,00","136,00","136,00","136,00",-0.58,"9,000","1,224,000","1,224,000"
12.07.2024,"138,00",",",",","136,80",0.0,0,0,0
11.07.2024,"138,00",",",",","136,80",0.0,0,0,0
10.07.2024,"138,00",",",",","136,80",0.0,0,0,0
09.07.2024,"138,00",",",",","136,80",0.0,0,0,0
08.07.2024,"138,00",",",",","136,80",0.0,0,0,0
05.07.2024,"138,00","138,00","136,00","136,80",1.33,836,"114,368","114,368"
04.07.2024,"135,00","135,00","135,00","135,00",-2.88,"1,000","135,000","135,000"
03.07.2024,"139,00",",",",","139,00",0.0,0,0,0
02.07.2024,"139,00",",",",","139,00",0.0,0,0,0
01.07.2024,"139,00",",",",","139,00",0.0,0,0,0
28.06.2024,"139,00",",",",","139,00",0.0,0,0,0
27.06.2024,"139,00",",",",","139,00",0.0,0,0,0
26.06.2024,"139,00",",",",","139,00",0.0,0,0,0
25.06.2024,"139,00",",",",","139,00",0.0,0,0,0
24.06.2024,"139,00",",",",","139,00",0.0,0,0,0
20.06.2024,"139,00",",",",","139,00",0.0,0,0,0
19.06.2024,"139,00","139,00","139,00","139,00",0.0,100,"13,900","13,900"
18.06.2024,"139,00",",",",","139,00",0.0,0,0,0
17.06.2024,"139,00",",",",","139,00",0.0,0,0,0
14.06.2024,"139,00",",",",","139,00",0.0,0,0,0
13.06.2024,"139,00","139,00","139,00","139,00",-2.48,"1,000","139,000","139,000"
12.06.2024,"143,00",",",",","142,54",0.0,0,0,0
11.06.2024,"143,00",",",",","142,54",0.0,0,0,0
10.06.2024,"143,00",",",",","142,54",0.0,0,0,0
07.06.2024,"143,00","143,00","133,00","142,54",9.65,"36,757","5,239,356","5,239,356"
06.06.2024,"130,00",",",",","130,00",0.0,0,0,0
05.06.2024,"130,00",",",",","130,00",0.0,0,0,0
04.06.2024,"130,00",",",",","130,00",0.0,0,0,0
03.06.2024,"130,00",",",",","130,00",0.0,0,0,0
31.05.2024,"130,00",",",",","130,00",0.0,0,0,0
30.05.2024,"130,00","130,00","130,00","130,00",-0.31,"3,146","408,980","408,980"
29.05.2024,"130,00",",",",","130,40",0.0,0,0,0
28.05.2024,"130,00",",",",","130,40",0.0,0,0,0
27.05.2024,"130,00","131,00","130,00","130,40",-0.46,"2,334","304,360","304,360"
23.05.2024,"131,00","131,00","131,00","131,00",-1.5,"1,000","131,000","131,000"
22.05.2024,"133,00",",",",","133,00",0.0,0,0,0
21.05.2024,"133,00",",",",","133,00",0.0,0,0,0
20.05.2024,"133,00",",",",","133,00",0.0,0,0,0
17.05.2024,"133,00","133,00","133,00","133,00",2.06,172,"22,876","22,876"
16.05.2024,"130,00","131,00","130,00","130,31",0.24,"1,951","254,239","254,239"
15.05.2024,"130,00",",",",","130,00",0.0,0,0,0
14.05.2024,"130,00",",",",","130,00",0.0,0,0,0
13.05.2024,"130,00","130,00","130,00","130,00",-0.76,"1,223","158,990","158,990"
10.05.2024,"131,00",",",",","131,00",0.0,0,0,0
09.05.2024,"131,00","131,00","131,00","131,00",0.36,500,"65,500","65,500"
07.05.2024,"130,00","131,00","130,00","130,53",-1.11,935,"122,050","122,050"
02.05.2024,"132,00",",",",","132,00",0.0,0,0,0
30.04.2024,"132,00",",",",","132,00",0.0,0,0,0
29.04.2024,"132,00",",",",","132,00",0.0,0,0,0
26.04.2024,"132,00",",",",","132,00",0.0,0,0,0
25.04.2024,"132,00","132,00","132,00","132,00",0.0,230,"30,360","30,360"
23.04.2024,"132,00",",",",","132,00",0.0,0,0,0
22.04.2024,"132,00","132,00","132,00","132,00",-1.13,79,"10,428","10,428"
19.04.2024,"132,00","134,00","132,00","133,51",-3.25,831,"110,944","110,944"
18.04.2024,"138,00",",",",","138,00",0.0,0,0,0
17.04.2024,"138,00","138,00","138,00","138,00",5.34,113,"15,594","15,594"
16.04.2024,"131,00",",",",","131,00",0.0,0,0,0
15.04.2024,"131,00","131,00","131,00","131,00",-3.68,590,"77,290","77,290"
12.04.2024,"136,00","136,00","136,00","136,00",-1.45,"1,916","260,576","260,576"
11.04.2024,"138,00","138,00","138,00","138,00",2.65,"1,000","138,000","138,000"
09.04.2024,"135,00",",",",","134,44",0.0,0,0,0
08.04.2024,"135,00",",",",","134,44",0.0,0,0,0
05.04.2024,"135,00",",",",","134,44",0.0,0,0,0
04.04.2024,"135,00","135,00","134,00","134,44",0.33,900,"121,000","121,000"
03.04.2024,"134,00",",",",","134,00",0.0,0,0,0
02.04.2024,"134,00","134,00","134,00","134,00",0.75,927,"124,218","124,218"
01.04.2024,"133,00",",",",","133,00",0.0,0,0,0
29.03.2024,"133,00",",",",","133,00",0.0,0,0,0
28.03.2024,"133,00","133,00","133,00","133,00",0.23,"1,690","224,770","224,770"
