Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.12.2024,"28.299,00","28.300,00","28.290,00","28.295,92",-0.03,523,"14,798,767","14,798,767"
26.12.2024,"28.299,00","28.311,00","28.200,00","28.303,56",0.0,650,"18,397,312","18,397,312"
25.12.2024,"28.310,00","28.500,00","28.300,00","28.303,43",0.08,582,"16,472,599","16,472,599"
24.12.2024,"28.350,00","28.350,00","28.200,00","28.280,90",-0.11,460,"13,009,214","13,009,214"
23.12.2024,"28.300,00","28.360,00","28.050,00","28.312,51",-0.19,203,"5,747,440","5,747,440"
20.12.2024,"28.350,00","28.520,00","28.349,00","28.366,49",0.09,683,"19,374,315","19,374,315"
19.12.2024,"28.250,00","29.000,00","28.250,00","28.342,11",0.36,503,"14,256,081","14,256,081"
18.12.2024,"28.251,00","28.251,00","28.200,00","28.241,78",-0.01,484,"13,669,020","13,669,020"
17.12.2024,"28.250,00","28.250,00","28.230,00","28.244,91",0.11,369,"10,422,370","10,422,370"
16.12.2024,"28.250,00","28.250,00","28.198,00","28.213,17",0.37,580,"16,363,637","16,363,637"
13.12.2024,"28.150,00","28.200,00","28.100,00","28.110,06",0.29,300,"8,433,017","8,433,017"
12.12.2024,"28.001,00","28.100,00","27.950,00","28.030,17",0.6,822,"23,040,796","23,040,796"
11.12.2024,"27.979,00","27.980,00","27.800,00","27.863,62",0.02,629,"17,526,215","17,526,215"
10.12.2024,"27.850,00","27.992,00","27.800,00","27.859,13",-0.47,103,"2,869,490","2,869,490"
06.12.2024,"27.994,00","28.200,00","27.500,00","27.991,95",4.82,205,"5,738,350","5,738,350"
05.12.2024,"27.499,00","27.499,00","26.200,00","26.704,83",4.6,358,"9,560,330","9,560,330"
04.12.2024,"25.900,00","25.900,00","25.402,00","25.529,34",0.45,242,"6,178,100","6,178,100"
03.12.2024,"25.550,00","25.550,00","25.379,00","25.415,78",0.14,258,"6,557,272","6,557,272"
02.12.2024,"25.400,00","25.499,00","25.300,00","25.379,05",0.2,286,"7,258,407","7,258,407"
29.11.2024,"25.300,00","25.370,00","25.300,00","25.327,56",0.32,465,"11,777,315","11,777,315"
28.11.2024,"25.290,00","25.290,00","25.215,00","25.247,73",0.11,306,"7,725,805","7,725,805"
27.11.2024,"25.244,00","25.250,00","25.200,00","25.219,04",0.06,193,"4,867,275","4,867,275"
26.11.2024,"25.205,00","25.205,00","25.200,00","25.202,82",-0.06,333,"8,392,540","8,392,540"
25.11.2024,"25.200,00","25.300,00","25.150,00","25.218,05",0.18,577,"14,550,816","14,550,816"
22.11.2024,"25.100,00","25.200,00","25.100,00","25.172,12",-0.1,286,"7,199,226","7,199,226"
21.11.2024,"25.190,00","25.200,00","25.190,00","25.198,46",0.15,209,"5,266,479","5,266,479"
20.11.2024,"25.198,00","25.300,00","25.000,00","25.159,51",0.45,552,"13,888,050","13,888,050"
19.11.2024,"25.100,00","25.170,00","25.000,00","25.047,25",0.41,364,"9,117,198","9,117,198"
18.11.2024,"25.000,00","25.000,00","24.899,00","24.943,90",2.65,344,"8,580,703","8,580,703"
15.11.2024,"24.350,00","24.350,00","24.030,00","24.300,32",1.29,132,"3,207,642","7,629,322"
14.11.2024,"24.000,00","24.000,00","23.950,00","23.991,57",0.29,408,"9,788,559","13,733,409"
13.11.2024,"24.000,00","24.000,00","23.889,00","23.922,38",0.54,175,"4,186,417","8,110,017"
12.11.2024,"23.820,00","23.821,00","23.700,00","23.793,41",1.54,485,"11,539,805","15,449,805"
11.11.2024,"23.889,00","23.889,00","23.200,00","23.432,42",1.03,88,"2,062,053","2,062,053"
08.11.2024,"23.299,00","23.400,00","23.010,00","23.193,84",0.85,64,"1,484,406","1,484,406"
07.11.2024,"23.000,00","23.000,00","22.990,00","22.997,62",2.28,130,"2,989,691","2,989,691"
06.11.2024,"22.500,00","22.502,00","22.301,00","22.484,06",0.83,187,"4,204,519","4,204,519"
05.11.2024,"22.300,00","22.300,00","22.298,00","22.299,74",0.03,"3,434","76,577,300","76,577,300"
04.11.2024,"22.300,00","22.300,00","22.250,00","22.293,98",-0.1,408,"9,095,944","9,095,944"
01.11.2024,"22.300,00","22.351,00","22.300,00","22.316,35",0.11,712,"15,889,243","26,615,543"
31.10.2024,"22.250,00","22.310,00","22.250,00","22.291,33",0.19,218,"4,859,510","4,859,510"
30.10.2024,"22.250,00","22.250,00","22.250,00","22.250,00",-0.01,86,"1,913,500","1,913,500"
29.10.2024,"22.200,00","22.260,00","22.200,00","22.252,00",-0.07,125,"2,781,500","2,781,500"
28.10.2024,"22.300,00","22.350,00","22.250,00","22.266,81",0.18,111,"2,471,616","2,471,616"
25.10.2024,"22.200,00","22.251,00","22.200,00","22.225,74",-0.08,339,"7,534,525","7,534,525"
24.10.2024,"22.250,00","22.251,00","22.200,00","22.243,51",-0.2,359,"7,985,420","7,985,420"
22.10.2024,"22.250,00","22.500,00","22.200,00","22.288,64",0.06,78,"1,738,514","1,738,514"
21.10.2024,"22.250,00","22.300,00","22.200,00","22.274,43",0.09,298,"6,637,780","6,637,780"
18.10.2024,"22.250,00","22.300,00","22.249,00","22.254,15",0.04,222,"4,940,421","4,940,421"
