Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.12.2024,"635,00",",",",","635,00",0.0,0,0,0
26.12.2024,"635,00",",",",","635,00",0.0,0,0,0
25.12.2024,"635,00",",",",","635,00",0.0,0,0,0
24.12.2024,"635,00",",",",","635,00",0.0,0,0,0
23.12.2024,"635,00",",",",","635,00",0.0,0,0,0
20.12.2024,"635,00",",",",","635,00",0.0,0,0,0
19.12.2024,"635,00",",",",","635,00",0.0,0,0,0
18.12.2024,"635,00",",",",","635,00",0.0,0,0,0
17.12.2024,"635,00",",",",","635,00",0.0,0,0,0
16.12.2024,"635,00",",",",","635,00",0.0,0,0,0
13.12.2024,"635,00",",",",","635,00",0.0,0,0,0
12.12.2024,"635,00",",",",","635,00",0.0,0,0,0
11.12.2024,"635,00",",",",","635,00",0.0,0,0,0
10.12.2024,"635,00","635,00","635,00","635,00",,250,"158,750","158,750"
06.12.2024,",",",",",",",",,0,0,0
05.12.2024,",",",",",",",",,0,0,0
04.12.2024,",",",",",",",",,0,0,0
03.12.2024,",",",",",",",",,0,0,0
02.12.2024,",",",",",",",",,0,0,0
29.11.2024,",",",",",",",",,0,0,0
28.11.2024,",",",",",",",",,0,0,0
27.11.2024,",",",",",",",",,0,0,0
