Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.12.2024,"16.500,00","16.500,00","16.500,00","16.500,00",0.1,44,"726,000","726,000"
26.12.2024,"16.500,00","16.500,00","16.400,00","16.483,49",-0.1,81,"1,335,163","1,335,163"
25.12.2024,"16.500,00","16.500,00","16.500,00","16.500,00",2.59,35,"577,500","577,500"
24.12.2024,"16.490,00","16.490,00","16.015,00","16.082,86",-2.59,14,"225,160","225,160"
23.12.2024,"16.500,00","16.553,00","16.500,00","16.509,69",2.73,32,"528,310","528,310"
20.12.2024,"16.501,00","17.049,00","15.960,00","16.070,92",3.69,122,"1,960,652","5,548,652"
19.12.2024,"15.500,00","15.500,00","15.300,00","15.499,34",2.75,"3,036","47,056,000","47,056,000"
18.12.2024,"15.300,00","15.300,00","15.000,00","15.084,64",1.17,195,"2,941,505","2,941,505"
17.12.2024,"14.950,00","14.950,00","14.800,00","14.910,92",1.35,262,"3,906,660","3,906,660"
16.12.2024,"14.750,00","14.950,00","14.530,00","14.712,50",-1.78,144,"2,118,600","2,118,600"
13.12.2024,"14.950,00","14.998,00","14.940,00","14.979,32",-0.13,68,"1,018,594","1,018,594"
12.12.2024,"14.999,00","15.000,00","14.999,00","14.999,21",-0.01,200,"2,999,842","2,999,842"
11.12.2024,"15.000,00","15.000,00","15.000,00","15.000,00",-2.21,166,"2,490,000","2,490,000"
10.12.2024,"15.498,00",",",",","15.338,33",0.0,0,0,0
06.12.2024,"15.498,00","15.500,00","15.300,00","15.338,33",1.81,104,"1,595,186","1,595,186"
05.12.2024,"15.090,00","15.090,00","15.000,00","15.066,05",0.45,155,"2,335,237","2,335,237"
04.12.2024,"14.999,00","14.999,00","14.999,00","14.999,00",-0.01,12,"179,988","179,988"
03.12.2024,"14.999,00","15.000,00","14.999,00","14.999,75",-0.6,61,"914,985","914,985"
02.12.2024,"15.090,00","15.090,00","15.090,00","15.090,00",0.6,16,"241,440","241,440"
29.11.2024,"15.000,00","15.000,00","15.000,00","15.000,00",0.0,27,"405,000","405,000"
28.11.2024,"15.000,00","15.000,00","14.998,00","14.999,96",0.0,199,"2,984,992","2,984,992"
27.11.2024,"14.998,00","15.000,00","14.998,00","14.999,67",0.27,30,"449,990","449,990"
26.11.2024,"15.000,00","15.000,00","14.900,00","14.960,00",0.4,10,"149,600","149,600"
25.11.2024,"14.900,00",",",",","14.900,00",0.0,0,0,0
22.11.2024,"14.900,00","14.900,00","14.900,00","14.900,00",0.36,6,"89,400","89,400"
21.11.2024,"14.800,00",",",",","14.846,67",0.0,0,0,0
20.11.2024,"14.800,00","14.950,00","14.790,00","14.846,67",0.26,15,"222,700","222,700"
19.11.2024,"14.750,00",",",",","14.808,17",0.0,0,0,0
18.11.2024,"14.750,00","15.099,00","14.750,00","14.808,17",-0.62,18,"266,547","266,547"
15.11.2024,"14.900,00",",",",","14.900,00",0.0,0,0,0
14.11.2024,"14.900,00","14.900,00","14.900,00","14.900,00",0.0,4,"59,600","59,600"
13.11.2024,"14.900,00",",",",","14.900,00",0.0,0,0,0
12.11.2024,"14.900,00","14.900,00","14.900,00","14.900,00",1.21,10,"149,000","149,000"
11.11.2024,"15.069,00","15.069,00","14.550,00","14.721,59",-2.48,27,"397,483","397,483"
08.11.2024,"15.096,00","15.096,00","15.096,00","15.096,00",-0.01,9,"135,864","135,864"
07.11.2024,"15.098,00","15.098,00","15.098,00","15.098,00",-0.01,17,"256,666","256,666"
06.11.2024,"15.100,00",",",",","15.100,00",0.0,0,0,0
05.11.2024,"15.100,00","15.100,00","15.100,00","15.100,00",0.0,11,"166,100","166,100"
04.11.2024,"15.100,00","15.100,00","15.100,00","15.100,00",2.03,2,"30,200","30,200"
01.11.2024,"14.800,00","14.800,00","14.800,00","14.800,00",0.68,12,"177,600","177,600"
