Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.12.2024,"56.450,00","56.450,00","56.449,00","56.449,92",0.8,12,"677,399","677,399"
26.12.2024,"56.001,00","56.001,00","56.000,00","56.000,27",-0.88,15,"840,004","840,004"
25.12.2024,"56.500,00","56.500,00","56.500,00","56.500,00",0.27,6,"339,000","339,000"
24.12.2024,"56.495,00","56.499,00","56.000,00","56.349,82",-0.26,44,"2,479,392","2,479,392"
23.12.2024,"56.499,00","56.499,00","56.499,00","56.499,00",0.23,5,"282,495","282,495"
20.12.2024,"56.000,00","56.500,00","56.000,00","56.367,72",-0.27,134,"7,553,274","7,553,274"
19.12.2024,"56.500,00","57.500,00","56.499,00","56.519,21",0.93,135,"7,630,094","7,630,094"
18.12.2024,"55.999,00","56.000,00","55.998,00","55.998,98",0.0,42,"2,351,957","2,351,957"
17.12.2024,"55.997,00","56.000,00","55.996,00","55.998,19",-0.75,32,"1,791,942","1,791,942"
16.12.2024,"56.000,00","57.000,00","56.000,00","56.420,04",-1.02,90,"5,077,804","5,077,804"
13.12.2024,"57.000,00","57.000,00","56.999,00","56.999,80",2.7,60,"3,419,988","3,419,988"
12.12.2024,"55.500,00","55.500,00","55.500,00","55.500,00",1.77,5,"277,500","277,500"
11.12.2024,"54.450,00","56.000,00","54.400,00","54.534,85",0.01,33,"1,799,650","1,799,650"
10.12.2024,"54.500,00","55.000,00","54.500,00","54.531,25",0.88,16,"872,500","872,500"
06.12.2024,"54.500,00","54.660,00","53.700,00","54.055,61",3.57,23,"1,243,279","1,243,279"
05.12.2024,"52.500,00","52.500,00","52.000,00","52.194,28",2.32,18,"939,497","939,497"
04.12.2024,"51.100,00","51.500,00","50.500,00","51.013,06",1.23,31,"1,581,405","1,581,405"
03.12.2024,"50.500,00","50.500,00","50.000,00","50.391,30",1.4,23,"1,159,000","1,159,000"
02.12.2024,"50.100,00","50.100,00","49.499,00","49.694,11",0.89,35,"1,739,294","1,739,294"
29.11.2024,"49.300,00","50.029,00","48.900,00","49.254,40",1.4,15,"738,816","738,816"
28.11.2024,"48.550,00","48.600,00","48.550,00","48.572,22",-0.22,18,"874,300","874,300"
27.11.2024,"48.670,00","48.700,00","48.670,00","48.677,89",-0.37,19,"924,880","924,880"
26.11.2024,"48.900,00","48.900,00","48.800,00","48.860,13",-0.08,15,"732,902","732,902"
25.11.2024,"48.900,00","48.900,00","48.900,00","48.900,00",-0.2,15,"733,500","733,500"
22.11.2024,"48.989,00","49.000,00","48.989,00","48.998,23",0.0,31,"1,518,945","1,518,945"
21.11.2024,"49.000,00","49.000,00","49.000,00","49.000,00",-0.06,14,"686,000","686,000"
20.11.2024,"49.000,00","49.101,00","49.000,00","49.028,28",-0.12,46,"2,255,301","2,255,301"
19.11.2024,"49.000,00","49.500,00","49.000,00","49.087,24",0.18,109,"5,350,509","5,350,509"
18.11.2024,"48.999,00","48.999,00","48.999,00","48.999,00",1.98,2,"97,998","97,998"
15.11.2024,"47.800,00","48.800,00","47.800,00","48.049,88",1.39,16,"768,798","768,798"
