Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.12.2024,"7.150,00","7.150,00","7.000,00","7.138,89",-0.16,27,"192,750","192,750"
26.12.2024,"7.150,00","7.150,00","7.150,00","7.150,00",0.0,49,"350,350","350,350"
25.12.2024,"7.150,00","7.150,00","7.150,00","7.150,00",0.46,25,"178,750","178,750"
24.12.2024,"7.200,00","7.200,00","7.110,00","7.116,92",0.24,13,"92,520","92,520"
23.12.2024,"7.100,00","7.100,00","7.100,00","7.100,00",-1.39,10,"71,000","71,000"
20.12.2024,"7.200,00",",",",","7.200,00",0.0,0,0,0
19.12.2024,"7.200,00","7.200,00","7.200,00","7.200,00",-2.03,47,"338,400","338,400"
18.12.2024,"7.349,00",",",",","7.349,00",0.0,0,0,0
17.12.2024,"7.349,00",",",",","7.349,00",0.0,0,0,0
16.12.2024,"7.349,00",",",",","7.349,00",0.0,0,0,0
13.12.2024,"7.349,00","7.349,00","7.349,00","7.349,00",0.0,5,"36,745","36,745"
12.12.2024,"7.349,00",",",",","7.349,00",0.0,0,0,0
11.12.2024,"7.349,00","7.349,00","7.349,00","7.349,00",0.0,25,"183,725","183,725"
10.12.2024,"7.349,00","7.349,00","7.349,00","7.349,00",0.05,39,"286,611","286,611"
06.12.2024,"7.349,00","7.350,00","7.200,00","7.345,18",2.37,"1,051","7,719,786","7,719,786"
05.12.2024,"7.200,00","7.200,00","7.150,00","7.175,00",1.06,40,"287,000","287,000"
04.12.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
03.12.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
02.12.2024,"7.100,00","7.100,00","7.100,00","7.100,00",0.0,20,"142,000","142,000"
29.11.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
28.11.2024,"7.100,00","7.100,00","7.100,00","7.100,00",0.0,19,"134,900","134,900"
27.11.2024,"7.100,00","7.100,00","7.100,00","7.100,00",0.0,100,"710,000","710,000"
26.11.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
25.11.2024,"7.100,00","7.100,00","7.100,00","7.100,00",-0.14,10,"71,000","71,000"
22.11.2024,"7.110,00",",",",","7.110,00",0.0,0,0,0
21.11.2024,"7.110,00","7.110,00","7.110,00","7.110,00",-0.21,5,"35,550","35,550"
20.11.2024,"7.125,00","7.125,00","7.125,00","7.125,00",-0.35,15,"106,875","106,875"
19.11.2024,"7.150,00","7.150,00","7.150,00","7.150,00",-0.77,15,"107,250","107,250"
18.11.2024,"7.250,00",",",",","7.205,66",0.0,0,0,0
15.11.2024,"7.250,00","7.250,00","7.200,00","7.205,66",-0.25,53,"381,900","381,900"
14.11.2024,"7.250,00","7.250,00","7.200,00","7.223,39",0.32,62,"447,850","447,850"
13.11.2024,"7.200,00","7.200,00","7.200,00","7.200,00",2.86,57,"410,400","410,400"
12.11.2024,"7.000,00","7.000,00","7.000,00","7.000,00",-2.78,5,"35,000","35,000"
11.11.2024,"7.200,00",",",",","7.200,00",0.0,0,0,0
08.11.2024,"7.200,00",",",",","7.200,00",0.0,0,0,0
07.11.2024,"7.200,00",",",",","7.200,00",0.0,0,0,0
06.11.2024,"7.200,00",",",",","7.200,00",0.0,0,0,0
05.11.2024,"7.200,00","7.200,00","7.200,00","7.200,00",0.88,10,"72,000","72,000"
04.11.2024,"7.285,00","7.285,00","7.100,00","7.137,00",-2.02,10,"71,370","71,370"
01.11.2024,"7.284,00","7.284,00","7.284,00","7.284,00",2.59,7,"50,988","50,988"
31.10.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
30.10.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
29.10.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
28.10.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
25.10.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
24.10.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
22.10.2024,"7.100,00",",",",","7.100,00",0.0,0,0,0
21.10.2024,"7.100,00","7.100,00","7.100,00","7.100,00",-1.39,20,"142,000","142,000"
18.10.2024,"7.200,00",",",",","7.200,00",0.0,0,0,0
17.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00",0.0,11,"79,200","79,200"
16.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00",0.0,130,"936,000","936,000"
15.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00",-1.22,685,"4,932,000","4,932,000"
14.10.2024,"7.289,00",",",",","7.289,00",0.0,0,0,0
10.10.2024,"7.289,00",",",",","7.289,00",0.0,0,0,0
