Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,29700.0,29190.0,29700.0,29289.05,1.89,821,"24,046,309","24,046,309"
2025-01-14,29200.0,28700.0,29200.0,28744.9,0.51,788,"22,650,980","22,650,980"
2025-01-13,28600.0,28557.0,28600.0,28598.78,0.01,733,"20,962,906","20,962,906"
2025-01-10,28600.0,28550.0,29000.0,28596.28,0.40,"1,318","37,689,897","44,814,897"
2025-01-09,28513.0,28400.0,28999.0,28481.61,0.49,764,"21,759,950","21,759,950"
2025-01-08,28400.0,28300.0,28400.0,28342.55,0.18,47,"1,332,100","1,332,100"
2025-01-03,28300.0,28285.0,28300.0,28291.11,0.02,329,"9,307,775","9,307,775"
2025-01-02,28300.0,28250.0,28300.0,28286.0,0.13,361,"10,211,245","10,211,245"
2024-12-30,28250.0,28250.0,28250.0,28250.0,-0.16,180,"5,085,000","5,085,000"
2024-12-27,28299.0,28290.0,28300.0,28295.92,-0.03,523,"14,798,767","14,798,767"
2024-12-26,28299.0,28200.0,28311.0,28303.56,0.00,650,"18,397,312","18,397,312"
2024-12-25,28310.0,28300.0,28500.0,28303.43,0.08,582,"16,472,599","16,472,599"
2024-12-24,28350.0,28200.0,28350.0,28280.9,-0.11,460,"13,009,214","13,009,214"
2024-12-23,28300.0,28050.0,28360.0,28312.51,-0.19,203,"5,747,440","5,747,440"
2024-12-20,28350.0,28349.0,28520.0,28366.49,0.09,683,"19,374,315","19,374,315"
2024-12-19,28250.0,28250.0,29000.0,28342.11,0.36,503,"14,256,081","14,256,081"
2024-12-18,28251.0,28200.0,28251.0,28241.78,-0.01,484,"13,669,020","13,669,020"
2024-12-17,28250.0,28230.0,28250.0,28244.91,0.11,369,"10,422,370","10,422,370"
2024-12-16,28250.0,28198.0,28250.0,28213.17,0.37,580,"16,363,637","16,363,637"
2024-12-13,28150.0,28100.0,28200.0,28110.06,0.29,300,"8,433,017","8,433,017"
2024-12-12,28001.0,27950.0,28100.0,28030.17,0.60,822,"23,040,796","23,040,796"
2024-12-11,27979.0,27800.0,27980.0,27863.62,0.02,629,"17,526,215","17,526,215"
2024-12-10,27850.0,27800.0,27992.0,27859.13,-0.47,103,"2,869,490","2,869,490"
2024-12-06,27994.0,27500.0,28200.0,27991.95,4.82,205,"5,738,350","5,738,350"
2024-12-05,27499.0,26200.0,27499.0,26704.83,4.60,358,"9,560,330","9,560,330"
2024-12-04,25900.0,25402.0,25900.0,25529.34,0.45,242,"6,178,100","6,178,100"
2024-12-03,25550.0,25379.0,25550.0,25415.78,0.14,258,"6,557,272","6,557,272"
2024-12-02,25400.0,25300.0,25499.0,25379.05,0.20,286,"7,258,407","7,258,407"
2024-11-29,25300.0,25300.0,25370.0,25327.56,0.32,465,"11,777,315","11,777,315"
2024-11-28,25290.0,25215.0,25290.0,25247.73,0.11,306,"7,725,805","7,725,805"
2024-11-27,25244.0,25200.0,25250.0,25219.04,0.06,193,"4,867,275","4,867,275"
2024-11-26,25205.0,25200.0,25205.0,25202.82,-0.06,333,"8,392,540","8,392,540"
2024-11-25,25200.0,25150.0,25300.0,25218.05,0.18,577,"14,550,816","14,550,816"
2024-11-22,25100.0,25100.0,25200.0,25172.12,-0.10,286,"7,199,226","7,199,226"
2024-11-21,25190.0,25190.0,25200.0,25198.46,0.15,209,"5,266,479","5,266,479"
2024-11-20,25198.0,25000.0,25300.0,25159.51,0.45,552,"13,888,050","13,888,050"
2024-11-19,25100.0,25000.0,25170.0,25047.25,0.41,364,"9,117,198","9,117,198"
2024-11-18,25000.0,24899.0,25000.0,24943.9,2.65,344,"8,580,703","8,580,703"
2024-11-15,24350.0,24030.0,24350.0,24300.32,1.29,132,"3,207,642","7,629,322"
