Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,394.0,0.0,0.0,394.0,0.00,0,0,0
2025-01-16,394.0,0.0,0.0,394.0,0.00,0,0,0
2025-01-15,394.0,0.0,0.0,394.0,0.00,0,0,0
2025-01-14,394.0,0.0,0.0,394.0,0.00,0,0,0
2025-01-13,394.0,0.0,0.0,394.0,0.00,0,0,0
2025-01-10,394.0,0.0,0.0,394.0,0.00,0,0,0
2025-01-09,394.0,0.0,0.0,394.0,0.00,0,0,0
2025-01-08,394.0,0.0,0.0,394.0,0.00,0,0,0
2025-01-03,394.0,0.0,0.0,394.0,0.00,0,0,0
2025-01-02,394.0,0.0,0.0,394.0,0.00,0,0,0
2024-12-30,394.0,0.0,0.0,394.0,0.00,0,0,0
2024-12-27,394.0,394.0,394.0,394.0,1.03,45,"17,730","17,730"
2024-12-26,390.0,390.0,390.0,390.0,95.98,45,"17,550","17,550"
2024-12-25,199.0,199.0,199.0,199.0,0.00,39,"7,761","7,761"
2024-12-24,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-23,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-20,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-19,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-18,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-17,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-16,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-13,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-12,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-11,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-10,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-06,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-05,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-04,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-03,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-12-02,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-11-29,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-11-28,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-11-27,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-11-26,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-11-25,199.0,0.0,0.0,199.0,0.00,0,0,0
2024-11-22,199.0,0.0,0.0,199.0,0.00,0,0,0
