Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,61.0,0.0,0.0,61.0,0.00,0,0,0
2025-01-16,61.0,0.0,0.0,61.0,0.00,0,0,0
2025-01-15,61.0,0.0,0.0,61.0,0.00,0,0,0
2025-01-14,61.0,0.0,0.0,61.0,0.00,0,0,0
2025-01-13,61.0,0.0,0.0,61.0,0.00,0,0,0
2025-01-10,61.0,0.0,0.0,61.0,0.00,0,0,0
2025-01-09,61.0,0.0,0.0,61.0,0.00,0,0,0
2025-01-08,61.0,0.0,0.0,61.0,0.00,0,0,0
2025-01-03,61.0,0.0,0.0,61.0,0.00,0,0,0
2025-01-02,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-30,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-27,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-26,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-25,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-24,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-23,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-20,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-19,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-18,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-17,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-16,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-13,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-12,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-11,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-10,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-06,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-05,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-04,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-03,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-12-02,61.0,0.0,0.0,61.0,0.00,0,0,0
2024-11-29,61.0,0.0,0.0,61.0,0.00,0,0,0
