Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,3900.0,3900.0,3900.0,3900.0,1.01,50,"195,000","195,000"
2025-01-16,3861.0,0.0,0.0,3861.0,0.00,0,0,0
2025-01-15,3861.0,3861.0,3861.0,3861.0,1.21,132,"509,652","509,652"
2025-01-14,3815.0,0.0,0.0,3815.0,0.00,0,0,0
2025-01-13,3815.0,0.0,0.0,3815.0,0.00,0,0,0
2025-01-10,3815.0,0.0,0.0,3815.0,0.00,0,0,0
2025-01-09,3815.0,0.0,0.0,3815.0,0.00,0,0,0
2025-01-08,3815.0,0.0,0.0,3815.0,0.00,0,0,0
2025-01-03,3815.0,3815.0,3815.0,3815.0,0.37,100,"381,500","381,500"
2025-01-02,3801.0,0.0,0.0,3801.0,0.00,0,0,0
2024-12-30,3801.0,0.0,0.0,3801.0,0.00,0,0,0
2024-12-27,3801.0,0.0,0.0,3801.0,0.00,0,0,0
2024-12-26,3801.0,0.0,0.0,3801.0,0.00,0,0,0
2024-12-25,3801.0,0.0,0.0,3801.0,0.00,0,0,0
2024-12-24,3801.0,0.0,0.0,3801.0,0.00,0,0,0
2024-12-23,3801.0,3801.0,3801.0,3801.0,-3.77,100,"380,100","380,100"
2024-12-20,3950.0,3950.0,3950.0,3950.0,2.57,89,"351,550","351,550"
2024-12-19,3851.0,0.0,0.0,3851.0,0.00,0,0,0
2024-12-18,3851.0,3851.0,3851.0,3851.0,-1.26,16,"61,616","61,616"
2024-12-17,3900.0,3900.0,3900.0,3900.0,1.19,20,"78,000","78,000"
2024-12-16,3868.0,0.0,0.0,3854.0,0.00,0,0,0
2024-12-13,3868.0,0.0,0.0,3854.0,0.00,0,0,0
2024-12-12,3868.0,0.0,0.0,3854.0,0.00,0,0,0
2024-12-11,3868.0,3868.0,3840.0,3854.0,2.62,100,"385,400","385,400"
2024-12-10,3800.0,0.0,0.0,3755.73,0.00,0,0,0
2024-12-06,3800.0,3800.0,3751.0,3755.73,1.37,207,"777,437","777,437"
2024-12-05,3705.0,0.0,0.0,3705.0,0.00,0,0,0
2024-12-04,3705.0,3705.0,3705.0,3705.0,0.07,150,"555,750","555,750"
2024-12-03,3702.0,0.0,0.0,3702.36,0.00,0,0,0
2024-12-02,3702.0,0.0,0.0,3702.36,0.00,0,0,0
2024-11-29,3702.0,0.0,0.0,3702.36,0.00,0,0,0
2024-11-28,3702.0,0.0,0.0,3702.36,0.00,0,0,0
2024-11-27,3702.0,0.0,0.0,3702.36,0.00,0,0,0
2024-11-26,3702.0,0.0,0.0,3702.36,0.00,0,0,0
2024-11-25,3702.0,3703.0,3702.0,3702.36,-0.02,200,"740,471","740,471"
2024-11-22,3703.0,3703.0,3703.0,3703.0,-0.03,4,"14,812","14,812"
2024-11-21,3704.0,3704.0,3704.0,3704.0,0.05,66,"244,464","244,464"
2024-11-20,3702.0,0.0,0.0,3702.3,0.00,0,0,0
2024-11-19,3702.0,0.0,0.0,3702.3,0.00,0,0,0
2024-11-18,3702.0,0.0,0.0,3702.3,0.00,0,0,0
2024-11-15,3702.0,0.0,0.0,3702.3,0.00,0,0,0
2024-11-14,3702.0,0.0,0.0,3702.3,0.00,0,0,0
2024-11-13,3702.0,3703.0,3702.0,3702.3,0.02,82,"303,589","303,589"
2024-11-12,3702.0,3702.0,3700.0,3701.54,0.04,648,"2,398,596","2,398,596"
2024-11-11,3700.0,0.0,0.0,3700.0,0.00,0,0,0
2024-11-08,3700.0,0.0,0.0,3700.0,0.00,0,0,0
2024-11-07,3700.0,0.0,0.0,3700.0,0.00,0,0,0
2024-11-06,3700.0,0.0,0.0,3700.0,0.00,0,0,0
2024-11-05,3700.0,0.0,0.0,3700.0,0.00,0,0,0
2024-11-04,3700.0,0.0,0.0,3700.0,0.00,0,0,0
2024-11-01,3700.0,0.0,0.0,3700.0,0.00,0,0,0
