Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,30798.0,30799.0,30389.0,30562.83,0.58,439,"13,417,084","21,067,084"
2025-01-16,30389.0,30400.0,30377.0,30385.81,1.22,519,"15,770,234","15,770,234"
2025-01-15,30198.0,30200.0,29830.0,30020.99,0.63,656,"19,693,771","19,693,771"
2025-01-14,29897.0,29899.0,29799.0,29833.73,0.25,226,"6,742,423","6,742,423"
2025-01-13,29897.0,29905.0,29700.0,29758.7,0.15,398,"11,843,961","11,843,961"
2025-01-10,29725.0,29899.0,29401.0,29712.74,1.69,309,"9,181,237","15,604,337"
2025-01-09,29300.0,29300.0,29187.0,29218.12,0.77,373,"10,898,357","10,898,357"
2025-01-08,29000.0,29199.0,28800.0,28994.56,0.28,321,"9,307,254","9,307,254"
2025-01-03,29000.0,29000.0,28800.0,28913.41,1.43,232,"6,707,910","6,707,910"
2025-01-02,28800.0,28800.0,28490.0,28506.33,0.23,60,"1,710,380","1,710,380"
2024-12-30,28301.0,28497.0,28300.0,28440.34,0.54,182,"5,176,141","5,176,141"
2024-12-27,28297.0,28300.0,28200.0,28287.4,0.08,531,"15,020,611","15,020,611"
2024-12-26,28249.0,28498.0,28200.0,28265.78,0.23,"1,111","31,403,286","31,403,286"
2024-12-25,28197.0,28299.0,28150.0,28202.31,0.22,794,"22,392,637","25,212,637"
2024-12-24,28100.0,28399.0,28099.0,28141.77,-1.99,537,"15,112,133","15,112,133"
2024-12-23,28200.0,29099.0,28161.0,28713.35,-1.10,358,"10,279,381","13,800,481"
2024-12-20,28801.0,29200.0,28801.0,29031.95,0.51,686,"19,915,920","31,515,920"
2024-12-19,29000.0,29000.0,28800.0,28885.01,3.69,516,"14,904,667","14,904,667"
2024-12-18,28299.0,28300.0,27499.0,27857.02,2.54,349,"9,722,099","9,722,099"
2024-12-17,27250.0,27250.0,27000.0,27166.47,0.66,334,"9,073,602","9,073,602"
2024-12-16,27000.0,27000.0,26983.0,26988.32,-0.03,307,"8,285,413","8,285,413"
2024-12-13,26994.0,26999.0,26990.0,26995.83,0.16,389,"10,501,377","10,501,377"
2024-12-12,26950.0,26989.0,26948.0,26951.54,-0.09,358,"9,648,650","9,648,650"
2024-12-11,26995.0,27000.0,26898.0,26975.61,0.56,361,"9,738,194","9,738,194"
2024-12-10,26750.0,26990.0,26500.0,26824.55,-0.40,234,"6,276,945","6,276,945"
2024-12-06,26901.0,27000.0,26301.0,26931.73,3.23,406,"10,934,281","10,934,281"
2024-12-05,26301.0,26301.0,25949.0,26089.46,1.99,459,"11,975,062","24,602,622"
2024-12-04,25649.0,25650.0,25002.0,25581.37,3.89,339,"8,672,085","8,672,085"
2024-12-03,24702.0,24969.0,24599.0,24623.26,1.57,376,"9,258,344","9,258,344"
2024-12-02,24550.0,24550.0,24199.0,24242.42,0.80,566,"13,721,208","13,721,208"
2024-11-29,24199.0,24200.0,24000.0,24049.39,-0.20,343,"8,248,940","8,248,940"
2024-11-28,24100.0,24100.0,24000.0,24098.49,0.52,467,"11,253,997","11,253,997"
2024-11-27,24000.0,24099.0,23801.0,23972.74,0.27,473,"11,339,106","11,339,106"
2024-11-26,23890.0,24180.0,23500.0,23909.28,-0.87,346,"8,272,610","8,272,610"
2024-11-25,24097.0,24200.0,24097.0,24118.91,-0.51,"1,071","25,831,356","25,831,356"
2024-11-22,24200.0,24300.0,24200.0,24242.93,-0.05,323,"7,830,466","7,830,466"
2024-11-21,24250.0,24301.0,24150.0,24254.41,-0.50,185,"4,487,066","4,487,066"
2024-11-20,24330.0,24400.0,24300.0,24376.47,0.06,455,"11,091,296","11,091,296"
2024-11-19,24312.0,24598.0,24310.0,24362.01,-0.96,"1,195","29,112,605","40,750,105"
2024-11-18,24550.0,24749.0,24547.0,24598.7,-0.40,738,"18,153,838","18,153,838"
2024-11-15,24680.0,24749.0,24600.0,24696.75,-0.03,310,"7,655,993","12,252,318"
2024-11-14,24699.0,24790.0,24698.0,24705.2,-0.35,"1,096","27,076,903","31,052,903"
2024-11-13,24800.0,24848.0,24700.0,24792.79,0.02,489,"12,123,673","16,099,673"
2024-11-12,24770.0,24850.0,24770.0,24788.51,-0.58,469,"11,625,809","11,625,809"
2024-11-11,24900.0,24994.0,24900.0,24932.96,-0.17,380,"9,474,523","14,763,923"
2024-11-08,24900.0,24999.0,24900.0,24975.96,0.10,232,"5,794,422","5,794,422"
2024-11-07,24998.0,24999.0,24900.0,24951.77,-0.13,109,"2,719,743","2,719,743"
2024-11-06,24900.0,25000.0,24900.0,24983.63,0.08,412,"10,293,255","10,293,255"
2024-11-05,24977.0,25000.0,24899.0,24962.5,0.32,763,"19,046,384","19,046,384"
2024-11-04,24897.0,24900.0,24600.0,24882.6,1.89,417,"10,376,043","10,376,043"
2024-11-01,24400.0,24900.0,24300.0,24419.95,1.50,"1,224","29,890,022","29,890,022"
2024-10-31,24070.0,24070.0,24000.0,24058.49,0.39,314,"7,554,365","7,554,365"
2024-10-30,23969.0,23976.0,23950.0,23964.34,-0.01,962,"23,053,698","23,053,698"
2024-10-29,23960.0,23970.0,23960.0,23967.76,-0.01,380,"9,107,747","15,100,247"
