Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2025-01-16,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2025-01-15,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2025-01-14,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2025-01-13,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2025-01-10,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2025-01-09,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2025-01-08,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2025-01-03,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2025-01-02,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-30,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-27,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-26,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-25,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-24,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-23,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-20,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-19,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-18,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-17,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-16,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-13,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-12,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-11,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-10,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-06,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-05,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-04,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-03,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-12-02,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-29,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-28,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-27,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-26,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-25,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-22,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-21,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-20,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-19,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-18,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-15,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-14,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-13,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-12,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-11,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-08,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-07,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-06,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-05,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-04,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-11-01,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-31,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-30,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-29,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-28,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-25,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-24,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-22,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-21,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-18,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-17,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-16,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-15,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-14,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-10,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-09,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-08,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-07,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-04,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-03,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-02,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-10-01,18000.0,0.0,0.0,18000.0,0.00,0,0,0
2024-09-30,18000.0,0.0,0.0,18000.0,0.00,0,0,0
