Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,9500.0,9500.0,9500.0,9500.0,4.40,15,"142,500","142,500"
2025-01-16,9100.0,0.0,0.0,9100.0,0.00,0,0,0
2025-01-15,9100.0,0.0,0.0,9100.0,0.00,0,0,0
2025-01-14,9100.0,0.0,0.0,9100.0,0.00,0,0,0
2025-01-13,9100.0,9100.0,9100.0,9100.0,1.56,10,"91,000","91,000"
2025-01-10,8960.0,8960.0,8960.0,8960.0,0.00,156,"1,397,760","1,397,760"
2025-01-09,8960.0,0.0,0.0,8960.0,0.00,0,0,0
2025-01-08,8960.0,0.0,0.0,8960.0,0.00,0,0,0
2025-01-03,8960.0,8960.0,8960.0,8960.0,2.99,30,"268,800","268,800"
2025-01-02,8700.0,8700.0,8700.0,8700.0,2.96,81,"704,700","704,700"
2024-12-30,8400.0,0.0,0.0,8450.0,0.00,0,0,"454,917,788"
2024-12-27,8400.0,0.0,0.0,8450.0,0.00,0,0,0
2024-12-26,8400.0,0.0,0.0,8450.0,0.00,0,0,0
2024-12-25,8400.0,0.0,0.0,8450.0,0.00,0,0,0
2024-12-24,8400.0,0.0,0.0,8450.0,0.00,0,0,0
2024-12-23,8400.0,8850.0,8400.0,8450.0,-4.89,54,"456,300","166,506,300"
2024-12-20,8870.0,0.0,0.0,8884.55,0.00,0,0,0
2024-12-19,8870.0,0.0,0.0,8884.55,0.00,0,0,0
2024-12-18,8870.0,0.0,0.0,8884.55,0.00,0,0,0
2024-12-17,8870.0,0.0,0.0,8884.55,0.00,0,0,0
2024-12-16,8870.0,0.0,0.0,8884.55,0.00,0,0,0
2024-12-13,8870.0,8890.0,8870.0,8884.55,-9.85,11,"97,730","97,730"
2024-12-12,9855.0,0.0,0.0,9855.0,0.00,0,0,0
2024-12-11,9855.0,0.0,0.0,9855.0,0.00,0,0,0
2024-12-10,9855.0,0.0,0.0,9855.0,0.00,0,0,0
2024-12-06,9855.0,0.0,0.0,9855.0,0.00,0,0,0
2024-12-05,9855.0,0.0,0.0,9855.0,0.00,0,0,0
2024-12-04,9855.0,9855.0,9855.0,9855.0,-10.00,700,"6,898,500","6,898,500"
2024-12-03,10950.0,10950.0,10950.0,10950.0,9.99,210,"2,299,500","55,497,750"
2024-12-02,9955.0,9955.0,9955.0,9955.0,10.00,589,"5,863,495","619,978,869"
2024-11-29,9050.0,9050.0,9050.0,9050.0,9.99,"2,835","25,656,750","119,352,958"
2024-11-28,8228.0,8228.0,8228.0,8228.0,9.99,"2,347","19,311,116","19,311,116"
2024-11-27,7500.0,7500.0,7400.0,7480.39,0.76,879,"6,575,260","12,156,840"
2024-11-26,7400.0,7550.0,7300.0,7423.88,-3.57,160,"1,187,820","1,187,820"
2024-11-25,7699.0,7699.0,7699.0,7699.0,0.00,78,"600,522","600,522"
2024-11-22,7699.0,0.0,0.0,7699.0,0.00,0,0,0
2024-11-21,7699.0,0.0,0.0,7699.0,0.00,0,0,0
2024-11-20,7699.0,7699.0,7699.0,7699.0,1.58,781,"6,012,919","6,012,919"
2024-11-19,7300.0,7700.0,7300.0,7579.57,1.04,93,"704,900","418,691,507"
2024-11-18,7500.0,7505.0,7500.0,7501.25,-6.23,60,"450,075","450,075"
2024-11-15,8000.0,0.0,0.0,8000.0,0.00,0,0,0
2024-11-14,8000.0,0.0,0.0,8000.0,0.00,0,0,0
2024-11-13,8000.0,0.0,0.0,8000.0,0.00,0,0,0
2024-11-12,8000.0,0.0,0.0,8000.0,0.00,0,0,"415,321,604"
2024-11-11,8000.0,0.0,0.0,8000.0,0.00,0,0,0
2024-11-08,8000.0,0.0,0.0,8000.0,0.00,0,0,0
2024-11-07,8000.0,8000.0,8000.0,8000.0,3.16,5,"40,000","40,000"
2024-11-06,7710.0,0.0,0.0,7754.83,0.00,0,0,0
2024-11-05,7710.0,0.0,0.0,7754.83,0.00,0,0,0
2024-11-04,7710.0,0.0,0.0,7754.83,0.00,0,0,"315,276,500"
2024-11-01,7710.0,0.0,0.0,7754.83,0.00,0,0,0
2024-10-31,7710.0,7760.0,7710.0,7754.83,-3.06,290,"2,248,900","2,248,900"
2024-10-30,8000.0,8000.0,8000.0,8000.0,2.59,14,"112,000","564,161,710"
2024-10-29,7900.0,0.0,0.0,7797.96,0.00,0,0,0
2024-10-28,7900.0,0.0,0.0,7797.96,0.00,0,0,0
2024-10-25,7900.0,7900.0,7700.0,7797.96,1.63,392,"3,056,800","37,868,200"
2024-10-24,7800.0,7800.0,7650.0,7673.19,-7.35,690,"5,294,500","5,294,500"
2024-10-22,7720.0,0.0,0.0,8282.33,0.00,0,0,"9,047,000"
2024-10-21,7720.0,0.0,0.0,8282.33,0.00,0,0,0
2024-10-18,7720.0,8500.0,7720.0,8282.33,-2.56,"15,158","125,543,620","125,543,620"
2024-10-17,8500.0,8500.0,8500.0,8500.0,-2.30,25,"212,500","212,500"
2024-10-16,8700.0,8700.0,8700.0,8700.0,0.00,17,"147,900","147,900"
2024-10-15,8700.0,8700.0,8700.0,8700.0,-3.33,3,"26,100","26,100"
2024-10-14,9000.0,9000.0,9000.0,9000.0,0.00,17,"153,000","153,000"
2024-10-10,9000.0,9000.0,9000.0,9000.0,1.15,36,"324,000","6,784,000"
2024-10-09,9000.0,9000.0,8751.0,8897.47,-1.37,34,"302,514","302,514"
2024-10-08,9200.0,9200.0,8800.0,9020.85,1.36,129,"1,163,690","152,099,690"
2024-10-07,8900.0,8900.0,8900.0,8900.0,-2.00,20,"178,000","144,692,500"
2024-10-04,9100.0,9100.0,8610.0,9081.3,4.81,562,"5,103,690","33,756,990"
2024-10-03,8680.0,8680.0,8500.0,8664.5,0.63,329,"2,850,620","27,962,140"
2024-10-02,8610.0,8610.0,8610.0,8610.0,1.27,45,"387,450","4,467,450"
2024-10-01,8570.0,8570.0,8480.0,8501.89,0.02,953,"8,102,300","74,670,300"
2024-09-30,8500.0,8500.0,8499.0,8499.94,2.12,722,"6,136,955","48,290,655"
2024-09-27,8400.0,8400.0,8200.0,8323.88,2.06,278,"2,314,040","2,314,040"
2024-09-26,8103.0,8343.0,8100.0,8156.06,0.69,193,"1,574,119","1,574,119"
2024-09-25,8100.0,0.0,0.0,8100.0,0.00,0,0,"5,248,800"
2024-09-24,8100.0,8100.0,8100.0,8100.0,0.00,173,"1,401,300","1,401,300"
2024-09-23,8100.0,8100.0,8100.0,8100.0,0.62,156,"1,263,600","84,407,600"
2024-09-20,8050.0,8050.0,8050.0,8050.0,0.32,50,"402,500","402,500"
2024-09-19,8050.0,8050.0,7800.0,8024.22,0.02,424,"3,402,270","3,402,270"
2024-09-18,8000.0,0.0,0.0,8022.87,0.00,0,0,0
2024-09-17,8000.0,0.0,0.0,8022.87,0.00,0,0,0
2024-09-16,8000.0,0.0,0.0,8022.87,0.00,0,0,0
2024-09-13,8000.0,8050.0,7990.0,8022.87,-0.34,52,"417,189","417,189"
2024-09-12,8050.0,0.0,0.0,8050.0,0.00,0,0,0
2024-09-11,8050.0,0.0,0.0,8050.0,0.00,0,0,0
2024-09-10,8050.0,0.0,0.0,8050.0,0.00,0,0,0
2024-09-06,8050.0,8050.0,8050.0,8050.0,1.90,361,"2,906,050","2,906,050"
2024-09-05,7900.0,7900.0,7900.0,7900.0,2.49,22,"173,800","173,800"
2024-09-04,7700.0,0.0,0.0,7707.74,0.00,0,0,"2,955,000"
2024-09-03,7700.0,0.0,0.0,7707.74,0.00,0,0,0
2024-09-02,7700.0,0.0,0.0,7707.74,0.00,0,0,0
2024-08-30,7700.0,0.0,0.0,7707.74,0.00,0,0,0
2024-08-29,7700.0,0.0,0.0,7707.74,0.00,0,0,0
2024-08-27,7700.0,7813.0,7700.0,7707.74,-1.35,73,"562,665","562,665"
2024-08-26,7750.0,7830.0,7750.0,7813.16,2.38,190,"1,484,500","1,484,500"
2024-08-23,7725.0,7725.0,7503.0,7631.23,1.75,"1,419","10,828,720","13,101,220"
2024-08-22,7500.0,0.0,0.0,7500.0,0.00,0,0,"2,325,000"
2024-08-21,7500.0,0.0,0.0,7500.0,0.00,0,0,0
2024-08-20,7500.0,0.0,0.0,7500.0,0.00,0,0,0
2024-08-19,7500.0,0.0,0.0,7500.0,0.00,0,0,0
2024-08-16,7500.0,0.0,0.0,7500.0,0.00,0,0,0
2024-08-15,7500.0,0.0,0.0,7500.0,0.00,0,0,"10,500,000"
2024-08-14,7500.0,0.0,0.0,7500.0,0.00,0,0,0
2024-08-13,7500.0,7500.0,7500.0,7500.0,0.00,150,"1,125,000","1,125,000"
2024-08-12,7500.0,0.0,0.0,7500.0,0.00,0,0,0
2024-08-09,7500.0,0.0,0.0,7500.0,0.00,0,0,0
2024-08-08,7500.0,0.0,0.0,7500.0,0.00,0,0,0
2024-08-07,7500.0,7500.0,7500.0,7500.0,-0.92,38,"285,000","285,000"
