Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2025-01-16,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2025-01-15,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2025-01-14,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2025-01-13,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2025-01-10,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2025-01-09,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2025-01-08,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2025-01-03,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2025-01-02,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-30,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-27,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-26,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-25,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-24,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-23,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-20,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-19,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-18,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-17,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-16,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-13,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-12,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-11,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-10,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-06,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-05,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-04,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-03,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-12-02,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-29,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-28,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-27,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-26,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-25,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-22,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-21,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-20,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-19,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-18,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-15,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-14,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-13,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-12,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-11,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-08,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-07,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-06,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-05,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-04,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-11-01,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-31,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-30,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-29,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-28,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-25,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-24,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-22,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-21,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-18,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-17,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-16,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-15,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-14,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-10,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-09,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-08,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-07,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-04,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-03,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-02,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-10-01,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-30,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-27,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-26,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-25,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-24,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-23,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-20,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-19,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-18,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-17,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-16,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-13,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-12,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-11,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-10,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-06,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-05,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-04,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-03,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-09-02,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-08-30,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-08-29,6334.0,0.0,0.0,6334.0,0.00,0,0,0
2024-08-27,6334.0,6334.0,6334.0,6334.0,2.99,150,"950,100","950,100"
2024-08-26,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-23,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-22,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-21,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-20,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-19,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-16,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-15,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-14,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-13,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-12,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-09,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-08,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-07,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-06,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-05,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-08-01,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-31,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-30,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-29,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-26,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-25,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-24,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-23,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-22,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-19,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-18,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-17,6150.0,0.0,0.0,6150.0,0.00,0,0,0
2024-07-16,6150.0,0.0,0.0,6150.0,0.00,0,0,0
