Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,50.0,0,0,50.0,0.00,0,0,0
2025-01-14,50.0,0,0,50.0,0.00,0,0,0
2025-01-13,50.0,0,0,50.0,0.00,0,0,0
2025-01-10,50.0,0,0,50.0,0.00,0,0,0
2025-01-09,50.0,0.0,0.0,50.0,0.00,0,0,0
2025-01-08,50.0,0.0,0.0,50.0,0.00,0,0,0
2025-01-03,50.0,0.0,0.0,50.0,0.00,0,0,0
2025-01-02,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-30,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-27,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-26,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-25,50.0,50.0,50.0,50.0,0.00,"80,670","4,033,500","4,033,500"
2024-12-24,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-23,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-20,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-19,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-18,50.0,50.0,50.0,50.0,0.00,"26,654","1,332,700","1,332,700"
2024-12-17,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-16,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-13,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-12,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-11,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-10,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-06,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-05,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-04,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-03,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-12-02,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-29,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-28,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-27,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-26,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-25,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-22,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-21,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-20,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-19,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-18,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-15,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-14,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-13,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-12,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-11,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-08,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-07,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-06,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-05,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-04,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-11-01,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-31,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-30,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-29,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-28,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-25,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-24,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-22,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-21,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-18,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-17,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-16,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-15,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-14,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-10,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-09,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-08,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-07,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-04,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-03,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-02,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-10-01,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-30,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-27,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-26,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-25,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-24,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-23,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-20,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-19,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-18,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-17,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-16,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-13,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-12,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-11,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-10,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-06,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-05,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-04,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-09-03,50.0,50.0,50.0,50.0,0.00,618,"30,900","30,900"
2024-09-02,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-30,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-29,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-27,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-26,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-23,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-22,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-21,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-20,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-19,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-16,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-15,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-14,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-13,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-12,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-09,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-08,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-07,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-06,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-05,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-08-01,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-31,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-30,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-29,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-26,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-25,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-24,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-23,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-22,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-19,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-18,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-17,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-16,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-15,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-12,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-11,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-10,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-09,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-08,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-05,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-04,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-03,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-02,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-07-01,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-28,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-27,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-26,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-25,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-24,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-20,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-19,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-18,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-17,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-14,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-13,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-12,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-11,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-10,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-07,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-06,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-05,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-04,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-06-03,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-31,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-30,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-29,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-28,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-27,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-23,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-22,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-21,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-20,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-17,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-16,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-15,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-14,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-13,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-10,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-09,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-07,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-05-02,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-30,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-29,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-26,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-25,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-23,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-22,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-19,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-18,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-17,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-16,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-15,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-12,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-11,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-09,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-08,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-05,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-04,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-03,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-02,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-04-01,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-03-29,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-03-28,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-03-27,50.0,0.0,0.0,50.0,0.00,0,0,0
