Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,4.0,0.0,0.0,4.0,0.00,0,0,0
2025-01-16,4.0,0.0,0.0,4.0,0.00,0,0,0
2025-01-15,4.0,0.0,0.0,4.0,0.00,0,0,0
2025-01-14,4.0,0.0,0.0,4.0,0.00,0,0,0
2025-01-13,4.0,0.0,0.0,4.0,0.00,0,0,0
2025-01-10,4.0,0.0,0.0,4.0,0.00,0,0,0
2025-01-09,4.0,0.0,0.0,4.0,0.00,0,0,0
2025-01-08,4.0,0.0,0.0,4.0,0.00,0,0,0
2025-01-03,4.0,0.0,0.0,4.0,0.00,0,0,0
2025-01-02,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-30,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-27,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-26,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-25,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-24,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-23,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-20,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-19,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-18,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-17,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-16,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-13,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-12,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-11,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-10,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-06,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-05,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-04,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-03,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-12-02,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-29,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-28,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-27,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-26,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-25,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-22,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-21,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-20,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-19,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-18,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-15,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-14,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-13,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-12,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-11,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-08,4.0,0.0,0.0,4.0,0.00,0,0,0
2024-11-07,4.0,0.0,0.0,4.0,0.00,0,0,0
