Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-16,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-15,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-14,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-13,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-10,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-09,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-08,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-03,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-02,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-30,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-27,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-26,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-25,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-24,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-23,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-20,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-19,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-18,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-17,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-16,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-13,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-12,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-11,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-10,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-06,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-05,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-04,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-03,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-02,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-29,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-28,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-27,20.0,0.0,0.0,20.0,0.00,0,0,0
