Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,48.0,0.0,0.0,48.0,0.00,0,0,0
2025-01-16,48.0,48.0,48.0,48.0,2.13,500,"24,000","24,000"
2025-01-15,47.0,0.0,0.0,47.0,0.00,0,0,0
2025-01-14,47.0,0.0,0.0,47.0,0.00,0,0,0
2025-01-13,47.0,0.0,0.0,47.0,0.00,0,0,0
2025-01-10,47.0,47.0,47.0,47.0,-2.08,"1,000","47,000","47,000"
2025-01-09,48.0,0.0,0.0,48.0,0.00,0,0,0
2025-01-08,48.0,0.0,0.0,48.0,0.00,0,0,0
2025-01-03,48.0,0.0,0.0,48.0,0.00,0,0,0
2025-01-02,48.0,0.0,0.0,48.0,0.00,0,0,0
2024-12-30,48.0,0.0,0.0,48.0,0.00,0,0,0
2024-12-27,48.0,0.0,0.0,48.0,0.00,0,0,0
2024-12-26,48.0,0.0,0.0,48.0,0.00,0,0,0
2024-12-25,48.0,0.0,0.0,48.0,0.00,0,0,0
2024-12-24,48.0,0.0,0.0,48.0,0.00,0,0,0
2024-12-23,48.0,0.0,0.0,48.0,0.00,0,0,0
2024-12-20,48.0,0.0,0.0,48.0,0.00,0,0,0
2024-12-19,48.0,48.0,48.0,48.0,4.35,"2,000","96,000","96,000"
2024-12-18,46.0,0.0,0.0,46.0,0.00,0,0,0
2024-12-17,46.0,46.0,46.0,46.0,2.22,900,"41,400","41,400"
2024-12-16,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-12-13,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-12-12,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-12-11,45.0,45.0,45.0,45.0,0.00,225,"10,125","10,125"
2024-12-10,45.0,45.0,45.0,45.0,0.00,"3,000","135,000","135,000"
2024-12-06,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-12-05,45.0,45.0,45.0,45.0,0.00,10,450,450
2024-12-04,45.0,45.0,45.0,45.0,0.00,"2,000","90,000","90,000"
2024-12-03,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-12-02,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-29,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-28,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-27,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-26,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-25,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-22,45.0,45.0,45.0,45.0,0.00,350,"15,750","15,750"
2024-11-21,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-20,45.0,45.0,45.0,45.0,0.00,"1,500","67,500","67,500"
2024-11-19,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-18,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-15,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-14,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-13,45.0,45.0,45.0,45.0,0.00,"3,000","135,000","135,000"
2024-11-12,45.0,45.0,45.0,45.0,0.00,"1,631","73,395","73,395"
2024-11-11,45.0,45.0,45.0,45.0,0.00,"1,800","81,000","81,000"
2024-11-08,45.0,45.0,45.0,45.0,0.00,"1,000","45,000","45,000"
2024-11-07,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-06,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-05,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-11-04,45.0,45.0,45.0,45.0,0.00,200,"9,000","9,000"
2024-11-01,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-31,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-30,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-29,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-28,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-25,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-24,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-22,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-21,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-18,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-17,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-16,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-15,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-14,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-10,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-09,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-08,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-07,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-04,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-03,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-02,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-10-01,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-30,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-27,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-26,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-25,45.0,45.0,45.0,45.0,0.00,800,"36,000","36,000"
2024-09-24,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-23,45.0,45.0,45.0,45.0,0.00,"1,380","62,100","62,100"
2024-09-20,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-19,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-18,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-17,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-16,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-13,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-12,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-11,45.0,45.0,45.0,45.0,0.00,166,"7,470","7,470"
2024-09-10,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-06,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-05,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-04,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-09-03,45.0,45.0,45.0,45.0,0.00,152,"6,840","6,840"
2024-09-02,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-30,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-29,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-27,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-26,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-23,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-22,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-21,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-20,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-19,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-16,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-15,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-14,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-13,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-12,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-09,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-08,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-07,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-06,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-05,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-08-01,45.0,45.0,45.0,45.0,0.00,284,"12,780","12,780"
2024-07-31,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-30,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-29,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-26,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-25,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-24,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-23,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-22,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-19,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-18,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-17,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-16,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-15,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-12,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-11,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-10,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-09,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-08,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-05,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-04,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-03,45.0,45.0,45.0,45.0,0.00,"2,550","114,750","114,750"
2024-07-02,45.0,0.0,0.0,45.0,0.00,0,0,0
2024-07-01,45.0,45.0,45.0,45.0,-11.76,100,"4,500","4,500"
2024-06-28,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-27,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-26,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-25,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-24,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-20,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-19,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-18,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-17,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-14,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-13,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-12,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-11,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-10,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-07,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-06,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-05,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-04,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-06-03,51.0,51.0,51.0,51.0,-1.92,250,"12,750","12,750"
2024-05-31,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-05-30,52.0,52.0,52.0,52.0,0.00,"1,730","89,960","89,960"
2024-05-29,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-05-28,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-05-27,52.0,52.0,52.0,52.0,1.96,"1,025","53,300","53,300"
2024-05-23,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-22,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-21,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-20,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-17,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-16,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-15,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-14,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-13,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-10,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-09,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-07,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-05-02,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-04-30,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-04-29,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-04-26,51.0,51.0,51.0,51.0,0.00,360,"18,360","18,360"
2024-04-25,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-04-23,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-04-22,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-04-19,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-04-18,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-04-17,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-04-16,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-04-15,51.0,51.0,51.0,51.0,0.00,70,"3,570","3,570"
2024-04-12,51.0,51.0,51.0,51.0,-1.92,570,"29,070","29,070"
2024-04-11,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-04-09,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-04-08,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-04-05,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-04-04,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-04-03,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-04-02,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-04-01,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-03-29,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-03-28,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-03-27,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-03-26,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-03-25,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-03-22,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-03-21,52.0,52.0,52.0,52.0,0.00,86,"4,472","4,472"
2024-03-20,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-03-19,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-03-18,52.0,52.0,52.0,52.0,0.00,352,"18,304","18,304"
2024-03-15,52.0,0.0,0.0,52.0,0.00,0,0,0
2024-03-14,52.0,52.0,52.0,52.0,1.96,636,"33,072","33,072"
2024-03-13,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-03-12,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-03-11,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-03-08,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-03-07,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-03-06,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-03-05,51.0,51.0,51.0,51.0,0.00,964,"49,164","49,164"
2024-03-04,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-03-01,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-29,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-28,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-27,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-26,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-23,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-22,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-21,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-20,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-19,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-16,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-15,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-14,51.0,0.0,0.0,51.0,0.00,0,0,0
2024-02-13,51.0,51.0,51.0,51.0,2.00,270,"13,770","13,770"
2024-02-12,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-02-09,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-02-08,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-02-07,50.0,50.0,50.0,50.0,0.00,100,"5,000","5,000"
2024-02-06,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-02-05,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-02-02,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-02-01,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-31,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-30,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-29,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-26,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-25,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-24,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-23,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-22,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-18,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-17,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-16,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-15,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-12,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-11,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-10,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-09,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-05,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-04,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-03,50.0,0.0,0.0,50.0,0.00,0,0,0
2024-01-02,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-28,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-27,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-26,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-25,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-22,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-21,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-20,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-19,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-18,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-15,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-14,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-13,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-12,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-11,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-07,50.0,0.0,0.0,50.0,0.00,0,0,0
2023-12-06,50.0,0.0,0.0,50.0,0.00,0,0,0
