Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,2800.0,2859.0,2790.0,2812.55,-1.59,238,"669,387","669,387"
2025-01-16,2850.0,2890.0,2850.0,2857.98,-1.42,401,"1,146,050","1,146,050"
2025-01-15,2899.0,2900.0,2898.0,2899.03,-1.42,176,"510,229","510,229"
2025-01-14,2930.0,0.0,0.0,2940.9,0.00,0,0,0
2025-01-13,2930.0,2948.0,2930.0,2940.9,0.09,179,"526,421","526,421"
2025-01-10,2945.0,2949.0,2900.0,2938.11,0.57,"1,509","4,433,610","4,433,610"
2025-01-09,2900.0,2950.0,2900.0,2921.45,1.13,"1,249","3,648,886","6,598,886"
2025-01-08,2859.0,2948.0,2859.0,2888.92,-3.30,518,"1,496,458","1,496,458"
2025-01-03,2985.0,2990.0,2985.0,2987.37,-0.05,"1,216","3,632,639","3,632,639"
2025-01-02,2990.0,3000.0,2985.0,2988.92,0.52,553,"1,652,870","1,652,870"
2024-12-30,2960.0,2984.0,2930.0,2973.47,2.49,"1,498","4,454,265","4,454,265"
2024-12-27,2925.0,2950.0,2825.0,2901.18,5.75,"6,208","18,010,543","18,010,543"
2024-12-26,2790.0,2799.0,2650.0,2743.44,4.63,"4,978","13,656,850","13,656,850"
2024-12-25,2650.0,2650.0,2590.0,2622.06,3.69,"1,410","3,697,100","3,697,100"
2024-12-24,2550.0,2550.0,2500.0,2528.84,1.72,"1,183","2,991,619","2,991,619"
2024-12-23,2500.0,2500.0,2469.0,2486.19,3.32,"2,175","5,407,453","5,407,453"
2024-12-20,2440.0,2450.0,2400.0,2406.3,0.65,"1,295","3,116,162","3,116,162"
2024-12-19,2400.0,2401.0,2377.0,2390.83,0.58,960,"2,295,198","2,295,198"
2024-12-18,2377.0,2378.0,2375.0,2376.93,2.93,305,"724,965","724,965"
2024-12-17,2320.0,2320.0,2290.0,2309.26,0.01,677,"1,563,370","1,563,370"
2024-12-16,2300.0,2340.0,2300.0,2309.03,-0.40,440,"1,015,975","1,015,975"
2024-12-13,2300.0,2330.0,2300.0,2318.23,2.80,453,"1,050,160","1,050,160"
2024-12-12,2276.0,2276.0,2212.0,2255.14,2.04,794,"1,790,583","1,790,583"
2024-12-11,2210.0,2210.0,2210.0,2210.0,0.45,"1,350","2,983,500","2,983,500"
2024-12-10,2200.0,2200.0,2200.0,2200.0,0.24,390,"858,000","858,000"
2024-12-06,2200.0,2279.0,2150.0,2194.76,0.28,524,"1,150,053","1,150,053"
2024-12-05,2180.0,2200.0,2150.0,2188.7,1.73,270,"590,950","590,950"
2024-12-04,2150.0,2169.0,2149.0,2151.55,2.15,265,"570,161","570,161"
2024-12-03,2136.0,2136.0,2101.0,2106.19,0.29,104,"219,044","219,044"
2024-12-02,2100.0,2100.0,2100.0,2100.0,0.00,276,"579,600","579,600"
2024-11-29,2100.0,2100.0,2100.0,2100.0,-0.71,27,"56,700","56,700"
2024-11-28,2115.0,2115.0,2115.0,2115.0,-0.67,10,"21,150","21,150"
2024-11-27,2130.0,2130.0,2129.0,2129.23,0.12,130,"276,800","276,800"
2024-11-26,2120.0,2132.0,2120.0,2126.77,-0.29,288,"612,509","612,509"
2024-11-25,2133.0,2133.0,2130.0,2132.85,2.98,402,"857,406","857,406"
2024-11-22,2050.0,2124.0,2050.0,2071.14,-0.81,70,"144,980","144,980"
2024-11-21,2088.0,0.0,0.0,2088.0,0.00,0,0,0
2024-11-20,2088.0,2088.0,2088.0,2088.0,0.78,10,"20,880","20,880"
2024-11-19,2088.0,2088.0,1961.0,2071.82,-0.79,467,"967,541","967,541"
2024-11-18,2088.0,2089.0,2088.0,2088.42,2.94,360,"751,830","751,830"
2024-11-15,2029.0,2029.0,2028.0,2028.71,2.60,350,"710,050","710,050"
2024-11-14,1960.0,2000.0,1960.0,1977.39,0.89,92,"181,920","181,920"
2024-11-13,1960.0,1960.0,1960.0,1960.0,0.00,240,"470,400","470,400"
2024-11-12,1960.0,1960.0,1960.0,1960.0,-0.20,1,"1,960","1,960"
2024-11-11,1963.0,1965.0,1963.0,1963.83,-0.01,190,"373,127","373,127"
2024-11-08,1964.0,1964.0,1964.0,1964.0,-0.27,155,"304,420","304,420"
2024-11-07,1967.0,1975.0,1967.0,1969.28,-0.28,642,"1,264,276","1,264,276"
2024-11-06,1975.0,1990.0,1970.0,1974.75,0.29,295,"582,550","582,550"
