Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,140.0,140.0,140.0,140.0,2.87,250,"35,000","35,000"
2025-01-16,136.0,0.0,0.0,136.1,0.00,0,0,0
2025-01-15,136.0,0.0,0.0,136.1,0.00,0,0,0
2025-01-14,136.0,0.0,0.0,136.1,0.00,0,0,0
2025-01-13,136.0,137.0,136.0,136.1,-0.64,"1,000","136,100","136,100"
2025-01-10,138.0,138.0,136.0,136.97,0.71,"5,801","794,538","794,538"
2025-01-09,136.0,0.0,0.0,136.0,0.00,0,0,0
2025-01-08,136.0,0.0,0.0,136.0,0.00,0,0,0
2025-01-03,136.0,0.0,0.0,136.0,0.00,0,0,0
2025-01-02,136.0,136.0,136.0,136.0,0.81,800,"108,800","108,800"
2024-12-30,135.0,0.0,0.0,134.91,0.00,0,0,0
2024-12-27,135.0,0.0,0.0,134.91,0.00,0,0,0
2024-12-26,135.0,0.0,0.0,134.91,0.00,0,0,0
2024-12-25,135.0,0.0,0.0,134.91,0.00,0,0,0
2024-12-24,135.0,135.0,130.0,134.91,2.98,"2,750","371,000","371,000"
2024-12-23,131.0,131.0,131.0,131.0,-2.30,79,"10,349","10,349"
2024-12-20,135.0,135.0,129.0,134.08,-0.68,"7,229","969,251","969,251"
2024-12-19,129.0,0.0,0.0,135.0,0.00,0,0,0
2024-12-18,129.0,0.0,0.0,135.0,0.00,0,0,0
2024-12-17,129.0,138.0,129.0,135.0,0.00,"1,740","234,906","234,906"
2024-12-16,135.0,135.0,135.0,135.0,0.00,100,"13,500","13,500"
2024-12-13,135.0,135.0,135.0,135.0,0.00,40,"5,400","5,400"
2024-12-12,135.0,135.0,135.0,135.0,-0.74,100,"13,500","13,500"
2024-12-11,136.0,136.0,136.0,136.0,0.74,500,"68,000","68,000"
2024-12-10,135.0,135.0,135.0,135.0,-0.74,"2,926","395,010","395,010"
2024-12-06,136.0,136.0,136.0,136.0,0.74,135,"18,360","18,360"
2024-12-05,135.0,135.0,135.0,135.0,0.00,526,"71,010","71,010"
2024-12-04,135.0,135.0,135.0,135.0,0.00,"1,320","178,200","178,200"
2024-12-03,135.0,135.0,135.0,135.0,-0.74,50,"6,750","6,750"
2024-12-02,136.0,0.0,0.0,136.0,0.00,0,0,0
2024-11-29,136.0,136.0,136.0,136.0,-2.86,230,"31,280","31,280"
2024-11-28,140.0,140.0,140.0,140.0,3.67,300,"42,000","42,000"
2024-11-27,135.0,136.0,135.0,135.05,-1.06,"1,377","185,965","185,965"
2024-11-26,136.0,137.0,136.0,136.5,-1.60,"1,300","177,450","177,450"
2024-11-25,139.0,139.0,138.0,138.72,2.76,"3,513","487,307","487,307"
2024-11-22,135.0,135.0,135.0,135.0,0.00,135,"18,225","18,225"
2024-11-21,135.0,135.0,135.0,135.0,0.84,"1,290","174,150","174,150"
2024-11-20,133.0,136.0,133.0,133.87,0.65,"2,583","345,789","345,789"
2024-11-19,133.0,133.0,133.0,133.0,0.00,"1,871","248,843","248,843"
2024-11-18,133.0,133.0,133.0,133.0,-0.94,500,"66,500","66,500"
2024-11-15,135.0,0.0,0.0,134.26,0.00,0,0,0
2024-11-14,135.0,0.0,0.0,134.26,0.00,0,0,0
2024-11-13,135.0,0.0,0.0,134.26,0.00,0,0,0
2024-11-12,135.0,135.0,133.0,134.26,-0.55,"3,106","417,010","417,010"
2024-11-11,135.0,135.0,135.0,135.0,0.00,786,"106,110","106,110"
2024-11-08,135.0,135.0,135.0,135.0,0.00,678,"91,530","91,530"
2024-11-07,135.0,135.0,135.0,135.0,1.76,988,"133,380","133,380"
2024-11-06,132.0,133.0,132.0,132.66,-1.73,623,"82,646","82,646"
2024-11-05,135.0,0.0,0.0,135.0,0.00,0,0,0
2024-11-04,135.0,0.0,0.0,135.0,0.00,0,0,0
2024-11-01,135.0,135.0,135.0,135.0,0.00,850,"114,750","114,750"
2024-10-31,135.0,0.0,0.0,135.0,0.00,0,0,0
2024-10-30,135.0,0.0,0.0,135.0,0.00,0,0,0
2024-10-29,135.0,135.0,135.0,135.0,0.00,927,"125,145","125,145"
2024-10-28,135.0,0.0,0.0,135.0,0.00,0,0,0
2024-10-25,135.0,135.0,135.0,135.0,0.00,"2,513","339,255","339,255"
2024-10-24,135.0,135.0,135.0,135.0,1.50,950,"128,250","128,250"
2024-10-22,133.0,133.0,133.0,133.0,-1.48,90,"11,970","11,970"
2024-10-21,135.0,0.0,0.0,135.0,0.00,0,0,0
2024-10-18,135.0,0.0,0.0,135.0,0.00,0,0,0
