Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,1420.0,0.0,0.0,1420.0,0.00,0,0,0
2025-01-16,1420.0,0.0,0.0,1420.0,0.00,0,0,0
2025-01-15,1420.0,1420.0,1420.0,1420.0,13.60,261,"370,620","370,620"
2025-01-14,1250.0,0.0,0.0,1250.0,0.00,0,0,0
2025-01-13,1250.0,0.0,0.0,1250.0,0.00,0,0,0
2025-01-10,1250.0,0.0,0.0,1250.0,0.00,0,0,0
2025-01-09,1250.0,0.0,0.0,1250.0,0.00,0,0,0
2025-01-08,1250.0,0.0,0.0,1250.0,0.00,0,0,0
2025-01-03,1250.0,0.0,0.0,1250.0,0.00,0,0,0
2025-01-02,1250.0,1250.0,1250.0,1250.0,316.67,295,"368,750","368,750"
2024-12-30,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-12-27,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-12-26,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-12-25,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-12-24,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-12-23,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-12-20,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-29,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-28,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-27,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-26,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-23,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-22,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-21,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-20,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-19,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-16,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-15,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-14,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-13,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-12,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-09,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-07,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-06,300.0,0.0,0.0,300.0,0.00,0,0,0
2022-12-05,300.0,0.0,0.0,300.0,0.00,0,0,0
