Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,59600.0,59999.0,59600.0,59983.65,1.60,26,"1,559,575","1,559,575"
2025-01-16,59500.0,59500.0,59000.0,59041.67,0.93,12,"708,500","708,500"
2025-01-15,58500.0,58500.0,58500.0,58500.0,0.33,26,"1,521,000","1,521,000"
2025-01-14,58400.0,58400.0,58299.0,58307.85,-0.01,62,"3,615,087","3,615,087"
2025-01-13,58400.0,58500.0,58200.0,58312.3,-0.30,61,"3,557,050","3,557,050"
2025-01-10,58485.0,58500.0,58484.0,58488.44,0.60,71,"4,152,679","4,152,679"
2025-01-09,57998.0,58196.0,57998.0,58139.43,2.90,7,"406,976","406,976"
2025-01-08,56501.0,56501.0,56501.0,56501.0,0.18,5,"282,505","282,505"
2025-01-03,56400.0,56400.0,56400.0,56400.0,0.42,4,"225,600","225,600"
2025-01-02,56001.0,0.0,0.0,56162.27,0.00,0,0,0
2024-12-30,56001.0,57000.0,56001.0,56162.27,-0.51,62,"3,482,061","3,482,061"
2024-12-27,56450.0,56450.0,56449.0,56449.92,0.80,12,"677,399","677,399"
2024-12-26,56001.0,56001.0,56000.0,56000.27,-0.88,15,"840,004","840,004"
2024-12-25,56500.0,56500.0,56500.0,56500.0,0.27,6,"339,000","339,000"
2024-12-24,56495.0,56499.0,56000.0,56349.82,-0.26,44,"2,479,392","2,479,392"
2024-12-23,56499.0,56499.0,56499.0,56499.0,0.23,5,"282,495","282,495"
2024-12-20,56000.0,56500.0,56000.0,56367.72,-0.27,134,"7,553,274","7,553,274"
2024-12-19,56500.0,57500.0,56499.0,56519.21,0.93,135,"7,630,094","7,630,094"
2024-12-18,55999.0,56000.0,55998.0,55998.98,0.00,42,"2,351,957","2,351,957"
2024-12-17,55997.0,56000.0,55996.0,55998.19,-0.75,32,"1,791,942","1,791,942"
2024-12-16,56000.0,57000.0,56000.0,56420.04,-1.02,90,"5,077,804","5,077,804"
2024-12-13,57000.0,57000.0,56999.0,56999.8,2.70,60,"3,419,988","3,419,988"
2024-12-12,55500.0,55500.0,55500.0,55500.0,1.77,5,"277,500","277,500"
2024-12-11,54450.0,56000.0,54400.0,54534.85,0.01,33,"1,799,650","1,799,650"
2024-12-10,54500.0,55000.0,54500.0,54531.25,0.88,16,"872,500","872,500"
2024-12-06,54500.0,54660.0,53700.0,54055.61,3.57,23,"1,243,279","1,243,279"
2024-12-05,52500.0,52500.0,52000.0,52194.28,2.32,18,"939,497","939,497"
2024-12-04,51100.0,51500.0,50500.0,51013.06,1.23,31,"1,581,405","1,581,405"
2024-12-03,50500.0,50500.0,50000.0,50391.3,1.40,23,"1,159,000","1,159,000"
2024-12-02,50100.0,50100.0,49499.0,49694.11,0.89,35,"1,739,294","1,739,294"
2024-11-29,49300.0,50029.0,48900.0,49254.4,1.40,15,"738,816","738,816"
2024-11-28,48550.0,48600.0,48550.0,48572.22,-0.22,18,"874,300","874,300"
2024-11-27,48670.0,48700.0,48670.0,48677.89,-0.37,19,"924,880","924,880"
2024-11-26,48900.0,48900.0,48800.0,48860.13,-0.08,15,"732,902","732,902"
2024-11-25,48900.0,48900.0,48900.0,48900.0,-0.20,15,"733,500","733,500"
2024-11-22,48989.0,49000.0,48989.0,48998.23,0.00,31,"1,518,945","1,518,945"
2024-11-21,49000.0,49000.0,49000.0,49000.0,-0.06,14,"686,000","686,000"
2024-11-20,49000.0,49101.0,49000.0,49028.28,-0.12,46,"2,255,301","2,255,301"
2024-11-19,49000.0,49500.0,49000.0,49087.24,0.18,109,"5,350,509","5,350,509"
2024-11-18,48999.0,48999.0,48999.0,48999.0,1.98,2,"97,998","97,998"
2024-11-15,47800.0,48800.0,47800.0,48049.88,1.39,16,"768,798","768,798"
2024-11-14,47390.0,47390.0,47390.0,47390.0,2.99,13,"616,070","616,070"
2024-11-13,47000.0,47000.0,45999.0,46013.42,0.04,73,"3,358,980","3,358,980"
2024-11-12,46000.0,46000.0,45900.0,45995.24,-0.01,42,"1,931,800","1,931,800"
2024-11-11,45998.0,45999.0,45998.0,45998.13,2.22,31,"1,425,942","1,425,942"
2024-11-08,45000.0,45000.0,45000.0,45000.0,0.00,20,"900,000","900,000"
2024-11-07,45000.0,45000.0,45000.0,45000.0,0.46,42,"1,890,000","1,890,000"
2024-11-06,44750.0,45000.0,44750.0,44793.57,-0.25,23,"1,030,252","1,030,252"
2024-11-05,45000.0,45000.0,44750.0,44907.11,0.40,90,"4,041,640","4,041,640"
2024-11-04,44750.0,44880.0,44700.0,44727.8,-0.02,104,"4,651,691","4,651,691"
2024-11-01,44750.0,44880.0,44700.0,44734.9,-0.35,51,"2,281,480","2,281,480"
2024-10-31,44890.0,44890.0,44890.0,44890.0,-0.02,23,"1,032,470","1,032,470"
2024-10-30,44900.0,44900.0,44900.0,44900.0,0.69,6,"269,400","269,400"
2024-10-29,44551.0,44995.0,44551.0,44592.3,-0.81,54,"2,407,984","2,407,984"
2024-10-28,44994.0,44997.0,44550.0,44954.46,0.57,63,"2,832,131","2,832,131"
2024-10-25,44700.0,44700.0,44700.0,44700.0,0.22,9,"402,300","402,300"
2024-10-24,44600.0,44600.0,44600.0,44600.0,-0.22,15,"669,000","669,000"
2024-10-22,44700.0,44700.0,44700.0,44700.0,-0.32,20,"894,000","894,000"
2024-10-21,44700.0,44998.0,44700.0,44841.9,-0.35,21,"941,680","941,680"
2024-10-18,44998.0,44998.0,44998.0,44998.0,0.00,13,"584,974","584,974"
2024-10-17,44999.0,0.0,0.0,44998.8,0.00,0,0,0
2024-10-16,44999.0,44999.0,44998.0,44998.8,0.00,5,"224,994","224,994"
2024-10-15,44998.0,44998.0,44998.0,44998.0,0.00,13,"584,974","584,974"
2024-10-14,44995.0,45000.0,44990.0,44997.44,0.14,27,"1,214,931","1,214,931"
2024-10-10,44999.0,44999.0,44890.0,44935.56,0.75,27,"1,213,260","1,213,260"
2024-10-09,44601.0,44601.0,44601.0,44601.0,-0.22,2,"89,202","89,202"
2024-10-08,44700.0,44701.0,44700.0,44700.4,-0.53,10,"447,004","447,004"
2024-10-07,44998.0,44998.0,44600.0,44940.43,0.69,14,"629,166","629,166"
2024-10-04,44250.0,44880.0,44250.0,44634.62,-0.56,13,"580,250","580,250"
2024-10-03,44850.0,44900.0,44850.0,44885.86,-0.03,14,"628,402","628,402"
2024-10-02,44900.0,44900.0,44900.0,44900.0,-0.11,10,"449,000","449,000"
2024-10-01,44949.0,44949.0,44949.0,44949.0,0.22,5,"224,745","224,745"
2024-09-30,44850.0,44850.0,44850.0,44850.0,-0.33,3,"134,550","134,550"
2024-09-27,44999.0,44999.0,44999.0,44999.0,0.00,15,"674,985","674,985"
2024-09-26,45000.0,45000.0,45000.0,45000.0,0.00,21,"945,000","945,000"
2024-09-25,45000.0,45000.0,44995.0,44999.0,0.01,15,"674,985","674,985"
2024-09-24,44995.0,44999.0,44995.0,44996.18,-0.01,17,"764,935","764,935"
2024-09-23,44999.0,44999.0,44999.0,44999.0,0.00,33,"1,484,967","1,484,967"
2024-09-20,45000.0,45000.0,44999.0,44999.14,0.00,7,"314,994","314,994"
2024-09-19,44998.0,44998.0,44998.0,44998.0,0.00,40,"1,799,920","1,799,920"
2024-09-18,44998.0,45000.0,44994.0,44996.89,0.00,72,"3,239,776","3,239,776"
2024-09-17,44999.0,44999.0,44999.0,44999.0,0.22,4,"179,996","179,996"
2024-09-16,44900.0,45000.0,44900.0,44901.62,-0.50,117,"5,253,490","5,253,490"
2024-09-13,44900.0,45900.0,44900.0,45125.26,0.51,119,"5,369,906","5,369,906"
2024-09-12,44895.0,44895.0,44895.0,44895.0,0.01,16,"718,320","718,320"
2024-09-11,44895.0,0.0,0.0,44892.15,0.00,0,0,0
2024-09-10,44895.0,44900.0,44850.0,44892.15,0.88,82,"3,681,156","3,681,156"
2024-09-06,44501.0,0.0,0.0,44501.0,0.00,0,0,0
2024-09-05,44501.0,44501.0,44501.0,44501.0,-1.10,2,"89,002","89,002"
2024-09-04,44998.0,0.0,0.0,44997.61,0.00,0,0,0
2024-09-03,44998.0,45000.0,44997.0,44997.61,0.00,67,"3,014,840","3,014,840"
2024-09-02,45000.0,45000.0,44997.0,44998.43,0.86,115,"5,174,820","5,174,820"
2024-08-30,44500.0,45000.0,44500.0,44612.81,-0.86,31,"1,382,997","1,382,997"
2024-08-29,44999.0,44999.0,44999.0,44999.0,0.00,32,"1,439,968","1,439,968"
2024-08-27,44999.0,44999.0,44999.0,44999.0,0.00,6,"269,994","269,994"
2024-08-26,45000.0,45000.0,45000.0,45000.0,0.07,51,"2,295,000","2,295,000"
2024-08-23,45000.0,45000.0,44900.0,44966.59,1.05,91,"4,091,960","4,091,960"
2024-08-22,44503.0,44503.0,44500.0,44500.19,-1.11,156,"6,942,030","6,942,030"
2024-08-21,44999.0,44999.0,44999.0,44999.0,1.12,2,"89,998","89,998"
2024-08-20,44499.0,0.0,0.0,44499.27,0.00,0,0,0
2024-08-19,44499.0,44500.0,44499.0,44499.27,-0.03,74,"3,292,946","3,292,946"
2024-08-16,44988.0,44988.0,44500.0,44512.89,-0.83,188,"8,368,424","8,368,424"
2024-08-15,44000.0,44998.0,44000.0,44887.11,2.60,9,"403,984","403,984"
