Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,97.0,0,0,97.0,0.00,0,0,0
2025-01-14,97.0,0,0,97.0,0.00,0,0,0
2025-01-13,97.0,0,0,97.0,0.00,0,0,0
2025-01-10,97.0,0,0,97.0,0.00,0,0,0
2025-01-09,97.0,0.0,0.0,97.0,0.00,0,0,0
2025-01-08,97.0,0.0,0.0,97.0,0.00,0,0,0
2025-01-03,97.0,0.0,0.0,97.0,0.00,0,0,0
2025-01-02,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-30,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-27,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-26,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-25,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-24,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-23,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-20,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-19,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-18,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-17,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-16,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-13,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-12,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-11,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-10,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-06,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-05,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-04,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-03,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-12-02,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-29,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-28,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-27,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-26,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-25,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-22,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-21,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-20,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-19,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-18,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-15,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-14,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-13,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-12,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-11,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-08,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-07,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-06,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-05,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-04,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-11-01,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-31,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-30,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-29,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-28,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-25,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-24,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-22,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-21,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-18,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-17,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-16,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-15,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-14,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-10,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-09,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-08,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-07,97.0,0.0,0.0,97.0,0.00,0,0,0
2024-10-04,97.0,0.0,0.0,97.0,0.00,0,0,0
