Date,Price,Max,Min,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-17,7050.0,0.0,0.0,7050.0,0.00,0,0,0
2025-01-16,7050.0,7050.0,7050.0,7050.0,0.71,20,"141,000","141,000"
2025-01-15,7000.0,0.0,0.0,7000.0,0.00,0,0,0
2025-01-14,7000.0,7000.0,7000.0,7000.0,-0.71,7,"49,000","49,000"
2025-01-13,7050.0,0.0,0.0,7050.0,0.00,0,0,0
2025-01-10,7050.0,7050.0,7050.0,7050.0,0.52,1,"7,050","7,050"
2025-01-09,7050.0,7050.0,7000.0,7013.63,0.90,27,"189,368","189,368"
2025-01-08,6951.0,6951.0,6951.0,6951.0,-2.00,50,"347,550","347,550"
2025-01-03,7200.0,0.0,0.0,7092.86,0.00,0,0,0
2025-01-02,7200.0,0.0,0.0,7092.86,0.00,0,0,0
2024-12-30,7200.0,7200.0,7000.0,7092.86,-0.64,56,"397,200","397,200"
2024-12-27,7150.0,7150.0,7000.0,7138.89,-0.16,27,"192,750","192,750"
2024-12-26,7150.0,7150.0,7150.0,7150.0,0.00,49,"350,350","350,350"
2024-12-25,7150.0,7150.0,7150.0,7150.0,0.46,25,"178,750","178,750"
2024-12-24,7200.0,7200.0,7110.0,7116.92,0.24,13,"92,520","92,520"
2024-12-23,7100.0,7100.0,7100.0,7100.0,-1.39,10,"71,000","71,000"
2024-12-20,7200.0,0.0,0.0,7200.0,0.00,0,0,0
2024-12-19,7200.0,7200.0,7200.0,7200.0,-2.03,47,"338,400","338,400"
2024-12-18,7349.0,0.0,0.0,7349.0,0.00,0,0,0
2024-12-17,7349.0,0.0,0.0,7349.0,0.00,0,0,0
2024-12-16,7349.0,0.0,0.0,7349.0,0.00,0,0,0
2024-12-13,7349.0,7349.0,7349.0,7349.0,0.00,5,"36,745","36,745"
2024-12-12,7349.0,0.0,0.0,7349.0,0.00,0,0,0
2024-12-11,7349.0,7349.0,7349.0,7349.0,0.00,25,"183,725","183,725"
2024-12-10,7349.0,7349.0,7349.0,7349.0,0.05,39,"286,611","286,611"
2024-12-06,7349.0,7350.0,7200.0,7345.18,2.37,"1,051","7,719,786","7,719,786"
2024-12-05,7200.0,7200.0,7150.0,7175.0,1.06,40,"287,000","287,000"
2024-12-04,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-12-03,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-12-02,7100.0,7100.0,7100.0,7100.0,0.00,20,"142,000","142,000"
2024-11-29,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-11-28,7100.0,7100.0,7100.0,7100.0,0.00,19,"134,900","134,900"
2024-11-27,7100.0,7100.0,7100.0,7100.0,0.00,100,"710,000","710,000"
2024-11-26,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-11-25,7100.0,7100.0,7100.0,7100.0,-0.14,10,"71,000","71,000"
2024-11-22,7110.0,0.0,0.0,7110.0,0.00,0,0,0
2024-11-21,7110.0,7110.0,7110.0,7110.0,-0.21,5,"35,550","35,550"
2024-11-20,7125.0,7125.0,7125.0,7125.0,-0.35,15,"106,875","106,875"
2024-11-19,7150.0,7150.0,7150.0,7150.0,-0.77,15,"107,250","107,250"
2024-11-18,7250.0,0.0,0.0,7205.66,0.00,0,0,0
2024-11-15,7250.0,7250.0,7200.0,7205.66,-0.25,53,"381,900","381,900"
2024-11-14,7250.0,7250.0,7200.0,7223.39,0.32,62,"447,850","447,850"
2024-11-13,7200.0,7200.0,7200.0,7200.0,2.86,57,"410,400","410,400"
2024-11-12,7000.0,7000.0,7000.0,7000.0,-2.78,5,"35,000","35,000"
2024-11-11,7200.0,0.0,0.0,7200.0,0.00,0,0,0
2024-11-08,7200.0,0.0,0.0,7200.0,0.00,0,0,0
2024-11-07,7200.0,0.0,0.0,7200.0,0.00,0,0,0
2024-11-06,7200.0,0.0,0.0,7200.0,0.00,0,0,0
2024-11-05,7200.0,7200.0,7200.0,7200.0,0.88,10,"72,000","72,000"
2024-11-04,7285.0,7285.0,7100.0,7137.0,-2.02,10,"71,370","71,370"
2024-11-01,7284.0,7284.0,7284.0,7284.0,2.59,7,"50,988","50,988"
2024-10-31,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-10-30,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-10-29,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-10-28,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-10-25,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-10-24,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-10-22,7100.0,0.0,0.0,7100.0,0.00,0,0,0
2024-10-21,7100.0,7100.0,7100.0,7100.0,-1.39,20,"142,000","142,000"
2024-10-18,7200.0,0.0,0.0,7200.0,0.00,0,0,0
2024-10-17,7200.0,7200.0,7200.0,7200.0,0.00,11,"79,200","79,200"
2024-10-16,7200.0,7200.0,7200.0,7200.0,0.00,130,"936,000","936,000"
2024-10-15,7200.0,7200.0,7200.0,7200.0,-1.22,685,"4,932,000","4,932,000"
2024-10-14,7289.0,0.0,0.0,7289.0,0.00,0,0,0
2024-10-10,7289.0,0.0,0.0,7289.0,0.00,0,0,0
2024-10-09,7289.0,0.0,0.0,7289.0,0.00,0,0,0
2024-10-08,7289.0,0.0,0.0,7289.0,0.00,0,0,0
2024-10-07,7289.0,0.0,0.0,7289.0,0.00,0,0,0
2024-10-04,7289.0,0.0,0.0,7289.0,0.00,0,0,0
2024-10-03,7289.0,0.0,0.0,7289.0,0.00,0,0,0
