Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,103.0,0,0,103.0,0.00,0,0,0
2025-01-14,103.0,0,0,103.0,0.00,0,0,0
2025-01-13,103.0,0,0,103.0,0.00,0,0,0
2025-01-10,103.0,0,0,103.0,0.00,0,0,0
2025-01-09,103.0,0.0,0.0,103.0,0.00,0,0,0
2025-01-08,103.0,0.0,0.0,103.0,0.00,0,0,0
2025-01-03,103.0,0.0,0.0,103.0,0.00,0,0,0
2025-01-02,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-30,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-27,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-26,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-25,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-24,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-23,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-20,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-19,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-18,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-17,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-16,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-13,103.0,0.0,0.0,103.0,0.00,0,0,0
2024-12-12,103.0,103.0,103.0,103.0,28.75,300,"30,900","30,900"
2024-12-11,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-12-10,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-12-06,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-12-05,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-12-04,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-12-03,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-12-02,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-11-29,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-11-28,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-11-27,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-11-26,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-11-25,80.0,0.0,0.0,80.0,0.00,0,0,0
2024-11-22,80.0,0.0,0.0,80.0,0.00,0,0,0
