Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,340.0,0.0,0.0,340.0,0.00,0,0,0
2025-01-08,340.0,0.0,0.0,340.0,0.00,0,0,0
2025-01-03,340.0,0.0,0.0,340.0,0.00,0,0,0
2025-01-02,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-30,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-27,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-26,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-25,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-24,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-23,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-20,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-19,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-18,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-17,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-16,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-13,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-12,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-11,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-10,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-06,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-05,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-04,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-03,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-12-02,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-11-29,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-11-28,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-11-27,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-11-26,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-11-25,340.0,0.0,0.0,340.0,0.00,0,0,0
2024-11-22,340.0,340.0,340.0,340.0,-2.86,6,"2,040","2,040"
2024-11-21,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-20,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-19,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-18,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-15,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-14,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-13,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-12,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-11,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-08,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-07,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-06,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-05,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-04,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-11-01,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-31,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-30,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-29,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-28,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-25,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-24,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-22,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-21,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-18,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-17,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-16,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-15,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-14,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-10,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-09,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-08,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-07,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-04,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-03,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-02,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-10-01,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-30,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-27,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-26,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-25,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-24,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-23,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-20,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-19,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-18,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-17,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-16,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-13,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-12,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-11,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-10,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-06,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-05,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-04,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-03,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-09-02,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-08-30,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-08-29,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-08-27,350.0,0.0,0.0,350.0,0.00,0,0,0
2024-08-26,350.0,0.0,0.0,350.0,0.00,0,0,0
