Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,310.0,0.0,0.0,310.0,0.00,0,0,0
2025-01-08,310.0,0.0,0.0,310.0,0.00,0,0,0
2025-01-03,310.0,0.0,0.0,310.0,0.00,0,0,0
2025-01-02,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-30,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-27,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-26,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-25,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-24,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-23,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-20,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-19,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-18,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-17,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-16,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-13,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-12,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-11,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-10,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-06,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-05,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-04,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-03,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-12-02,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-29,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-28,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-27,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-26,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-25,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-22,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-21,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-20,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-19,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-18,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-15,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-14,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-13,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-12,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-11,310.0,0.0,0.0,310.0,0.00,0,0,0
2024-11-08,310.0,0.0,0.0,310.0,0.00,0,0,0
