Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,1851.0,1850.0,1860.0,1850.9,0.05,"1,242","2,298,820","2,298,820"
2025-01-14,1850.0,1850.0,1850.0,1850.0,-0.54,69,"127,650","127,650"
2025-01-13,1860.0,1860.0,1860.0,1860.0,0.00,200,"372,000","372,000"
2025-01-10,1860.0,1860.0,1860.0,1860.0,-2.06,"1,000","1,860,000","7,440,000"
2025-01-09,1899.0,1899.0,1900.0,1899.12,2.66,26,"49,377","49,377"
2025-01-08,1850.0,1850.0,1850.0,1850.0,-0.01,200,"370,000","370,000"
2025-01-03,1900.0,1850.0,1900.0,1850.12,-0.48,401,"741,900","741,900"
2025-01-02,1859.0,1859.0,1859.0,1859.0,0.00,97,"180,323","180,323"
2024-12-30,1859.0,1859.0,1859.0,1859.0,2.99,3,"5,577","5,577"
2024-12-27,1810.0,1790.0,1810.0,1804.95,0.53,960,"1,732,750","1,732,750"
2024-12-26,1790.0,0.0,0.0,1795.45,0.00,0,0,0
2024-12-25,1790.0,1790.0,1800.0,1795.45,1.06,11,"19,750","19,750"
2024-12-24,1800.0,1760.0,1800.0,1776.67,-1.30,72,"127,920","127,920"
2024-12-23,1800.0,0.0,0.0,1800.0,0.00,0,0,0
2024-12-20,1800.0,1800.0,1800.0,1800.0,2.77,50,"90,000","6,827,500"
2024-12-19,1800.0,1751.0,1800.0,1751.5,-1.05,293,"513,190","513,190"
2024-12-18,1770.0,1770.0,1770.0,1770.0,2.27,50,"88,500","88,500"
2024-12-17,1731.0,1730.0,1731.0,1730.66,-2.23,151,"261,330","261,330"
2024-12-16,1772.0,1755.0,1772.0,1770.05,0.56,131,"231,877","231,877"
2024-12-13,1772.0,1760.0,1772.0,1760.2,2.28,357,"628,392","628,392"
2024-12-12,1721.0,1721.0,1721.0,1721.0,0.30,200,"344,200","344,200"
2024-12-11,1716.0,1711.0,1716.0,1715.91,-1.01,"6,880","11,805,485","11,805,485"
2024-12-10,1755.0,1720.0,1755.0,1733.46,1.97,65,"112,675","112,675"
2024-12-06,1700.0,1700.0,1700.0,1700.0,0.63,120,"204,000","204,000"
2024-12-05,1690.0,1680.0,1690.0,1689.29,2.38,140,"236,500","236,500"
2024-12-04,1650.0,1650.0,1650.0,1650.0,-1.20,50,"82,500","82,500"
2024-12-03,1670.0,0.0,0.0,1670.0,0.00,0,0,0
2024-12-02,1670.0,1670.0,1670.0,1670.0,0.00,99,"165,330","165,330"
2024-11-29,1670.0,1670.0,1670.0,1670.0,1.21,1,"1,670","1,670"
2024-11-28,1650.0,1650.0,1650.0,1650.0,-0.06,590,"973,500","973,500"
2024-11-27,1651.0,1651.0,1651.0,1651.0,-1.18,219,"361,569","361,569"
2024-11-26,1680.0,1660.0,1680.0,1670.63,-0.01,495,"826,960","4,126,960"
2024-11-25,1660.0,1660.0,1679.0,1670.86,2.44,70,"116,960","116,960"
2024-11-22,1631.0,1631.0,1631.0,1631.0,-2.92,115,"187,565","187,565"
2024-11-21,1680.0,1680.0,1680.0,1680.0,1.29,9,"15,120","15,120"
2024-11-20,1650.0,1650.0,1693.0,1658.6,1.57,50,"82,930","3,382,930"
2024-11-19,1633.0,1633.0,1633.0,1633.0,-3.49,150,"244,950","244,950"
2024-11-18,1692.0,1692.0,1692.0,1692.0,2.55,40,"67,680","2,722,530"
2024-11-15,1650.0,1650.0,1650.0,1650.0,0.09,500,"825,000","825,000"
2024-11-14,1650.0,0.0,0.0,1648.45,0.00,0,0,"3,260,000"
2024-11-13,1650.0,1630.0,1650.0,1648.45,-2.75,388,"639,600","639,600"
2024-11-12,1695.0,0.0,0.0,1695.0,0.00,0,0,0
2024-11-11,1695.0,1695.0,1695.0,1695.0,2.99,400,"678,000","678,000"
2024-11-08,1650.0,1630.0,1650.0,1645.87,2.48,63,"103,690","103,690"
2024-11-07,1631.0,1600.0,1631.0,1606.01,0.38,"1,234","1,981,820","1,981,820"
2024-11-06,1600.0,1600.0,1600.0,1600.0,-0.83,370,"592,000","592,000"
2024-11-05,1590.0,1590.0,1630.0,1613.33,-1.02,84,"135,520","135,520"
2024-11-04,1630.0,1630.0,1630.0,1630.0,1.88,100,"163,000","163,000"
2024-11-01,1600.0,0.0,0.0,1600.0,0.00,0,0,0
2024-10-31,1600.0,1600.0,1600.0,1600.0,0.00,268,"428,800","428,800"
2024-10-30,1600.0,1600.0,1600.0,1600.0,-1.84,88,"140,800","140,800"
2024-10-29,1630.0,1630.0,1630.0,1630.0,0.68,10,"16,300","16,300"
2024-10-28,1600.0,0.0,0.0,1619.05,0.00,0,0,0
2024-10-25,1600.0,1600.0,1630.0,1619.05,-0.80,494,"799,810","799,810"
2024-10-24,1670.0,1630.0,1670.0,1632.16,0.13,185,"301,950","301,950"
2024-10-22,1630.0,1630.0,1630.0,1630.0,0.00,100,"163,000","163,000"
