Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,796.0,0,0,796.0,0.00,0,0,0
2025-01-14,796.0,0,0,796.0,0.00,0,0,0
2025-01-13,796.0,0,0,796.0,0.00,0,0,0
2025-01-10,796.0,0,0,796.0,0.00,0,0,0
2025-01-09,796.0,0.0,0.0,796.0,0.00,0,0,0
2025-01-08,796.0,0.0,0.0,796.0,0.00,0,0,0
2025-01-03,796.0,0.0,0.0,796.0,0.00,0,0,0
2025-01-02,796.0,0.0,0.0,796.0,0.00,0,0,0
2024-12-30,796.0,0.0,0.0,796.0,0.00,0,0,0
2024-12-27,796.0,0.0,0.0,796.0,0.00,0,0,0
2024-12-26,796.0,0.0,0.0,796.0,0.00,0,0,0
2024-12-25,796.0,796.0,796.0,796.0,2.98,14,"11,144","11,144"
2024-12-24,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-23,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-20,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-19,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-18,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-17,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-16,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-13,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-12,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-11,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-10,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-06,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-05,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-04,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-03,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-12-02,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-29,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-28,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-27,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-26,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-25,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-22,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-21,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-20,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-19,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-18,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-15,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-14,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-13,773.0,0.0,0.0,773.0,0.00,0,0,"5,465,080"
2024-11-12,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-11,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-08,773.0,0.0,0.0,773.0,0.00,0,0,0
2024-11-07,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-28,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-27,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-26,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-25,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-22,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-21,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-20,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-19,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-18,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-15,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-14,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-13,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-12,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-11,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-07,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-06,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-05,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-04,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-12-01,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-30,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-29,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-28,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-27,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-24,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-23,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-22,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-21,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-20,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-17,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-16,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-15,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-14,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-13,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-10,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-09,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-08,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-07,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-06,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-03,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-02,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-11-01,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-31,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-30,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-27,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-26,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-25,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-24,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-20,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-19,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-18,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-17,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-16,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-13,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-12,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-10,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-09,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-06,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-05,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-04,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-03,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-10-02,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-29,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-28,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-27,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-26,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-25,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-22,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-21,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-20,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-19,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-18,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-15,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-14,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-13,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-12,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-11,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-07,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-06,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-05,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-04,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-09-01,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-31,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-30,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-29,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-25,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-24,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-23,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-22,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-21,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-18,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-17,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-16,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-15,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-14,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-11,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-10,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-09,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-08,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-07,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-04,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-03,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-08-01,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-31,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-28,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-27,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-26,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-25,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-24,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-21,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-20,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-19,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-18,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-17,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-14,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-13,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-12,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-11,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-10,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-07,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-06,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-05,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-04,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-07-03,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-30,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-29,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-28,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-27,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-26,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-23,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-22,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-21,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-20,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-19,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-16,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-15,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-14,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-13,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-12,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-09,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-08,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-07,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-06,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-05,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-06-01,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-31,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-30,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-29,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-26,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-25,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-23,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-22,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-19,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-18,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-17,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-16,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-15,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-12,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-11,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-10,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-09,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-08,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-05,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-04,773.0,0.0,0.0,773.0,0.00,0,0,0
2023-05-03,773.0,0.0,0.0,773.0,0.00,0,0,0
