Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,95.0,0.0,0.0,95.0,0.00,0,0,0
2025-01-08,95.0,0.0,0.0,95.0,0.00,0,0,0
2025-01-03,95.0,0.0,0.0,95.0,0.00,0,0,0
2025-01-02,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-30,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-27,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-26,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-25,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-24,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-23,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-20,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-19,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-18,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-17,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-16,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-13,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-12,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-11,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-10,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-06,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-05,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-04,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-03,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-12-02,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-29,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-28,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-27,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-26,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-25,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-22,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-21,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-20,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-19,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-18,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-15,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-14,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-13,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-12,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-11,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-08,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-07,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-06,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-05,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-04,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-11-01,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-10-31,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-10-30,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-10-29,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-10-28,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-10-25,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-10-24,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-10-22,95.0,0.0,0.0,95.0,0.00,0,0,0
2024-10-21,95.0,0.0,0.0,95.0,0.00,0,0,0
