Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,635.0,0.0,0.0,635.0,0.00,0,0,0
2025-01-08,635.0,0.0,0.0,635.0,0.00,0,0,0
2025-01-03,635.0,0.0,0.0,635.0,0.00,0,0,0
2025-01-02,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-30,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-27,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-26,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-25,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-24,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-23,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-20,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-19,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-18,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-17,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-16,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-13,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-12,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-11,635.0,0.0,0.0,635.0,0.00,0,0,0
2024-12-10,635.0,635.0,635.0,635.0,,250,"158,750","158,750"
2024-12-06,0.0,0.0,0.0,0.0,,0,0,0
2024-12-05,0.0,0.0,0.0,0.0,,0,0,0
2024-12-04,0.0,0.0,0.0,0.0,,0,0,0
2024-12-03,0.0,0.0,0.0,0.0,,0,0,0
2024-12-02,0.0,0.0,0.0,0.0,,0,0,0
2024-11-29,0.0,0.0,0.0,0.0,,0,0,0
2024-11-28,0.0,0.0,0.0,0.0,,0,0,0
2024-11-27,0.0,0.0,0.0,0.0,,0,0,0
