Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,150.0,0.0,0.0,150.0,0.00,0,0,0
2025-01-08,150.0,0.0,0.0,150.0,0.00,0,0,0
2025-01-03,150.0,0.0,0.0,150.0,0.00,0,0,0
2025-01-02,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-30,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-27,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-26,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-25,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-24,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-23,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-20,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-19,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-18,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-17,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-16,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-13,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-12,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-11,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-10,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-06,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-05,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-04,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-03,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-12-02,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-29,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-28,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-27,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-26,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-25,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-22,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-21,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-20,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-19,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-18,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-15,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-14,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-13,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-12,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-11,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-08,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-07,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-06,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-05,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-04,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-11-01,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-31,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-30,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-29,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-28,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-25,150.0,150.0,150.0,150.0,0.00,50,"7,500","7,500"
2024-10-24,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-22,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-21,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-18,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-17,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-16,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-15,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-14,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-10,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-09,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-08,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-07,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-04,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-03,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-02,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-10-01,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-09-30,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-09-27,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-09-26,150.0,0.0,0.0,150.0,0.00,0,0,0
2024-09-25,150.0,150.0,150.0,150.0,-16.67,50,"7,500","7,500"
2024-09-24,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-23,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-20,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-19,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-18,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-17,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-16,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-13,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-12,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-11,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-10,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-06,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-05,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-04,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-03,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-09-02,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-30,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-29,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-27,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-26,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-23,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-22,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-21,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-20,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-19,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-16,180.0,0.0,0.0,180.0,0.00,0,0,0
2024-08-15,180.0,0.0,0.0,180.0,0.00,0,0,0
