Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,237.0,0.0,0.0,237.0,0.00,0,0,0
2025-01-08,237.0,0.0,0.0,237.0,0.00,0,0,0
2025-01-03,237.0,0.0,0.0,237.0,0.00,0,0,0
2025-01-02,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-30,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-27,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-26,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-25,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-24,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-23,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-20,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-19,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-18,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-17,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-16,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-13,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-12,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-11,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-10,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-06,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-05,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-04,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-03,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-12-02,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-29,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-28,237.0,237.0,237.0,237.0,0.00,246,"58,302","58,302"
2024-11-27,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-26,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-25,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-22,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-21,237.0,237.0,237.0,237.0,0.00,90,"21,330","21,330"
2024-11-20,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-19,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-18,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-15,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-14,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-13,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-12,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-11,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-08,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-07,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-06,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-05,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-04,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-11-01,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-31,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-30,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-29,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-28,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-25,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-24,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-22,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-21,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-18,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-17,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-16,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-15,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-14,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-10,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-09,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-08,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-07,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-04,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-03,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-02,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-10-01,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-09-30,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-09-27,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-09-26,237.0,0.0,0.0,237.0,0.00,0,0,0
2024-09-25,237.0,237.0,237.0,237.0,2.60,250,"59,250","59,250"
2024-09-24,231.0,0.0,0.0,231.0,0.00,0,0,0
2024-09-23,231.0,0.0,0.0,231.0,0.00,0,0,0
2024-09-20,231.0,0.0,0.0,231.0,0.00,0,0,0
2024-09-19,231.0,0.0,0.0,231.0,0.00,0,0,0
2024-09-18,231.0,0.0,0.0,231.0,0.00,0,0,0
2024-09-17,231.0,0.0,0.0,231.0,0.00,0,0,0
2024-09-16,231.0,0.0,0.0,231.0,0.00,0,0,0
