Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,295.0,0.0,0.0,295.0,0.00,0,0,0
2025-01-08,295.0,0.0,0.0,295.0,0.00,0,0,0
2025-01-03,295.0,0.0,0.0,295.0,0.00,0,0,0
2025-01-02,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-30,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-27,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-26,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-25,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-24,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-23,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-20,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-19,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-18,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-17,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-16,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-13,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-12,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-11,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-10,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-06,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-05,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-04,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-03,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-12-02,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-11-29,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-11-28,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-11-27,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-11-26,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-11-25,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-11-22,295.0,0.0,0.0,295.0,0.00,0,0,0
2024-11-21,295.0,295.0,295.0,295.0,-1.67,545,"160,775","160,775"
2024-11-20,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-11-19,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-11-18,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-11-15,300.0,300.0,300.0,300.0,-4.76,100,"30,000","30,000"
2024-11-14,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-11-13,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-11-12,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-11-11,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-11-08,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-11-07,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-11-06,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-11-05,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-11-04,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-11-01,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-31,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-30,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-29,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-28,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-25,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-24,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-22,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-21,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-18,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-17,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-16,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-15,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-14,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-10,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-09,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-08,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-07,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-04,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-03,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-02,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-10-01,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-30,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-27,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-26,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-25,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-24,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-23,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-20,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-19,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-18,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-17,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-16,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-13,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-12,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-11,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-10,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-06,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-05,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-04,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-03,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-09-02,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-30,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-29,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-27,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-26,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-23,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-22,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-21,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-20,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-19,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-16,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-15,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-14,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-13,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-12,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-09,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-08,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-07,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-06,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-05,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-08-01,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-31,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-30,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-29,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-26,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-25,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-24,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-23,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-22,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-19,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-18,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-17,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-16,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-15,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-12,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-11,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-10,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-09,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-08,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-05,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-04,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-03,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-02,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-07-01,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-28,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-27,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-26,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-25,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-24,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-20,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-19,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-18,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-17,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-14,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-13,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-12,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-11,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-10,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-07,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-06,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-05,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-04,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-06-03,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-31,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-30,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-29,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-28,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-27,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-23,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-22,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-21,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-20,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-17,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-16,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-15,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-14,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-13,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-10,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-09,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-07,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-05-02,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-30,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-29,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-26,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-25,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-23,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-22,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-19,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-18,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-17,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-16,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-15,315.0,0.0,0.0,315.0,0.00,0,0,0
2024-04-12,315.0,315.0,315.0,315.0,-0.94,100,"31,500","31,500"
2024-04-11,318.0,0.0,0.0,318.0,0.00,0,0,0
2024-04-09,318.0,0.0,0.0,318.0,0.00,0,0,0
2024-04-08,318.0,318.0,318.0,318.0,2.91,50,"15,900","15,900"
2024-04-05,309.0,0.0,0.0,309.0,0.00,0,0,0
2024-04-04,309.0,0.0,0.0,309.0,0.00,0,0,0
2024-04-03,309.0,0.0,0.0,309.0,0.00,0,0,0
2024-04-02,309.0,0.0,0.0,309.0,0.00,0,0,0
2024-04-01,309.0,0.0,0.0,309.0,0.00,0,0,0
2024-03-29,309.0,309.0,309.0,309.0,3.00,40,"12,360","12,360"
2024-03-28,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-27,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-26,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-25,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-22,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-21,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-20,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-19,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-18,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-15,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-14,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-13,300.0,0.0,0.0,300.0,0.00,0,0,0
2024-03-12,300.0,0.0,0.0,300.0,0.00,0,0,0
