Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,95001.0,95001.0,95001.0,95001.0,0.20,22,"2,090,022","2,090,022"
2025-01-14,95000.0,94002.0,95000.0,94815.42,0.87,59,"5,594,110","5,594,110"
2025-01-13,94000.0,94000.0,94000.0,94000.0,-0.11,18,"1,692,000","1,692,000"
2025-01-10,93999.0,0.0,0.0,94106.0,0.00,0,0,0
2025-01-09,93999.0,93901.0,94500.0,94106.0,0.21,16,"1,505,696","1,505,696"
2025-01-08,93999.0,93800.0,93999.0,93906.12,0.02,16,"1,502,498","1,502,498"
2025-01-03,93990.0,93850.0,93990.0,93890.0,1.19,7,"657,230","657,230"
2025-01-02,93100.0,0.0,0.0,92788.89,0.00,0,0,0
2024-12-30,93100.0,0.0,0.0,92788.89,0.00,0,0,0
2024-12-27,93100.0,92500.0,93100.0,92788.89,0.31,27,"2,505,300","2,505,300"
2024-12-26,92500.0,92500.0,92500.0,92500.0,0.00,13,"1,202,500","1,202,500"
2024-12-25,92500.0,92500.0,92500.0,92500.0,0.00,4,"370,000","370,000"
2024-12-24,92500.0,92500.0,92500.0,92500.0,0.00,2,"185,000","185,000"
2024-12-23,92500.0,0.0,0.0,92500.0,0.00,0,0,0
2024-12-20,92500.0,92500.0,92500.0,92500.0,0.00,6,"555,000","555,000"
2024-12-19,92500.0,92500.0,92508.0,92502.67,-0.51,24,"2,220,064","2,220,064"
2024-12-18,93000.0,92001.0,93200.0,92973.37,1.02,60,"5,578,402","5,578,402"
2024-12-17,92000.0,0.0,0.0,92036.03,0.00,0,0,0
2024-12-16,92000.0,92000.0,92200.0,92036.03,0.94,34,"3,129,225","3,129,225"
2024-12-13,92000.0,91003.0,92000.0,91183.01,0.18,67,"6,109,262","6,109,262"
2024-12-12,91250.0,91000.0,91250.0,91022.73,0.25,11,"1,001,250","1,001,250"
2024-12-11,91000.0,90001.0,91000.0,90800.2,0.89,10,"908,002","908,002"
2024-12-10,90001.0,90001.0,90002.0,90001.5,0.00,26,"2,340,039","2,340,039"
2024-12-06,90000.0,90000.0,90000.0,90000.0,0.74,26,"2,340,000","2,340,000"
2024-12-05,90000.0,87504.0,90000.0,89340.33,2.06,72,"6,432,504","6,432,504"
2024-12-04,87900.0,87003.0,87900.0,87536.73,0.51,37,"3,238,859","3,238,859"
2024-12-03,87100.0,87001.0,87100.0,87095.5,0.11,130,"11,322,415","14,976,415"
2024-12-02,87000.0,87000.0,87000.0,87000.0,0.00,20,"1,740,000","1,740,000"
2024-11-29,87000.0,86999.0,87000.0,86999.59,0.00,17,"1,478,993","1,478,993"
2024-11-28,87000.0,87000.0,87001.0,87000.03,0.58,37,"3,219,001","3,219,001"
2024-11-27,86500.0,86500.0,86500.0,86500.0,-0.57,2,"173,000","173,000"
2024-11-26,87000.0,0.0,0.0,87000.0,0.00,0,0,0
2024-11-25,87000.0,87000.0,87000.0,87000.0,-0.12,11,"957,000","957,000"
2024-11-22,87001.0,87001.0,87998.0,87101.2,0.12,10,"871,012","871,012"
2024-11-21,87000.0,87000.0,87000.0,87000.0,0.07,3,"261,000","261,000"
2024-11-20,86999.0,86600.0,86999.0,86937.22,0.14,18,"1,564,870","1,564,870"
2024-11-19,86600.0,86600.0,87000.0,86816.79,0.35,24,"2,083,603","2,083,603"
2024-11-18,86850.0,86000.0,86850.0,86516.67,0.48,6,"519,100","519,100"
2024-11-15,86500.0,85600.0,86500.0,86104.17,0.12,12,"1,033,250","1,033,250"
2024-11-14,86000.0,86000.0,86000.0,86000.0,0.58,3,"258,000","258,000"
2024-11-13,85510.0,85500.0,85510.0,85502.5,0.00,4,"342,010","342,010"
2024-11-12,85500.0,85500.0,85501.0,85500.2,-0.29,25,"2,137,505","2,137,505"
2024-11-11,85900.0,85700.0,85900.0,85750.0,0.88,4,"343,000","343,000"
2024-11-08,85001.0,85001.0,85001.0,85001.0,-0.84,10,"850,010","850,010"
2024-11-07,85700.0,85700.0,85750.0,85725.0,0.34,4,"342,900","342,900"
2024-11-06,85500.0,85000.0,85500.0,85436.17,-0.07,47,"4,015,500","4,015,500"
2024-11-05,85499.0,85499.0,85500.0,85499.5,0.00,4,"341,998","33,661,998"
2024-11-04,85500.0,85499.0,85500.0,85499.91,0.00,11,"940,499","940,499"
2024-11-01,85500.0,85500.0,85500.0,85500.0,0.59,15,"1,282,500","1,282,500"
2024-10-31,85000.0,85000.0,85000.0,85000.0,0.57,754,"64,090,000","64,090,000"
2024-10-30,84401.0,84401.0,85000.0,84521.57,0.03,14,"1,183,302","1,183,302"
2024-10-29,84500.0,84500.0,84501.0,84500.12,-0.70,8,"676,001","676,001"
2024-10-28,85500.0,85000.0,85500.0,85100.0,-0.25,5,"425,500","425,500"
2024-10-25,85500.0,85000.0,85500.0,85313.88,-0.13,59,"5,033,519","5,033,519"
