Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,36000.0,36000.0,36000.0,36000.0,0.00,5,"180,000","180,000"
2025-01-14,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2025-01-13,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2025-01-10,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2025-01-09,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2025-01-08,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2025-01-03,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2025-01-02,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-12-30,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-12-27,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-12-26,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-12-25,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-12-24,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-12-23,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-12-20,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-12-19,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-12-18,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-12-17,36000.0,0.0,0.0,36000.0,0.00,0,0,"5,256,000"
2024-12-16,36000.0,36000.0,36000.0,36000.0,2.53,77,"2,772,000","2,772,000"
2024-12-13,35110.0,35110.0,35110.0,35110.0,0.31,2,"70,220","70,220"
2024-12-12,35001.0,35001.0,35001.0,35001.0,0.00,4,"140,004","140,004"
2024-12-11,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-12-10,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-12-06,35000.0,35000.0,35000.0,35000.0,-0.03,4,"140,000","140,000"
2024-12-05,35010.0,0.0,0.0,35010.0,0.00,0,0,0
2024-12-04,35010.0,35010.0,35010.0,35010.0,-7.87,8,"280,080","280,080"
2024-12-03,38000.0,0.0,0.0,38000.0,0.00,0,0,0
2024-12-02,38000.0,0.0,0.0,38000.0,0.00,0,0,0
2024-11-29,38000.0,0.0,0.0,38000.0,0.00,0,0,0
2024-11-28,38000.0,0.0,0.0,38000.0,0.00,0,0,0
2024-11-27,38000.0,38000.0,38000.0,38000.0,5.56,4,"152,000","152,000"
2024-11-26,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-11-25,36000.0,0.0,0.0,36000.0,0.00,0,0,"9,252,000"
2024-11-22,36000.0,0.0,0.0,36000.0,0.00,0,0,0
2024-11-21,36000.0,36000.0,36000.0,36000.0,2.86,65,"2,340,000","2,340,000"
2024-11-20,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-19,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-18,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-15,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-14,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-13,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-12,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-11,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-08,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-07,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-06,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-05,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-04,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-11-01,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-31,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-30,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-29,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-28,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-25,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-24,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-22,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-21,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-18,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-17,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-16,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-15,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-14,35000.0,0.0,0.0,35000.0,0.00,0,0,0
2024-10-10,35000.0,35000.0,35000.0,35000.0,0.00,8,"280,000","280,000"
2024-10-09,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-10-08,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-10-07,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-10-04,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-10-03,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-10-02,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-10-01,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-30,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-27,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-26,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-25,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-24,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-23,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-20,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-19,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-18,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-17,35001.0,0.0,0.0,35001.0,0.00,0,0,0
2024-09-16,35001.0,35001.0,35001.0,35001.0,1.48,10,"350,010","350,010"
2024-09-13,34490.0,0.0,0.0,34490.0,0.00,0,0,0
2024-09-12,34490.0,0.0,0.0,34490.0,0.00,0,0,0
2024-09-11,34490.0,0.0,0.0,34490.0,0.00,0,0,0
2024-09-10,34490.0,0.0,0.0,34490.0,0.00,0,0,0
2024-09-06,34490.0,0.0,0.0,34490.0,0.00,0,0,0
2024-09-05,34490.0,0.0,0.0,34490.0,0.00,0,0,0
2024-09-04,34490.0,0.0,0.0,34490.0,0.00,0,0,0
2024-09-03,34490.0,0.0,0.0,34490.0,0.00,0,0,0
2024-09-02,34490.0,0.0,0.0,34490.0,0.00,0,0,0
2024-08-30,34490.0,0.0,0.0,34490.0,0.00,0,0,0
2024-08-29,34490.0,34490.0,34490.0,34490.0,-0.03,33,"1,138,170","1,138,170"
2024-08-27,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-26,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-23,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-22,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-21,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-20,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-19,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-16,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-15,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-14,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-13,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-12,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-09,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-08,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-07,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-06,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-05,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-08-01,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-31,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-30,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-29,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-26,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-25,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-24,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-23,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-22,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-19,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-18,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-17,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-16,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-15,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-12,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-11,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-10,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-09,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-08,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-05,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-04,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-03,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-02,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-07-01,34500.0,0.0,0.0,34500.0,0.00,0,0,0
2024-06-28,34500.0,0.0,0.0,34500.0,0.00,0,0,0
