Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,16400.0,16300.0,16498.0,16430.56,-0.41,117,"1,922,376","1,922,376"
2025-01-08,16498.0,16498.0,16500.0,16498.22,-0.01,103,"1,699,317","1,699,317"
2025-01-03,16500.0,16500.0,16500.0,16500.0,-1.31,422,"6,963,000","6,963,000"
2025-01-02,16500.0,16500.0,16750.0,16719.36,0.73,47,"785,810","785,810"
2024-12-30,16598.0,16598.0,16600.0,16598.33,0.60,43,"713,728","713,728"
2024-12-27,16500.0,16500.0,16500.0,16500.0,0.10,44,"726,000","726,000"
2024-12-26,16500.0,16400.0,16500.0,16483.49,-0.10,81,"1,335,163","1,335,163"
2024-12-25,16500.0,16500.0,16500.0,16500.0,2.59,35,"577,500","577,500"
2024-12-24,16490.0,16015.0,16490.0,16082.86,-2.59,14,"225,160","225,160"
2024-12-23,16500.0,16500.0,16553.0,16509.69,2.73,32,"528,310","528,310"
2024-12-20,16501.0,15960.0,17049.0,16070.92,3.69,122,"1,960,652","5,548,652"
2024-12-19,15500.0,15300.0,15500.0,15499.34,2.75,"3,036","47,056,000","47,056,000"
2024-12-18,15300.0,15000.0,15300.0,15084.64,1.17,195,"2,941,505","2,941,505"
2024-12-17,14950.0,14800.0,14950.0,14910.92,1.35,262,"3,906,660","3,906,660"
2024-12-16,14750.0,14530.0,14950.0,14712.5,-1.78,144,"2,118,600","2,118,600"
2024-12-13,14950.0,14940.0,14998.0,14979.32,-0.13,68,"1,018,594","1,018,594"
2024-12-12,14999.0,14999.0,15000.0,14999.21,-0.01,200,"2,999,842","2,999,842"
2024-12-11,15000.0,15000.0,15000.0,15000.0,-2.21,166,"2,490,000","2,490,000"
2024-12-10,15498.0,0.0,0.0,15338.33,0.00,0,0,0
2024-12-06,15498.0,15300.0,15500.0,15338.33,1.81,104,"1,595,186","1,595,186"
2024-12-05,15090.0,15000.0,15090.0,15066.05,0.45,155,"2,335,237","2,335,237"
2024-12-04,14999.0,14999.0,14999.0,14999.0,-0.01,12,"179,988","179,988"
2024-12-03,14999.0,14999.0,15000.0,14999.75,-0.60,61,"914,985","914,985"
2024-12-02,15090.0,15090.0,15090.0,15090.0,0.60,16,"241,440","241,440"
2024-11-29,15000.0,15000.0,15000.0,15000.0,0.00,27,"405,000","405,000"
