Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-08,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-03,20.0,0.0,0.0,20.0,0.00,0,0,0
2025-01-02,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-30,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-27,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-26,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-25,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-24,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-23,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-20,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-19,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-18,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-17,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-16,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-13,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-12,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-11,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-10,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-06,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-05,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-04,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-03,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-12-02,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-29,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-28,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-27,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-26,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-25,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-22,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-21,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-20,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-19,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-18,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-15,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-14,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-13,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-12,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-11,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-08,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-07,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-06,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-05,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-04,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-11-01,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-31,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-30,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-29,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-28,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-25,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-24,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-22,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-21,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-18,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-17,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-16,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-15,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-14,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-10,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-09,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-08,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-07,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-04,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-03,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-02,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-10-01,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-30,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-27,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-26,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-25,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-24,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-23,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-20,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-19,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-18,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-17,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-16,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-13,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-12,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-11,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-10,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-06,20.0,0.0,0.0,20.0,0.00,0,0,0
2024-09-05,20.0,0.0,0.0,20.0,0.00,0,0,0
