Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,577.0,0.0,0.0,577.0,0.00,0,0,0
2025-01-08,577.0,0.0,0.0,577.0,0.00,0,0,0
2025-01-03,577.0,0.0,0.0,577.0,0.00,0,0,0
2025-01-02,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-30,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-27,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-26,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-25,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-24,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-23,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-20,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-19,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-18,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-17,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-16,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-13,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-12,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-11,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-10,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-06,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-05,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-04,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-03,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-12-02,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-29,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-28,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-27,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-26,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-25,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-22,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-21,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-20,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-19,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-18,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-15,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-14,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-13,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-12,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-11,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-08,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-07,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-06,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-05,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-04,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-11-01,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-10-31,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-10-30,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-10-29,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-10-28,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-10-25,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-10-24,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-10-22,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-10-21,577.0,0.0,0.0,577.0,0.00,0,0,0
2024-10-18,577.0,577.0,577.0,577.0,15.40,135,"77,895","77,895"
2024-10-17,500.0,0.0,0.0,500.0,0.00,0,0,0
2024-10-16,500.0,0.0,0.0,500.0,0.00,0,0,0
2024-10-15,500.0,0.0,0.0,500.0,0.00,0,0,0
2024-10-14,500.0,0.0,0.0,500.0,0.00,0,0,0
2024-10-10,500.0,0.0,0.0,500.0,0.00,0,0,0
2024-10-09,500.0,500.0,500.0,500.0,-10.71,7,"3,500","3,500"
2024-10-08,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-10-07,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-10-04,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-10-03,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-10-02,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-10-01,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-09-30,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-09-27,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-09-26,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-09-25,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-09-24,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-09-23,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-09-20,560.0,0.0,0.0,560.0,0.00,0,0,0
2024-09-19,560.0,0.0,0.0,560.0,0.00,0,0,0
