Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,753.0,0.0,0.0,753.0,0.00,0,0,0
2025-01-08,753.0,0.0,0.0,753.0,0.00,0,0,0
2025-01-03,753.0,0.0,0.0,753.0,0.00,0,0,0
2025-01-02,753.0,0.0,0.0,753.0,0.00,0,0,0
2024-12-30,753.0,0.0,0.0,753.0,0.00,0,0,0
2024-12-27,753.0,0.0,0.0,753.0,0.00,0,0,0
2024-12-26,753.0,0.0,0.0,753.0,0.00,0,0,0
2024-12-25,753.0,0.0,0.0,753.0,0.00,0,0,0
2024-12-24,753.0,0.0,0.0,753.0,0.00,0,0,0
2024-12-23,753.0,0.0,0.0,753.0,0.00,0,0,0
2024-12-20,753.0,0.0,0.0,753.0,0.00,0,0,0
2024-12-19,753.0,753.0,753.0,753.0,0.27,50,"37,650","37,650"
2024-12-18,751.0,0.0,0.0,751.0,0.00,0,0,0
2024-12-17,751.0,0.0,0.0,751.0,0.00,0,0,0
2024-12-16,751.0,0.0,0.0,751.0,0.00,0,0,0
2024-12-13,751.0,0.0,0.0,751.0,0.00,0,0,0
2024-12-12,751.0,0.0,0.0,751.0,0.00,0,0,0
2024-12-11,751.0,0.0,0.0,751.0,0.00,0,0,0
2024-12-10,751.0,0.0,0.0,751.0,0.00,0,0,0
2024-12-06,751.0,0.0,0.0,751.0,0.00,0,0,0
2024-12-05,751.0,0.0,0.0,751.0,0.00,0,0,0
2024-12-04,751.0,751.0,751.0,751.0,15.54,251,"188,501","188,501"
2024-12-03,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-12-02,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-29,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-28,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-27,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-26,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-25,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-22,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-21,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-20,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-19,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-18,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-15,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-14,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-13,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-12,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-11,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-08,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-07,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-06,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-05,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-04,650.0,0.0,0.0,650.0,0.00,0,0,0
2024-11-01,650.0,650.0,650.0,650.0,-14.47,43,"27,950","27,950"
2024-10-31,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-30,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-29,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-28,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-25,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-24,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-22,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-21,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-18,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-17,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-16,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-15,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-14,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-10,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-09,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-08,760.0,0.0,0.0,760.0,0.00,0,0,0
2024-10-07,760.0,0.0,0.0,760.0,0.00,0,0,0
