Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,2850.0,0.0,0.0,2850.0,0.00,0,0,0
2025-01-08,2850.0,0.0,0.0,2850.0,0.00,0,0,0
2025-01-03,2850.0,0.0,0.0,2850.0,0.00,0,0,0
2025-01-02,2850.0,0.0,0.0,2850.0,0.00,0,0,0
2024-12-30,2850.0,0.0,0.0,2850.0,0.00,0,0,0
2024-12-27,2850.0,0.0,0.0,2850.0,0.00,0,0,0
2024-12-26,2850.0,0.0,0.0,2850.0,0.00,0,0,0
2024-12-25,2850.0,0.0,0.0,2850.0,0.00,0,0,0
2024-12-24,2850.0,2850.0,2850.0,2850.0,1.79,11,"31,350","31,350"
2024-12-23,2800.0,2800.0,2800.0,2800.0,-0.46,50,"140,000","140,000"
2024-12-20,2813.0,2813.0,2813.0,2813.0,0.00,53,"149,089","149,089"
2024-12-19,2813.0,2813.0,2813.0,2813.0,-3.00,30,"84,390","84,390"
2024-12-18,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-12-17,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-12-16,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-12-13,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-12-12,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-12-11,2900.0,0.0,0.0,2900.0,0.00,0,0,"7,168,800"
2024-12-10,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-12-06,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-12-05,2900.0,0.0,0.0,2900.0,0.00,0,0,"14,236,042"
2024-12-04,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-12-03,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-12-02,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-11-29,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-11-28,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-11-27,2900.0,0.0,0.0,2900.0,0.00,0,0,0
2024-11-26,2900.0,2900.0,2900.0,2900.0,6.95,4,"11,600","11,600"
2024-11-25,2715.0,2700.0,2715.0,2711.55,2.32,87,"235,905","235,905"
2024-11-22,2650.0,0.0,0.0,2650.0,0.00,0,0,0
2024-11-21,2650.0,0.0,0.0,2650.0,0.00,0,0,0
2024-11-20,2650.0,0.0,0.0,2650.0,0.00,0,0,0
