Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,282.0,0,0,282.0,0.00,0,0,0
2025-01-08,282.0,0,0,282.0,0.00,0,0,0
2025-01-03,282.0,0,0,282.0,0.00,0,0,0
2025-01-02,282.0,0,0,282.0,0.00,0,0,0
2024-12-30,282.0,0,0,282.0,0.00,0,0,0
2024-12-27,282.0,0,0,282.0,0.00,0,0,0
2024-12-26,282.0,0,0,282.0,0.00,0,0,0
2024-12-25,282.0,0,0,282.0,0.00,0,0,0
2024-12-24,282.0,0,0,282.0,0.00,0,0,0
2024-12-23,282.0,0,0,282.0,0.00,0,0,0
2024-12-20,282.0,0,0,282.0,0.00,0,0,0
2024-12-19,282.0,0,0,282.0,0.00,0,0,0
2024-12-18,282.0,0,0,282.0,0.00,0,0,0
2024-12-17,282.0,0,0,282.0,0.00,0,0,0
2024-12-16,282.0,0,0,282.0,0.00,0,0,0
2024-12-13,282.0,0,0,282.0,0.00,0,0,0
2024-12-12,282.0,0,0,282.0,0.00,0,0,0
2015-12-29,282.0,0,0,282.0,0.00,0,0,0
2015-12-28,282.0,0,0,282.0,0.00,0,0,0
2015-12-25,282.0,0,0,282.0,0.00,0,0,0
2015-12-24,282.0,0,0,282.0,0.00,0,0,0
2015-12-23,282.0,0,0,282.0,0.00,0,0,0
2015-12-22,282.0,0,0,282.0,0.00,0,0,0
2015-12-21,282.0,0,0,282.0,0.00,0,0,0
2015-12-18,282.0,0,0,282.0,0.00,0,0,0
2015-12-17,282.0,0,0,282.0,0.00,0,0,0
2015-12-16,282.0,0,0,282.0,0.00,0,0,0
2015-12-15,282.0,0,0,282.0,0.00,0,0,0
2015-12-14,282.0,0,0,282.0,0.00,0,0,0
2015-12-11,282.0,0,0,282.0,0.00,0,0,0
2015-12-10,282.0,0,0,282.0,0.00,0,0,0
2015-12-09,282.0,0,0,282.0,0.00,0,0,0
2015-12-07,282.0,0,0,282.0,0.00,0,0,0
2015-12-04,282.0,0,0,282.0,0.00,0,0,0
2015-12-03,282.0,0,0,282.0,0.00,0,0,0
2015-12-01,282.0,0,0,282.0,0.00,0,0,0
2015-11-30,282.0,0,0,282.0,0.00,0,0,0
2015-11-27,282.0,0,0,282.0,0.00,0,0,0
2015-11-26,282.0,0,0,282.0,0.00,0,0,0
2015-11-25,282.0,0,0,282.0,0.00,0,0,0
2015-11-24,282.0,0,0,282.0,0.00,0,0,0
2015-11-23,282.0,0,0,282.0,0.00,0,0,0
2015-11-20,282.0,0,0,282.0,0.00,0,0,0
2015-11-19,282.0,0,0,282.0,0.00,0,0,0
2015-11-18,282.0,0,0,282.0,0.00,0,0,0
2015-11-17,282.0,0,0,282.0,0.00,0,0,0
2015-11-16,282.0,0,0,282.0,0.00,0,0,0
2015-11-13,282.0,0,0,282.0,0.00,0,0,0
2015-11-12,282.0,0,0,282.0,0.00,0,0,0
2015-11-11,282.0,0,0,282.0,0.00,0,0,0
2015-11-10,282.0,0,0,282.0,0.00,0,0,0
2015-11-09,282.0,0,0,282.0,0.00,0,0,0
2015-11-06,282.0,0,0,282.0,0.00,0,0,0
2015-11-05,282.0,0,0,282.0,0.00,0,0,0
2015-11-04,282.0,0,0,282.0,0.00,0,0,0
2015-11-03,282.0,0,0,282.0,0.00,0,0,0
2015-11-02,282.0,0,0,282.0,0.00,0,0,0
2015-10-30,282.0,0,0,282.0,0.00,0,0,0
2015-10-29,282.0,0,0,282.0,0.00,0,0,0
2015-10-28,282.0,0,0,282.0,0.00,0,0,0
2015-10-27,282.0,0,0,282.0,0.00,0,0,0
