Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,1000.0,0,0,1000.0,0.00,0,0,0
2025-01-14,1000.0,0,0,1000.0,0.00,0,0,0
2025-01-13,1000.0,0,0,1000.0,0.00,0,0,0
2025-01-10,1000.0,0,0,1000.0,0.00,0,0,0
2025-01-09,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2025-01-08,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2025-01-03,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2025-01-02,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-30,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-27,1000.0,1000.0,1000.0,1000.0,0.00,109,"109,000","109,000"
2024-12-26,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-25,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-24,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-23,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-20,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-19,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-18,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-17,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-16,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-13,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-12,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-11,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-10,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-06,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-05,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-04,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-03,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-12-02,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-29,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-28,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-27,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-26,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-25,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-22,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-21,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-20,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-19,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-18,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-15,1000.0,0.0,0.0,1000.0,0.00,0,0,0
2024-11-14,1000.0,0.0,0.0,1000.0,0.00,0,0,0
