Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,250.0,0.0,0.0,250.0,0.00,0,0,0
2025-01-08,250.0,0.0,0.0,250.0,0.00,0,0,0
2025-01-03,250.0,0.0,0.0,250.0,0.00,0,0,0
2025-01-02,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-30,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-27,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-26,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-25,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-24,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-23,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-20,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-19,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-18,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-17,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-16,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-13,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-12,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-11,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-10,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-06,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-05,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-04,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-03,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-12-02,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-29,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-28,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-27,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-26,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-25,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-22,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-21,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-20,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-19,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-18,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-15,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-14,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-13,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-12,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-11,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-08,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-07,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-06,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-05,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-04,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-11-01,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-31,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-30,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-29,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-28,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-25,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-24,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-22,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-21,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-18,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-17,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-16,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-15,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-14,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-10,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-09,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-08,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-07,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-04,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-03,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-02,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-10-01,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-30,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-27,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-26,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-25,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-24,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-23,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-20,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-19,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-18,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-17,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-16,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-13,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-12,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-11,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-10,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-06,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-05,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-04,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-03,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-09-02,250.0,0.0,0.0,250.0,0.00,0,0,0
2024-08-30,250.0,0.0,0.0,250.0,0.00,0,0,0
