Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-09,6500.0,0.0,0.0,6500.0,0.00,0,0,0
2025-01-08,6500.0,0.0,0.0,6500.0,0.00,0,0,0
2025-01-03,6500.0,6500.0,6500.0,6500.0,0.00,64,"416,000","416,000"
2025-01-02,6500.0,6500.0,6500.0,6500.0,0.00,42,"273,000","273,000"
2024-12-30,6500.0,6500.0,6500.0,6500.0,-2.99,10,"65,000","65,000"
2024-12-27,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-12-26,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-12-25,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-12-24,6700.0,6700.0,6700.0,6700.0,3.08,1,"6,700","6,700"
2024-12-23,6500.0,0.0,0.0,6500.0,0.00,0,0,0
2024-12-20,6500.0,0.0,0.0,6500.0,0.00,0,0,0
2024-12-19,6500.0,6500.0,6500.0,6500.0,-0.17,11,"71,500","71,500"
2024-12-18,6511.0,6511.0,6511.0,6511.0,0.17,11,"71,621","71,621"
2024-12-17,6500.0,6500.0,6500.0,6500.0,-2.99,11,"71,500","71,500"
2024-12-16,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-12-13,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-12-12,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-12-11,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-12-10,6700.0,6700.0,6700.0,6700.0,1.52,13,"87,100","87,100"
2024-12-06,6600.0,0.0,0.0,6600.0,0.00,0,0,"8,712,000"
2024-12-05,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-12-04,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-12-03,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-12-02,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-29,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-28,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-27,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-26,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-25,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-22,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-21,6600.0,6600.0,6600.0,6600.0,0.00,8,"52,800","52,800"
2024-11-20,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-19,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-18,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-15,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-14,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-13,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-12,6600.0,0.0,0.0,6600.0,0.00,0,0,0
2024-11-11,6600.0,6600.0,6600.0,6600.0,0.00,11,"72,600","72,600"
2024-11-08,6600.0,6600.0,6600.0,6600.0,-1.49,1,"6,600","6,600"
2024-11-07,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-11-06,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-11-05,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-11-04,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-11-01,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-31,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-30,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-29,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-28,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-25,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-24,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-22,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-21,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-18,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-17,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-16,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-15,6700.0,6700.0,6700.0,6700.0,-0.74,27,"180,900","180,900"
2024-10-14,6750.0,6750.0,6750.0,6750.0,0.75,22,"148,500","148,500"
2024-10-10,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-09,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-08,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-07,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-04,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-03,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-02,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-10-01,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-30,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-27,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-26,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-25,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-24,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-23,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-20,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-19,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-18,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-17,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-16,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-13,6700.0,6700.0,6700.0,6700.0,0.00,34,"227,800","227,800"
2024-09-12,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-11,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-10,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-06,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-05,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-04,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-03,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-09-02,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-08-30,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-08-29,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-08-27,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-08-26,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-08-23,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-08-22,6700.0,0.0,0.0,6700.0,0.00,0,0,0
2024-08-21,6700.0,0.0,0.0,6700.0,0.00,0,0,0
