Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,2070.0,0.0,0.0,2046.47,0.00,0,0,0
2025-01-14,2070.0,2030.0,2070.0,2046.47,1.81,170,"347,900","347,900"
2025-01-13,2010.0,2010.0,2010.0,2010.0,0.50,15,"30,150","30,150"
2025-01-10,2000.0,0.0,0.0,2000.0,0.00,0,0,0
2025-01-09,2000.0,2000.0,2000.0,2000.0,2.56,27,"54,000","54,000"
2025-01-08,1950.0,1950.0,1950.0,1950.0,-2.45,219,"427,050","427,050"
2025-01-03,1999.0,1999.0,1999.0,1999.0,2.51,58,"115,942","115,942"
2025-01-02,1950.0,0.0,0.0,1950.0,0.00,0,0,0
2024-12-30,1950.0,1950.0,1950.0,1950.0,0.00,39,"76,050","76,050"
2024-12-27,1950.0,1950.0,1950.0,1950.0,0.00,657,"1,281,150","1,281,150"
2024-12-26,1950.0,1950.0,1950.0,1950.0,0.03,8,"15,600","15,600"
2024-12-25,1950.0,1949.0,1950.0,1949.36,-0.03,69,"134,506","134,506"
2024-12-24,1950.0,1950.0,1950.0,1950.0,0.02,25,"48,750","48,750"
2024-12-23,1950.0,0.0,0.0,1949.57,0.00,0,0,0
2024-12-20,1950.0,0.0,0.0,1949.57,0.00,0,0,0
2024-12-19,1950.0,1948.0,1950.0,1949.57,-0.02,154,"300,234","300,234"
2024-12-18,1950.0,0.0,0.0,1950.0,0.00,0,0,0
2024-12-17,1950.0,1950.0,1950.0,1950.0,0.00,30,"58,500","58,500"
2024-12-16,1950.0,1950.0,1950.0,1950.0,0.00,15,"29,250","29,250"
2024-12-13,1950.0,1950.0,1950.0,1950.0,0.05,38,"74,100","74,100"
2024-12-12,1949.0,1949.0,1949.0,1949.0,-0.05,39,"76,011","76,011"
2024-12-11,1950.0,0.0,0.0,1950.0,0.00,0,0,0
2024-12-10,1950.0,1950.0,1950.0,1950.0,0.00,100,"195,000","195,000"
2024-12-06,1950.0,1950.0,1950.0,1950.0,2.61,35,"68,250","68,250"
2024-12-05,1910.0,1899.0,1910.0,1900.4,2.45,202,"383,881","383,881"
2024-12-04,1855.0,1855.0,1855.0,1855.0,2.98,436,"808,780","808,780"
2024-12-03,1800.0,0.0,0.0,1801.34,0.00,0,0,0
2024-12-02,1800.0,0.0,0.0,1801.34,0.00,0,0,0
2024-11-29,1800.0,0.0,0.0,1801.34,0.00,0,0,0
2024-11-28,1800.0,1800.0,1899.0,1801.34,-2.79,841,"1,514,930","1,514,930"
2024-11-27,1835.0,0.0,0.0,1853.08,0.00,0,0,0
2024-11-26,1835.0,0.0,0.0,1853.08,0.00,0,0,0
2024-11-25,1835.0,1835.0,1900.0,1853.08,-1.94,165,"305,759","305,759"
2024-11-22,1890.0,1850.0,1890.0,1889.74,-0.03,151,"285,350","285,350"
2024-11-21,1900.0,1890.0,1900.0,1890.27,-2.56,"1,182","2,234,300","2,234,300"
2024-11-20,1940.0,0.0,0.0,1940.0,0.00,0,0,0
2024-11-19,1940.0,1940.0,1940.0,1940.0,0.00,7,"13,580","13,580"
2024-11-18,1940.0,1940.0,1940.0,1940.0,2.11,20,"38,800","38,800"
2024-11-15,1900.0,0.0,0.0,1900.0,0.00,0,0,0
2024-11-14,1900.0,1900.0,1900.0,1900.0,-2.56,"2,267","4,307,300","4,307,300"
2024-11-13,1950.0,0.0,0.0,1950.0,0.00,0,0,0
2024-11-12,1950.0,0.0,0.0,1950.0,0.00,0,0,0
2024-11-11,1950.0,0.0,0.0,1950.0,0.00,0,0,0
2024-11-08,1950.0,1950.0,1950.0,1950.0,0.26,175,"341,250","341,250"
2024-11-07,1945.0,0.0,0.0,1945.0,0.00,0,0,0
2024-11-06,1945.0,0.0,0.0,1945.0,0.00,0,0,0
2024-11-05,1945.0,0.0,0.0,1945.0,0.00,0,0,0
2024-11-04,1945.0,0.0,0.0,1945.0,0.00,0,0,0
2024-11-01,1945.0,0.0,0.0,1945.0,0.00,0,0,0
2024-10-31,1945.0,0.0,0.0,1945.0,0.00,0,0,0
2024-10-30,1945.0,1945.0,1945.0,1945.0,-0.05,125,"243,125","243,125"
2024-10-29,1946.0,1946.0,1946.0,1946.0,0.00,91,"177,086","177,086"
2024-10-28,1946.0,1946.0,1946.0,1946.0,-2.99,110,"214,060","214,060"
2024-10-25,2006.0,0.0,0.0,2006.0,0.00,0,0,0
2024-10-24,2006.0,0.0,0.0,2006.0,0.00,0,0,0
2024-10-22,2006.0,0.0,0.0,2006.0,0.00,0,0,0
2024-10-21,2006.0,0.0,0.0,2006.0,0.00,0,0,0
2024-10-18,2006.0,2006.0,2006.0,2006.0,0.00,3,"6,018","6,018"
2024-10-17,2006.0,2006.0,2006.0,2006.0,3.53,6,"12,036","12,036"
2024-10-16,1900.0,1900.0,1946.0,1937.64,-0.43,11,"21,314","21,314"
2024-10-15,1946.0,1946.0,1946.0,1946.0,-2.99,300,"583,800","583,800"
2024-10-14,2006.0,2006.0,2006.0,2006.0,8.43,10,"20,060","20,060"
2024-10-10,1850.0,1850.0,1850.0,1850.0,-7.41,165,"305,250","305,250"
2024-10-09,1998.0,1998.0,1998.0,1998.0,0.00,10,"19,980","19,980"
2024-10-08,1998.0,1998.0,1998.0,1998.0,2.46,14,"27,972","27,972"
2024-10-07,1950.0,0.0,0.0,1950.0,0.00,0,0,0
2024-10-04,1950.0,1950.0,1950.0,1950.0,0.10,16,"31,200","31,200"
2024-10-03,1920.0,0.0,0.0,1947.97,0.00,0,0,0
2024-10-02,1920.0,0.0,0.0,1947.97,0.00,0,0,0
2024-10-01,1920.0,0.0,0.0,1947.97,0.00,0,0,0
2024-09-30,1920.0,0.0,0.0,1947.97,0.00,0,0,0
2024-09-27,1920.0,0.0,0.0,1947.97,0.00,0,0,0
2024-09-26,1920.0,0.0,0.0,1947.97,0.00,0,0,0
2024-09-25,1920.0,1920.0,1972.0,1947.97,-1.22,760,"1,480,460","1,480,460"
2024-09-24,1972.0,1972.0,1972.0,1972.0,6.71,20,"39,440","39,440"
2024-09-23,1848.0,1848.0,1848.0,1848.0,2.98,57,"105,336","105,336"
2024-09-20,1800.0,0.0,0.0,1794.52,0.00,0,0,0
2024-09-19,1800.0,0.0,0.0,1794.52,0.00,0,0,0
2024-09-18,1800.0,1790.0,1800.0,1794.52,3.31,73,"131,000","131,000"
2024-09-17,1790.0,1721.0,1790.0,1737.05,-0.46,43,"74,693","74,693"
2024-09-16,1741.0,0.0,0.0,1745.1,0.00,0,0,0
2024-09-13,1741.0,1731.0,1780.0,1745.1,1.46,"1,423","2,483,271","2,483,271"
2024-09-12,1720.0,1720.0,1720.0,1720.0,0.00,25,"43,000","43,000"
2024-09-11,1720.0,0.0,0.0,1720.0,0.00,0,0,0
2024-09-10,1720.0,1720.0,1720.0,1720.0,-1.21,221,"380,120","380,120"
2024-09-06,1741.0,0.0,0.0,1741.0,0.00,0,0,0
2024-09-05,1741.0,1741.0,1741.0,1741.0,0.00,10,"17,410","17,410"
2024-09-04,1741.0,0.0,0.0,1741.0,0.00,0,0,0
2024-09-03,1741.0,0.0,0.0,1741.0,0.00,0,0,0
2024-09-02,1741.0,0.0,0.0,1741.0,0.00,0,0,0
2024-08-30,1741.0,1741.0,1741.0,1741.0,-2.19,206,"358,646","358,646"
2024-08-29,1780.0,1780.0,1780.0,1780.0,0.32,100,"178,000","178,000"
2024-08-27,1760.0,1760.0,1781.0,1774.32,2.56,88,"156,140","156,140"
