Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-11-07,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-11-06,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-11-05,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-11-04,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-11-01,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-10-31,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-10-30,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-10-29,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-10-28,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-10-25,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-10-24,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-10-22,"1.650,00",",",",","1.650,00",0.0,0,0,0
2024-10-21,"1.650,00","1.650,00","1.650,00","1.650,00",-2.94,208,"343,200","343,200"
2024-10-18,"1.700,00","1.700,00","1.700,00","1.700,00",0.0,2,"3,400","3,400"
2024-10-17,"1.700,00",",",",","1.700,00",0.0,0,0,0
2024-10-16,"1.700,00",",",",","1.700,00",0.0,0,0,0
2024-10-15,"1.700,00",",",",","1.700,00",0.0,0,0,0
2024-10-14,"1.700,00",",",",","1.700,00",0.0,0,0,0
2024-10-10,"1.700,00","1.700,00","1.700,00","1.700,00",-2.86,200,"340,000","340,000"
2024-10-09,"1.750,00","1.750,00","1.750,00","1.750,00",-2.78,16,"28,000","28,000"
2024-10-08,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-10-07,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-10-04,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-10-03,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-10-02,"1.800,00","1.800,00","1.800,00","1.800,00",0.0,100,"180,000","180,000"
2024-10-01,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-09-30,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-09-27,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-09-26,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-09-25,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-09-24,"1.800,00","1.800,00","1.800,00","1.800,00",0.0,16,"28,800","28,800"
2024-09-23,"1.800,00","1.800,00","1.800,00","1.800,00",1.69,94,"169,200","169,200"
2024-09-20,"1.770,00","1.770,00","1.770,00","1.770,00",4.12,135,"238,950","238,950"
2024-09-19,"1.700,00","1.700,00","1.700,00","1.700,00",3.28,200,"340,000","340,000"
2024-09-18,"1.646,00","1.646,00","1.646,00","1.646,00",0.0,10,"16,460","16,460"
2024-09-17,"1.646,00","1.646,00","1.646,00","1.646,00",0.0,265,"436,190","436,190"
2024-09-16,"1.646,00",",",",","1.646,00",0.0,0,0,0
2024-09-13,"1.646,00","1.646,00","1.646,00","1.646,00",2.88,120,"197,520","197,520"
2024-09-12,"1.600,00",",",",","1.600,00",0.0,0,0,0
2024-09-11,"1.600,00",",",",","1.600,00",0.0,0,0,0
2024-09-10,"1.600,00",",",",","1.600,00",0.0,0,0,0
2024-09-06,"1.600,00",",",",","1.600,00",0.0,0,0,0
