Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"923,00",",",",","923,00",0.0,0,0,0
2024-11-07,"923,00",",",",","923,00",0.0,0,0,0
2024-11-06,"923,00",",",",","923,00",0.0,0,0,0
2024-11-05,"923,00",",",",","923,00",0.0,0,0,0
2024-11-04,"923,00",",",",","923,00",0.0,0,0,0
2024-11-01,"923,00",",",",","923,00",0.0,0,0,0
2024-10-31,"923,00",",",",","923,00",0.0,0,0,0
2024-10-30,"923,00",",",",","923,00",0.0,0,0,0
2024-10-29,"923,00",",",",","923,00",0.0,0,0,0
2024-10-28,"923,00",",",",","923,00",0.0,0,0,0
2024-10-25,"923,00",",",",","923,00",0.0,0,0,0
2024-10-24,"923,00",",",",","923,00",0.0,0,0,0
2024-10-22,"923,00",",",",","923,00",0.0,0,0,0
2024-10-21,"923,00",",",",","923,00",0.0,0,0,0
2024-10-18,"923,00",",",",","923,00",0.0,0,0,0
2024-10-17,"923,00",",",",","923,00",0.0,0,0,0
2024-10-16,"923,00",",",",","923,00",0.0,0,0,0
2024-10-15,"923,00",",",",","923,00",0.0,0,0,0
2024-10-14,"923,00",",",",","923,00",0.0,0,0,0
2024-10-10,"923,00",",",",","923,00",0.0,0,0,0
2024-10-09,"923,00",",",",","923,00",0.0,0,0,0
2024-10-08,"923,00",",",",","923,00",0.0,0,0,0
2024-10-07,"923,00",",",",","923,00",0.0,0,0,0
2024-10-04,"923,00",",",",","923,00",0.0,0,0,0
2024-10-03,"923,00",",",",","923,00",0.0,0,0,0
2024-10-02,"923,00",",",",","923,00",0.0,0,0,0
2024-10-01,"923,00",",",",","923,00",0.0,0,0,0
2024-09-30,"923,00",",",",","923,00",0.0,0,0,0
2024-09-27,"923,00",",",",","923,00",0.0,0,0,0
2024-09-26,"923,00",",",",","923,00",0.0,0,0,0
2024-09-25,"923,00",",",",","923,00",0.0,0,0,0
2024-09-24,"923,00",",",",","923,00",0.0,0,0,0
2024-09-23,"923,00",",",",","923,00",0.0,0,0,0
2024-09-20,"923,00",",",",","923,00",0.0,0,0,0
2024-09-19,"923,00",",",",","923,00",0.0,0,0,0
2024-09-18,"923,00",",",",","923,00",0.0,0,0,0
2024-09-17,"923,00",",",",","923,00",0.0,0,0,0
2024-09-16,"923,00",",",",","923,00",0.0,0,0,0
2024-09-13,"923,00",",",",","923,00",0.0,0,0,0
2024-09-12,"923,00",",",",","923,00",0.0,0,0,0
2024-09-11,"923,00",",",",","923,00",0.0,0,0,0
2024-09-10,"923,00",",",",","923,00",0.0,0,0,0
2024-09-06,"923,00",",",",","923,00",0.0,0,0,0
2024-09-05,"923,00",",",",","923,00",0.0,0,0,0
2024-09-04,"923,00",",",",","923,00",0.0,0,0,0
2024-09-03,"923,00",",",",","923,00",0.0,0,0,0
2024-09-02,"923,00",",",",","923,00",0.0,0,0,0
2024-08-30,"923,00",",",",","923,00",0.0,0,0,0
2024-08-29,"923,00",",",",","923,00",0.0,0,0,0
2024-08-27,"923,00",",",",","923,00",0.0,0,0,0
2024-08-26,"923,00",",",",","923,00",0.0,0,0,0
2024-08-23,"923,00",",",",","923,00",0.0,0,0,0
2024-08-22,"923,00",",",",","923,00",0.0,0,0,0
2024-08-21,"923,00",",",",","923,00",0.0,0,0,0
2024-08-20,"923,00",",",",","923,00",0.0,0,0,0
2024-08-19,"923,00",",",",","923,00",0.0,0,0,0
2024-08-16,"923,00",",",",","923,00",0.0,0,0,0
2024-08-15,"923,00",",",",","923,00",0.0,0,0,0
2024-08-14,"923,00",",",",","923,00",0.0,0,0,0
2024-08-13,"923,00",",",",","923,00",0.0,0,0,0
2024-08-12,"923,00",",",",","923,00",0.0,0,0,0
