Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-11-07,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-11-06,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-11-05,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-11-04,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-11-01,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-31,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-30,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-29,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-28,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-25,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-24,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-22,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-21,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-18,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-17,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-16,"3.030,00",",",",","3.030,00",0.0,0,0,"3,300,000"
2024-10-15,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-14,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-10,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-09,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-08,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-07,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-04,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-03,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-02,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-10-01,"3.030,00","3.030,00","3.030,00","3.030,00",0.0,15,"45,450","45,450"
2024-09-30,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-09-27,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-09-26,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-09-25,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-09-24,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-09-23,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-09-20,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-09-19,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-09-18,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-09-17,"3.030,00",",",",","3.030,00",0.0,0,0,0
2024-09-16,"3.030,00","3.030,00","3.030,00","3.030,00",2.71,400,"1,212,000","1,212,000"
2024-09-13,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-09-12,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-09-11,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-09-10,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-09-06,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-09-05,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-09-04,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-09-03,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-09-02,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-30,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-29,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-27,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-26,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-23,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-22,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-21,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-20,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-19,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-16,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-15,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-14,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-13,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-12,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-09,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-08,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-07,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-06,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-05,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-01,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-31,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-30,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-29,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-26,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-25,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-24,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-23,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-22,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-19,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-18,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-17,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-16,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-15,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-12,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-11,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-10,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-09,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-08,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-05,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-04,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-03,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-02,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-07-01,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-28,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-27,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-26,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-25,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-24,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-20,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-19,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-18,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-17,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-14,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-13,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-12,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-11,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-10,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-06-07,"2.950,00",",",",","2.950,00",0.0,0,0,0
