Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"603,00",",",",","603,00",0.0,0,0,0
2024-11-07,"603,00",",",",","603,00",0.0,0,0,0
2024-11-06,"603,00",",",",","603,00",0.0,0,0,0
2024-11-05,"603,00",",",",","603,00",0.0,0,0,0
2024-11-04,"603,00",",",",","603,00",0.0,0,0,0
2024-11-01,"603,00",",",",","603,00",0.0,0,0,0
2024-10-31,"603,00",",",",","603,00",0.0,0,0,0
2024-10-30,"603,00",",",",","603,00",0.0,0,0,0
2024-10-29,"603,00",",",",","603,00",0.0,0,0,0
2024-10-28,"603,00",",",",","603,00",0.0,0,0,0
2024-10-25,"603,00",",",",","603,00",0.0,0,0,0
2024-10-24,"603,00",",",",","603,00",0.0,0,0,0
2024-10-22,"603,00",",",",","603,00",0.0,0,0,0
2024-10-21,"603,00",",",",","603,00",0.0,0,0,0
2024-10-18,"603,00",",",",","603,00",0.0,0,0,0
2024-10-17,"603,00",",",",","603,00",0.0,0,0,0
2024-10-16,"603,00",",",",","603,00",0.0,0,0,0
2024-10-15,"603,00",",",",","603,00",0.0,0,0,0
2024-10-14,"603,00",",",",","603,00",0.0,0,0,0
2024-10-10,"603,00",",",",","603,00",0.0,0,0,0
2024-10-09,"603,00",",",",","603,00",0.0,0,0,0
2024-10-08,"603,00",",",",","603,00",0.0,0,0,0
2024-10-07,"603,00",",",",","603,00",0.0,0,0,0
2024-10-04,"603,00",",",",","603,00",0.0,0,0,0
2024-10-03,"603,00",",",",","603,00",0.0,0,0,0
2024-10-02,"603,00",",",",","603,00",0.0,0,0,0
2024-10-01,"603,00",",",",","603,00",0.0,0,0,0
2024-09-30,"603,00",",",",","603,00",0.0,0,0,0
2024-09-27,"603,00",",",",","603,00",0.0,0,0,0
2024-09-26,"603,00",",",",","603,00",0.0,0,0,0
2024-09-25,"603,00",",",",","603,00",0.0,0,0,0
2024-09-24,"603,00",",",",","603,00",0.0,0,0,0
2024-09-23,"603,00",",",",","603,00",0.0,0,0,0
2024-09-20,"603,00",",",",","603,00",0.0,0,0,0
2024-09-19,"603,00",",",",","603,00",0.0,0,0,0
2024-09-18,"603,00",",",",","603,00",0.0,0,0,0
2024-09-17,"603,00",",",",","603,00",0.0,0,0,0
2024-09-16,"603,00",",",",","603,00",0.0,0,0,0
2024-09-13,"603,00",",",",","603,00",0.0,0,0,0
2024-09-12,"603,00",",",",","603,00",0.0,0,0,0
2024-09-11,"603,00",",",",","603,00",0.0,0,0,0
2024-09-10,"603,00",",",",","603,00",0.0,0,0,0
2024-09-06,"603,00",",",",","603,00",0.0,0,0,0
2024-09-05,"603,00",",",",","603,00",0.0,0,0,0
2024-09-04,"603,00",",",",","603,00",0.0,0,0,0
2024-09-03,"603,00",",",",","603,00",0.0,0,0,0
2024-09-02,"603,00",",",",","603,00",0.0,0,0,0
2024-08-30,"603,00",",",",","603,00",0.0,0,0,0
