Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-11-07,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-11-06,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-11-05,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-11-04,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-11-01,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-31,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-30,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-29,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-28,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-25,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-24,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-22,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-21,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-18,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-17,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-16,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-15,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-14,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-10,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-09,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-08,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-07,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-04,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-03,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-02,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-10-01,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-30,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-27,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-26,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-25,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-24,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-23,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-20,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-19,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-18,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-17,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-16,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-13,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-12,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-11,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-10,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-06,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-05,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-04,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-03,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-09-02,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-30,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-29,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-27,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-26,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-23,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-22,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-21,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-20,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-19,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-16,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-15,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-14,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-13,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-12,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-09,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-08,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-07,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-06,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-05,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-08-01,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-31,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-30,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-29,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-26,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-25,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-24,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-23,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-22,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-19,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-18,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-17,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-16,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-15,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-12,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-11,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-10,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-09,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-08,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-05,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-04,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-03,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-02,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-07-01,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-28,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-27,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-26,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-25,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-24,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-20,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-19,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-18,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-17,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-14,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-13,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-12,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-11,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-10,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-07,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-06,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-05,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-04,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-06-03,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-31,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-30,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-29,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-28,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-27,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-23,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-22,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-21,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-20,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-17,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-16,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-15,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-14,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-13,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-10,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-09,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-07,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-05-02,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-30,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-29,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-26,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-25,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-23,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-22,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-19,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-18,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-17,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-16,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-15,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-12,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-11,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-09,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-08,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-05,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-04,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-03,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-02,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-04-01,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-03-29,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-03-28,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-03-27,"17.000,00",",",",","17.000,00",0.0,0,0,0
2024-03-26,"17.000,00",",",",","17.000,00",0.0,0,0,0
