Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"39,00",",",",","39,00",0.0,0,0,0
2024-11-07,"39,00",",",",","39,00",0.0,0,0,0
2024-11-06,"39,00",",",",","39,00",0.0,0,0,0
2024-11-05,"39,00",",",",","39,00",0.0,0,0,0
2024-11-04,"39,00",",",",","39,00",0.0,0,0,0
2024-11-01,"39,00",",",",","39,00",0.0,0,0,0
2024-10-31,"39,00",",",",","39,00",0.0,0,0,0
2024-10-30,"39,00",",",",","39,00",0.0,0,0,0
2024-10-29,"39,00",",",",","39,00",0.0,0,0,0
2024-10-28,"39,00",",",",","39,00",0.0,0,0,0
2024-10-25,"39,00",",",",","39,00",0.0,0,0,0
2024-10-24,"39,00",",",",","39,00",0.0,0,0,0
2024-10-22,"39,00",",",",","39,00",0.0,0,0,0
2024-10-21,"39,00",",",",","39,00",0.0,0,0,0
2024-10-18,"39,00",",",",","39,00",0.0,0,0,0
2024-10-17,"39,00",",",",","39,00",0.0,0,0,0
2024-10-16,"39,00",",",",","39,00",0.0,0,0,0
2024-10-15,"39,00",",",",","39,00",0.0,0,0,0
2024-10-14,"39,00",",",",","39,00",0.0,0,0,0
2024-10-10,"39,00",",",",","39,00",0.0,0,0,0
2024-10-09,"39,00",",",",","39,00",0.0,0,0,0
2024-10-08,"39,00",",",",","39,00",0.0,0,0,0
2024-10-07,"39,00",",",",","39,00",0.0,0,0,0
2024-10-04,"39,00",",",",","39,00",0.0,0,0,0
2020-01-02,"39,00",",",",","39,00",0.0,0,0,0
2019-12-30,"39,00",",",",","39,00",0.0,0,0,0
2019-12-27,"39,00",",",",","39,00",0.0,0,0,0
2019-12-26,"39,00",",",",","39,00",0.0,0,0,0
2019-12-25,"39,00",",",",","39,00",0.0,0,0,0
2019-12-24,"39,00",",",",","39,00",0.0,0,0,0
2019-12-23,"39,00",",",",","39,00",0.0,0,0,0
2019-12-20,"39,00",",",",","39,00",0.0,0,0,0
2019-12-19,"39,00",",",",","39,00",0.0,0,0,0
2019-12-18,"39,00",",",",","39,00",0.0,0,0,0
2019-12-17,"39,00",",",",","39,00",0.0,0,0,0
