Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-11-07,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-11-06,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-11-05,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-11-04,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-11-01,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-31,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-30,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-29,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-28,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-25,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-24,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-22,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-21,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-18,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-17,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-16,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-15,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-14,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-10,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-09,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-08,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-07,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-04,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-03,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-02,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-10-01,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-30,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-27,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-26,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-25,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-24,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-23,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-20,"53.561,00","53.561,00","53.561,00","53.561,00",0.0,11,"589,171","589,171"
2024-09-19,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-18,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-17,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-16,"53.561,00","53.561,00","53.561,00","53.561,00",0.0,1,"53,561","53,561"
2024-09-13,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-12,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-11,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-10,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-06,"53.561,00",",",",","53.561,00",0.0,0,0,0
2024-09-05,"53.561,00","53.561,00","53.561,00","53.561,00",0.0,3,"160,683","160,683"
2024-09-04,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-09-03,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-09-02,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-30,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-29,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-27,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-26,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-23,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-22,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-21,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-20,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-19,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-16,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-15,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-14,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-13,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-12,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-09,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-08,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-07,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-06,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-05,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-08-01,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-31,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-30,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-29,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-26,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-25,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-24,"53.560,00","53.560,00","53.560,00","53.560,00",0.0,4,"214,240","214,240"
2024-07-23,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-22,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-19,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-18,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-17,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-16,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-15,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-12,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-11,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-10,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-09,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-08,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-05,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-04,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-03,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-02,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-07-01,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-28,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-27,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-26,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-25,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-24,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-20,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-19,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-18,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-17,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-14,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-13,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-12,"53.560,00",",",",","53.560,00",0.0,0,0,0
2024-06-11,"53.560,00","53.560,00","53.560,00","53.560,00",3.0,4,"214,240","214,240"
2024-06-10,"52.000,00",",",",","52.000,00",0.0,0,0,0
2024-06-07,"52.000,00",",",",","52.000,00",0.0,0,0,0
2024-06-06,"52.000,00",",",",","52.000,00",0.0,0,0,0
2024-06-05,"52.000,00",",",",","52.000,00",0.0,0,0,0
2024-06-04,"52.000,00",",",",","52.000,00",0.0,0,0,0
