Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"620,00",",",",","620,00",0.0,0,0,0
2024-11-07,"620,00",",",",","620,00",0.0,0,0,0
2024-11-06,"620,00",",",",","620,00",0.0,0,0,0
2024-11-05,"620,00",",",",","620,00",0.0,0,0,0
2024-11-04,"620,00",",",",","620,00",0.0,0,0,0
2024-11-01,"620,00",",",",","620,00",0.0,0,0,0
2024-10-31,"620,00",",",",","620,00",0.0,0,0,0
2024-10-30,"620,00",",",",","620,00",0.0,0,0,0
2024-10-29,"620,00",",",",","620,00",0.0,0,0,0
2024-10-28,"620,00",",",",","620,00",0.0,0,0,0
2024-10-25,"620,00",",",",","620,00",0.0,0,0,0
2024-10-24,"620,00",",",",","620,00",0.0,0,0,0
2024-10-22,"620,00",",",",","620,00",0.0,0,0,0
2024-10-21,"620,00",",",",","620,00",0.0,0,0,0
2024-10-18,"620,00",",",",","620,00",0.0,0,0,0
2024-10-17,"620,00",",",",","620,00",0.0,0,0,0
2024-10-16,"620,00",",",",","620,00",0.0,0,0,0
2024-10-15,"620,00",",",",","620,00",0.0,0,0,0
2024-10-14,"620,00",",",",","620,00",0.0,0,0,0
2024-10-10,"620,00",",",",","620,00",0.0,0,0,0
2024-10-09,"620,00",",",",","620,00",0.0,0,0,0
2024-10-08,"620,00",",",",","620,00",0.0,0,0,0
2024-10-07,"620,00",",",",","620,00",0.0,0,0,0
2024-10-04,"620,00",",",",","620,00",0.0,0,0,0
2024-10-03,"620,00",",",",","620,00",0.0,0,0,0
2024-10-02,"620,00",",",",","620,00",0.0,0,0,0
2024-10-01,"620,00",",",",","620,00",0.0,0,0,0
2024-09-30,"620,00",",",",","620,00",0.0,0,0,0
2024-09-27,"620,00",",",",","620,00",0.0,0,0,0
2024-09-26,"620,00",",",",","620,00",0.0,0,0,0
2024-09-25,"620,00",",",",","620,00",0.0,0,0,0
2024-09-24,"620,00",",",",","620,00",0.0,0,0,0
2024-09-23,"620,00",",",",","620,00",0.0,0,0,0
2024-09-20,"620,00",",",",","620,00",0.0,0,0,0
2024-09-19,"620,00",",",",","620,00",0.0,0,0,0
2024-09-18,"620,00",",",",","620,00",0.0,0,0,0
2024-09-17,"620,00",",",",","620,00",0.0,0,0,0
2024-09-16,"620,00",",",",","620,00",0.0,0,0,0
2024-09-13,"620,00",",",",","620,00",0.0,0,0,0
2024-09-12,"620,00",",",",","620,00",0.0,0,0,0
2024-09-11,"620,00",",",",","620,00",0.0,0,0,0
2024-09-10,"620,00",",",",","620,00",0.0,0,0,0
2024-09-06,"620,00",",",",","620,00",0.0,0,0,0
2024-09-05,"620,00",",",",","620,00",0.0,0,0,0
2024-09-04,"620,00",",",",","620,00",0.0,0,0,0
2024-09-03,"620,00",",",",","620,00",0.0,0,0,0
2024-09-02,"620,00",",",",","620,00",0.0,0,0,0
2024-08-30,"620,00",",",",","620,00",0.0,0,0,0
2024-08-29,"620,00",",",",","620,00",0.0,0,0,0
2024-08-27,"620,00",",",",","620,00",0.0,0,0,0
