Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-11-07,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-11-06,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-11-05,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-11-04,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-11-01,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-31,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-30,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-29,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-28,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-25,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-24,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-22,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-21,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-18,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-17,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-16,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-15,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-14,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-10,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-09,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-08,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-07,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-04,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-03,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-02,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-10-01,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-30,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-27,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-26,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-25,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-24,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-23,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-20,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-19,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-18,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-17,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-16,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-13,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-12,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-11,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-10,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-06,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-05,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-04,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-03,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-09-02,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-30,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-29,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-27,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-26,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-23,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-22,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-21,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-20,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-19,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-16,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-15,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-14,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-13,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-12,"9.240,00",",",",","9.240,00",0.0,0,0,0
2024-08-09,"9.240,00",",",",","9.240,00",0.0,0,0,0
