Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"310,00",",",",","310,00",0.0,0,0,0
2024-11-07,"310,00",",",",","310,00",0.0,0,0,0
2024-11-06,"310,00",",",",","310,00",0.0,0,0,0
2024-11-05,"310,00",",",",","310,00",0.0,0,0,0
2024-11-04,"310,00",",",",","310,00",0.0,0,0,0
2024-11-01,"310,00",",",",","310,00",0.0,0,0,0
2024-10-31,"310,00",",",",","310,00",0.0,0,0,0
2024-10-30,"310,00",",",",","310,00",0.0,0,0,0
2024-10-29,"310,00",",",",","310,00",0.0,0,0,0
2024-10-28,"310,00",",",",","310,00",0.0,0,0,0
2024-10-25,"310,00",",",",","310,00",0.0,0,0,0
2024-10-24,"310,00",",",",","310,00",0.0,0,0,0
2024-10-22,"310,00",",",",","310,00",0.0,0,0,0
2024-10-21,"310,00",",",",","310,00",0.0,0,0,0
2024-10-18,"310,00",",",",","310,00",0.0,0,0,0
2024-10-17,"310,00",",",",","310,00",0.0,0,0,0
2024-10-16,"310,00",",",",","310,00",0.0,0,0,0
2024-10-15,"310,00",",",",","310,00",0.0,0,0,0
2024-10-14,"310,00",",",",","310,00",0.0,0,0,0
2024-10-10,"310,00",",",",","310,00",0.0,0,0,0
2024-10-09,"310,00",",",",","310,00",0.0,0,0,0
2024-10-08,"310,00",",",",","310,00",0.0,0,0,0
2024-10-07,"310,00",",",",","310,00",0.0,0,0,0
2024-10-04,"310,00",",",",","310,00",0.0,0,0,0
2024-10-03,"310,00","310,00","310,00","310,00",0.0,33,"10,230","10,230"
2024-10-02,"310,00",",",",","310,00",0.0,0,0,0
2024-10-01,"310,00",",",",","310,00",0.0,0,0,0
2024-09-30,"310,00",",",",","310,00",0.0,0,0,0
2024-09-27,"310,00",",",",","310,00",0.0,0,0,0
2024-09-26,"310,00",",",",","310,00",0.0,0,0,0
2024-09-25,"310,00",",",",","310,00",0.0,0,0,0
2024-09-24,"310,00",",",",","310,00",0.0,0,0,0
2024-09-23,"310,00",",",",","310,00",0.0,0,0,0
2024-09-20,"310,00",",",",","310,00",0.0,0,0,0
2024-09-19,"310,00",",",",","310,00",0.0,0,0,0
2024-09-18,"310,00",",",",","310,00",0.0,0,0,0
2024-09-17,"310,00",",",",","310,00",0.0,0,0,0
2024-09-16,"310,00",",",",","310,00",0.0,0,0,0
2024-09-13,"310,00",",",",","310,00",0.0,0,0,0
2024-09-12,"310,00",",",",","310,00",0.0,0,0,0
2024-09-11,"310,00",",",",","310,00",0.0,0,0,0
2024-09-10,"310,00",",",",","310,00",0.0,0,0,0
2024-09-06,"310,00",",",",","310,00",0.0,0,0,0
2024-09-05,"310,00",",",",","310,00",0.0,0,0,0
2024-09-04,"310,00",",",",","310,00",0.0,0,0,0
2024-09-03,"310,00",",",",","310,00",0.0,0,0,0
2024-09-02,"310,00",",",",","310,00",0.0,0,0,0
2024-08-30,"310,00",",",",","310,00",0.0,0,0,0
2024-08-29,"310,00",",",",","310,00",0.0,0,0,0
2024-08-27,"310,00",",",",","310,00",0.0,0,0,0
2024-08-26,"310,00",",",",","310,00",0.0,0,0,0
2024-08-23,"310,00",",",",","310,00",0.0,0,0,0
2024-08-22,"310,00",",",",","310,00",0.0,0,0,0
2024-08-21,"310,00",",",",","310,00",0.0,0,0,0
2024-08-20,"310,00",",",",","310,00",0.0,0,0,0
2024-08-19,"310,00",",",",","310,00",0.0,0,0,0
2024-08-16,"310,00",",",",","310,00",0.0,0,0,0
2024-08-15,"310,00",",",",","310,00",0.0,0,0,0
