Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"1.650,00","1.650,00","1.630,00","1.645,87",2.48,63,"103,690","103,690"
2024-11-07,"1.631,00","1.631,00","1.600,00","1.606,01",0.38,"1,234","1,981,820","1,981,820"
2024-11-06,"1.600,00","1.600,00","1.600,00","1.600,00",-0.83,370,"592,000","592,000"
2024-11-05,"1.590,00","1.630,00","1.590,00","1.613,33",-1.02,84,"135,520","135,520"
2024-11-04,"1.630,00","1.630,00","1.630,00","1.630,00",1.88,100,"163,000","163,000"
2024-11-01,"1.600,00",",",",","1.600,00",0.0,0,0,0
2024-10-31,"1.600,00","1.600,00","1.600,00","1.600,00",0.0,268,"428,800","428,800"
2024-10-30,"1.600,00","1.600,00","1.600,00","1.600,00",-1.84,88,"140,800","140,800"
2024-10-29,"1.630,00","1.630,00","1.630,00","1.630,00",0.68,10,"16,300","16,300"
2024-10-28,"1.600,00",",",",","1.619,05",0.0,0,0,0
2024-10-25,"1.600,00","1.630,00","1.600,00","1.619,05",-0.8,494,"799,810","799,810"
2024-10-24,"1.670,00","1.670,00","1.630,00","1.632,16",0.13,185,"301,950","301,950"
2024-10-22,"1.630,00","1.630,00","1.630,00","1.630,00",0.0,100,"163,000","163,000"
2024-10-21,"1.630,00","1.630,00","1.630,00","1.630,00",0.0,120,"195,600","195,600"
2024-10-18,"1.630,00","1.630,00","1.630,00","1.630,00",1.82,250,"407,500","407,500"
2024-10-17,"1.601,00","1.601,00","1.600,00","1.600,94",-1.42,116,"185,709","185,709"
2024-10-16,"1.600,00","1.630,00","1.600,00","1.623,94",1.46,297,"482,310","482,310"
2024-10-15,"1.600,00",",",",","1.600,62",0.0,0,0,0
2024-10-14,"1.600,00","1.601,00","1.600,00","1.600,62",-1.8,162,"259,300","259,300"
2024-10-10,"1.630,00","1.630,00","1.630,00","1.630,00",0.0,10,"16,300","16,300"
2024-10-09,"1.630,00","1.630,00","1.630,00","1.630,00",0.0,200,"326,000","326,000"
2024-10-08,"1.630,00","1.630,00","1.630,00","1.630,00",1.88,57,"92,910","92,910"
2024-10-07,"1.600,00",",",",","1.600,00",0.0,0,0,0
2024-10-04,"1.600,00","1.600,00","1.600,00","1.600,00",-2.99,15,"24,000","24,000"
2024-10-03,"1.650,00","1.650,00","1.639,00","1.649,25",0.6,"1,020","1,682,230","1,682,230"
2024-10-02,"1.649,00","1.698,00","1.600,00","1.639,34",-6.86,"2,440","3,999,992","3,999,992"
2024-10-01,"1.760,00",",",",","1.760,00",0.0,0,0,0
2024-09-30,"1.760,00",",",",","1.760,00",0.0,0,0,0
2024-09-27,"1.760,00",",",",","1.760,00",0.0,0,0,0
2024-09-26,"1.760,00",",",",","1.760,00",0.0,0,0,0
2024-09-25,"1.760,00",",",",","1.760,00",0.0,0,0,0
2024-09-24,"1.760,00","1.760,00","1.760,00","1.760,00",-2.17,25,"44,000","44,000"
2024-09-23,"1.799,00",",",",","1.799,00",0.0,0,0,0
2024-09-20,"1.799,00","1.799,00","1.799,00","1.799,00",1.8,200,"359,800","359,800"
2024-09-19,"1.799,00","1.800,00","1.640,00","1.767,14",7.19,495,"874,735","874,735"
2024-09-18,"1.679,00",",",",","1.648,59",0.0,0,0,0
2024-09-17,"1.679,00",",",",","1.648,59",0.0,0,0,0
2024-09-16,"1.679,00","1.679,00","1.600,00","1.648,59",1.12,439,"723,730","723,730"
2024-09-13,"1.600,00","1.648,00","1.600,00","1.630,31",1.89,293,"477,680","477,680"
2024-09-12,"1.600,00","1.600,00","1.600,00","1.600,00",0.06,117,"187,200","187,200"
2024-09-11,"1.600,00","1.600,00","1.590,00","1.599,12",-0.06,400,"639,650","639,650"
2024-09-10,"1.600,00",",",",","1.600,00",0.0,0,0,0
2024-09-06,"1.600,00","1.600,00","1.600,00","1.600,00",2.2,30,"48,000","48,000"
2024-09-05,"1.590,00","1.590,00","1.550,00","1.565,60",0.04,444,"695,125","695,125"
2024-09-04,"1.565,00","1.565,00","1.565,00","1.565,00",0.0,"5,680","8,889,200","8,889,200"
2024-09-03,"1.565,00","1.565,00","1.565,00","1.565,00",0.0,"4,883","7,641,895","7,641,895"
2024-09-02,"1.565,00","1.565,00","1.565,00","1.565,00",2.94,77,"120,505","120,505"
2024-08-30,"1.551,00","1.551,00","1.505,00","1.520,33",0.95,75,"114,025","114,025"
2024-08-29,"1.546,00","1.546,00","1.501,00","1.505,99",0.33,477,"718,359","718,359"
2024-08-27,"1.500,00","1.510,00","1.500,00","1.501,00",0.07,100,"150,100","150,100"
2024-08-26,"1.500,00","1.500,00","1.500,00","1.500,00",1.35,60,"90,000","90,000"
2024-08-23,"1.500,00","1.500,00","1.410,00","1.480,00",1.72,90,"133,200","133,200"
2024-08-22,"1.455,00","1.455,00","1.455,00","1.455,00",-2.99,525,"763,875","763,875"
2024-08-21,"1.500,00",",",",","1.499,81",0.0,0,0,0
2024-08-20,"1.500,00","1.500,00","1.499,00","1.499,81",-0.01,268,"401,950","401,950"
2024-08-19,"1.500,00",",",",","1.500,00",0.0,0,0,0
2024-08-16,"1.500,00","1.500,00","1.500,00","1.500,00",7.14,8,"12,000","12,000"
2024-08-15,"1.400,00","1.400,00","1.400,00","1.400,00",0.0,208,"291,200","291,200"
2024-08-14,"1.400,00","1.400,00","1.400,00","1.400,00",-2.78,15,"21,000","21,000"
2024-08-13,"1.440,00","1.440,00","1.440,00","1.440,00",0.0,200,"288,000","288,000"
2024-08-12,"1.440,00","1.440,00","1.440,00","1.440,00",0.0,180,"259,200","259,200"
2024-08-09,"1.440,00",",",",","1.440,00",0.0,0,0,0
2024-08-08,"1.440,00","1.440,00","1.440,00","1.440,00",0.0,900,"1,296,000","1,296,000"
2024-08-07,"1.440,00","1.440,00","1.440,00","1.440,00",0.0,954,"1,373,760","1,373,760"
2024-08-06,"1.440,00","1.440,00","1.440,00","1.440,00",-0.02,320,"460,800","460,800"
2024-08-05,"1.441,00",",",",","1.440,36",0.0,0,0,0
2024-08-01,"1.441,00","1.441,00","1.440,00","1.440,36",0.02,313,"450,833","450,833"
2024-07-31,"1.440,00","1.440,00","1.440,00","1.440,00",0.0,90,"129,600","129,600"
2024-07-30,"1.440,00","1.440,00","1.440,00","1.440,00",0.0,116,"167,040","167,040"
2024-07-29,"1.440,00",",",",","1.440,00",0.0,0,0,0
2024-07-26,"1.440,00",",",",","1.440,00",0.0,0,0,0
2024-07-25,"1.440,00",",",",","1.440,00",0.0,0,0,0
2024-07-24,"1.440,00","1.440,00","1.440,00","1.440,00",2.13,117,"168,480","168,480"
2024-07-23,"1.410,00","1.410,00","1.410,00","1.410,00",0.0,53,"74,730","74,730"
2024-07-22,"1.410,00","1.410,00","1.410,00","1.410,00",0.0,43,"60,630","60,630"
2024-07-19,"1.410,00","1.410,00","1.410,00","1.410,00",0.71,80,"112,800","112,800"
2024-07-18,"1.400,00","1.400,00","1.400,00","1.400,00",-2.78,500,"700,000","700,000"
2024-07-17,"1.440,00","1.440,00","1.440,00","1.440,00",2.86,1,"1,440","2,041,440"
2024-07-16,"1.400,00","1.400,00","1.400,00","1.400,00",0.0,295,"413,000","413,000"
2024-07-15,"1.400,00",",",",","1.400,00",0.0,0,0,0
2024-07-12,"1.400,00",",",",","1.400,00",0.0,0,0,0
2024-07-11,"1.400,00","1.400,00","1.400,00","1.400,00",-2.78,170,"238,000","238,000"
2024-07-10,"1.440,00","1.440,00","1.440,00","1.440,00",1.29,10,"14,400","14,400"
2024-07-09,"1.440,00",",",",","1.421,65",0.0,0,0,0
2024-07-08,"1.440,00",",",",","1.421,65",0.0,0,0,0
2024-07-05,"1.440,00","1.440,00","1.400,00","1.421,65",1.55,218,"309,920","309,920"
2024-07-04,"1.400,00","1.400,00","1.400,00","1.400,00",0.07,145,"203,000","203,000"
2024-07-03,"1.399,00","1.399,00","1.399,00","1.399,00",4.4,20,"27,980","27,980"
2024-07-02,"1.340,00",",",",","1.340,00",0.0,0,0,0
2024-07-01,"1.340,00",",",",","1.340,00",0.0,0,0,0
2024-06-28,"1.340,00",",",",","1.340,00",0.0,0,0,0
2024-06-27,"1.340,00","1.340,00","1.340,00","1.340,00",0.0,5,"6,700","6,700"
2024-06-26,"1.340,00",",",",","1.340,00",0.0,0,0,0
2024-06-25,"1.340,00","1.340,00","1.340,00","1.340,00",-1.53,83,"111,220","111,220"
