Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-11-07,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-11-06,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-11-05,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-11-04,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-11-01,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-31,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-30,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-29,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-28,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-25,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-24,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-22,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-21,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-18,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-17,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-16,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-15,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-14,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-10,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-09,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-08,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-07,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-04,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-03,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-02,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-10-01,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-30,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-27,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-26,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-25,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-24,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-23,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-20,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-19,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-18,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-17,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-16,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-13,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-12,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-11,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-10,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-06,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-05,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-04,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-03,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-09-02,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-08-30,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-08-29,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-08-27,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-08-26,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-08-23,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-08-22,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-08-21,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-08-20,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-08-19,"5.050,00",",",",","5.050,00",0.0,0,0,0
2024-08-16,"5.050,00","5.050,00","5.050,00","5.050,00",1.0,79,"398,950","398,950"
2024-08-15,"5.000,00",",",",","5.000,00",0.0,0,0,0
