Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"320,00",",",",","320,00",0.0,0,0,0
2024-11-07,"320,00",",",",","320,00",0.0,0,0,0
2024-11-06,"320,00",",",",","320,00",0.0,0,0,0
2024-11-05,"320,00",",",",","320,00",0.0,0,0,0
2024-11-04,"320,00",",",",","320,00",0.0,0,0,0
2024-11-01,"320,00",",",",","320,00",0.0,0,0,0
2024-10-31,"320,00",",",",","320,00",0.0,0,0,0
2024-10-30,"320,00",",",",","320,00",0.0,0,0,0
2024-10-29,"320,00",",",",","320,00",0.0,0,0,0
2024-10-28,"320,00",",",",","320,00",0.0,0,0,0
2024-10-25,"320,00",",",",","320,00",0.0,0,0,0
2024-10-24,"320,00",",",",","320,00",0.0,0,0,0
2024-10-22,"320,00",",",",","320,00",0.0,0,0,0
2024-10-21,"320,00",",",",","320,00",0.0,0,0,0
2024-10-18,"320,00",",",",","320,00",0.0,0,0,0
2024-10-17,"320,00",",",",","320,00",0.0,0,0,0
2024-10-16,"320,00",",",",","320,00",0.0,0,0,0
2024-10-15,"320,00",",",",","320,00",0.0,0,0,0
2024-10-14,"320,00",",",",","320,00",0.0,0,0,0
2024-10-10,"320,00",",",",","320,00",0.0,0,0,0
2024-10-09,"320,00",",",",","320,00",0.0,0,0,0
2024-10-08,"320,00",",",",","320,00",0.0,0,0,0
2024-10-07,"320,00",",",",","320,00",0.0,0,0,0
2024-10-04,"320,00",",",",","320,00",0.0,0,0,0
2024-10-03,"320,00",",",",","320,00",0.0,0,0,0
2024-10-02,"320,00",",",",","320,00",0.0,0,0,0
2024-10-01,"320,00",",",",","320,00",0.0,0,0,0
2024-09-30,"320,00",",",",","320,00",0.0,0,0,0
2024-09-27,"320,00",",",",","320,00",0.0,0,0,0
2024-09-26,"320,00",",",",","320,00",0.0,0,0,0
2024-09-25,"320,00",",",",","320,00",0.0,0,0,0
2024-09-24,"320,00",",",",","320,00",0.0,0,0,0
2024-09-23,"320,00",",",",","320,00",0.0,0,0,0
2024-09-20,"320,00",",",",","320,00",0.0,0,0,0
2024-09-19,"320,00",",",",","320,00",0.0,0,0,0
2024-09-18,"320,00",",",",","320,00",0.0,0,0,0
2024-09-17,"320,00",",",",","320,00",0.0,0,0,0
2024-09-16,"320,00",",",",","320,00",0.0,0,0,0
2024-09-13,"320,00",",",",","320,00",0.0,0,0,0
2024-09-12,"320,00",",",",","320,00",0.0,0,0,0
2024-09-11,"320,00",",",",","320,00",0.0,0,0,0
2024-09-10,"320,00",",",",","320,00",0.0,0,0,0
2024-09-06,"320,00",",",",","320,00",0.0,0,0,0
2024-09-05,"320,00",",",",","320,00",0.0,0,0,0
2024-09-04,"320,00",",",",","320,00",0.0,0,0,0
2024-09-03,"320,00",",",",","320,00",0.0,0,0,0
2024-09-02,"320,00",",",",","320,00",0.0,0,0,0
2024-08-30,"320,00",",",",","320,00",0.0,0,0,0
2024-08-29,"320,00",",",",","320,00",0.0,0,0,0
2024-08-27,"320,00",",",",","320,00",0.0,0,0,0
2024-08-26,"320,00",",",",","320,00",0.0,0,0,0
2024-08-23,"320,00",",",",","320,00",0.0,0,0,0
2024-08-22,"320,00",",",",","320,00",0.0,0,0,0
2024-08-21,"320,00",",",",","320,00",0.0,0,0,0
2024-08-20,"320,00",",",",","320,00",0.0,0,0,0
2024-08-19,"320,00",",",",","320,00",0.0,0,0,0
2024-08-16,"320,00",",",",","320,00",0.0,0,0,0
2024-08-15,"320,00",",",",","320,00",0.0,0,0,0
2024-08-14,"320,00",",",",","320,00",0.0,0,0,0
2024-08-13,"320,00",",",",","320,00",0.0,0,0,0
2024-08-12,"320,00",",",",","320,00",0.0,0,0,0
2024-08-09,"320,00",",",",","320,00",0.0,0,0,0
2024-08-08,"320,00",",",",","320,00",0.0,0,0,0
2024-08-07,"320,00",",",",","320,00",0.0,0,0,0
2024-08-06,"320,00",",",",","320,00",0.0,0,0,0
2024-08-05,"320,00",",",",","320,00",0.0,0,0,0
2024-08-01,"320,00",",",",","320,00",0.0,0,0,0
2024-07-31,"320,00",",",",","320,00",0.0,0,0,0
2024-07-30,"320,00",",",",","320,00",0.0,0,0,0
2024-07-29,"320,00",",",",","320,00",0.0,0,0,0
2024-07-26,"320,00",",",",","320,00",0.0,0,0,0
2024-07-25,"320,00",",",",","320,00",0.0,0,0,0
2024-07-24,"320,00",",",",","320,00",0.0,0,0,0
2024-07-23,"320,00",",",",","320,00",0.0,0,0,0
2024-07-22,"320,00",",",",","320,00",0.0,0,0,0
2024-07-19,"320,00",",",",","320,00",0.0,0,0,0
2024-07-18,"320,00",",",",","320,00",0.0,0,0,0
2024-07-17,"320,00",",",",","320,00",0.0,0,0,0
2024-07-16,"320,00",",",",","320,00",0.0,0,0,0
2024-07-15,"320,00",",",",","320,00",0.0,0,0,0
2024-07-12,"320,00",",",",","320,00",0.0,0,0,0
2024-07-11,"320,00",",",",","320,00",0.0,0,0,0
2024-07-10,"320,00",",",",","320,00",0.0,0,0,0
2024-07-09,"320,00",",",",","320,00",0.0,0,0,0
2024-07-08,"320,00",",",",","320,00",0.0,0,0,0
2024-07-05,"320,00",",",",","320,00",0.0,0,0,0
2024-07-04,"320,00",",",",","320,00",0.0,0,0,0
2024-07-03,"320,00",",",",","320,00",0.0,0,0,0
2024-07-02,"320,00",",",",","320,00",0.0,0,0,0
2024-07-01,"320,00",",",",","320,00",0.0,0,0,0
2024-06-28,"320,00",",",",","320,00",0.0,0,0,0
2024-06-27,"320,00",",",",","320,00",0.0,0,0,0
2024-06-26,"320,00",",",",","320,00",0.0,0,0,0
2024-06-25,"320,00",",",",","320,00",0.0,0,0,0
2024-06-24,"320,00",",",",","320,00",0.0,0,0,0
2024-06-20,"320,00",",",",","320,00",0.0,0,0,0
2024-06-19,"320,00",",",",","320,00",0.0,0,0,0
2024-06-18,"320,00",",",",","320,00",0.0,0,0,0
2024-06-17,"320,00",",",",","320,00",0.0,0,0,0
2024-06-14,"320,00",",",",","320,00",0.0,0,0,0
2024-06-13,"320,00",",",",","320,00",0.0,0,0,0
2024-06-12,"320,00",",",",","320,00",0.0,0,0,0
2024-06-11,"320,00",",",",","320,00",0.0,0,0,0
2024-06-10,"320,00",",",",","320,00",0.0,0,0,0
2024-06-07,"320,00",",",",","320,00",0.0,0,0,0
2024-06-06,"320,00",",",",","320,00",0.0,0,0,0
2024-06-05,"320,00",",",",","320,00",0.0,0,0,0
2024-06-04,"320,00",",",",","320,00",0.0,0,0,0
2024-06-03,"320,00",",",",","320,00",0.0,0,0,0
2024-05-31,"320,00",",",",","320,00",0.0,0,0,0
2024-05-30,"320,00",",",",","320,00",0.0,0,0,0
2024-05-29,"320,00",",",",","320,00",0.0,0,0,0
2024-05-28,"320,00",",",",","320,00",0.0,0,0,0
2024-05-27,"320,00",",",",","320,00",0.0,0,0,0
2024-05-23,"320,00",",",",","320,00",0.0,0,0,0
2024-05-22,"320,00",",",",","320,00",0.0,0,0,0
